@rowCount	1660
w	d	t	q
selnejni	se+nejni:  energy type :   x1 = nejni2 (energy type ), x2 = nejni1 (energy), x3 = nejni3 (energy form)	jbo	MSOQMJSMOLQIPNOPKRMMSOONRQOQTOPOONQOKQMQNLPNOOMNSOPNKTUNJPOOQOONSQOMKPNLLJLRSOPNMOQRQQONORMQSMTRQPRQOTNSMPNRMQOLNNLSPSSOQMMQNNMOKSPNJOLPIOJOQNMMQMNOSPPNPNQMNMOJMMNQRPQOMPQMPNRORPNNQOPOQTPRNNOMRSJLPNLPSPSNJLMPKOPOLLLNOMONPNLOLQLLNOPJNQRLNMNPMROOQSOOOSTPPQJLPROPONNMORTVPQNSOKPLJNOSOPONOKUONMLONMNPOLNJPQQLPRNQNQRQOOOTOTROQLNMSONKQMROOKRPNPNKQMLQRMNNSPLQSOMMMROOMNONPPNMONPMPPJOKPPNPOOP
ternejni	te+nejni:  energy form:   x1 = nejni3 (energy form), x2 = nejni2 (energy type ), x3 = nejni1 (energy)	jbo	LTNRNKSMPMQHOOOOJRLMSPONRROQUOPOLMPOJRLPNMPNQOMORNPMMUVNKPNORPPNSRONKPNMMINQTOPOMNPPQPPOPRMRRMSPPPPPORNRNOOQNSOLONLSNRRORNLPNMMOJTOOLOLPKOJOONLMPNNPRSONPOQLMMPILNNQQPROMQRMPNRNQOONPOPPRUPPNNONQRILQNLPUOUOLKMPKOQPLLLNPOPOPNLOMRNKMONIPPRLLMMONQPMPRMONSSPQPJKPSOQPNOOQQTUOROQOKRMJNOSPPPOOJUOLMLPOMNQOLOJPPQJOQNONPRPOMPUOSQOQKNMRNOMQNROPKRQMONJRLKOQNNNSPLQQPNMMQOOMPOOOQNNONOOQOIOKOPMPPOQ
selnei	se+nelci:  liked:   x1 = nelci2 (liked), x2 = nelci1 (fond)	jbo	NSPPKMVNOLTJSMRRONKKPNNNNPMPSOQPOONOHLOPOMQOLNOPSTLOMOVRLPOOOMQNQLONNSPNNLMPPMQNKNPOOMOLPRMRTJQQOONROVMRLNOONOKLRNNSURSNSMLQLOPOOOMPKONPGOMOMTPMSKOPQTPNOLNMPNQNMNSPPRPPNSOMNOQRQOPNRSMPNSPOPNQKQTONSNMROOOMLKQLMMNOOMQMOLMPQMOOLNNLMKQJPQPMQMPQPSMOOPMOQRTNLOLMIPPONLNMOPSTQPLSMLPQLPPQONPMMOOPOMNMKMOOLKMLMQPOMPONNOPTNNOQSPPOMJMQQQJLNNQTKJOQQOONOOMPNPPLQPQORLSMONQMROOOROTHQNQMOOMLNSRQPRRO
selne'i	se+nenri:  has inside:   x1 = nenri2 (has inside), x2 = nenri1 (in)	jbo	NRPPOJRMNLTJRNPRNMNMQPKLRQNPTNQPQPPMNOPPQMOMPOLOTOLOJTUONONNRORNSPMPJSOPLMLQPOROMOOOQPNLNQNQQLTOORQONULNHNPMOMOLRNNSSWRMONLQOMLOMPLPKPLOHRMLONPQOKNOQOMOOMPKONONLQQQSPONLRPMPMOPSOMOQOQOQSPSNLNMQUMJROLOPQOKMLPMKPPONMPNLNNNMMPOMPNLMLSKRPQOONPQOQNNQRQQPSRPLMLMLQNNOKMKOTRUONMRMMMOLPORLQQOONOQNOPPNOQPLKKMLPPOKPOPNQQTPONSPMROMJMMSNOLPOPPLIOQOQNMRNMRONNMTQPPTNNMSRPLMLNNQRPLOMQMOPIMMSRPNRQO
selni'i	se+nibli:  necessitated:   x1 = nibli2 (necessitated), x2 = nibli1 (necessitate), x3 = nibli3 (logic system necessitating)	jbo	POOMNKRMMMQJQOPPMLKNSOLOONNOTLRQQNSOOLMNLLPQPRORPOMPNQUNMPMMOPPNTRMJMTONKMLPSOPLLQQSPKLMOSPQUNRPPOQSLTNQKPKNNNRLRNMSQTRNNNMQMMMOLQNPKPMPGONONNSOOOORRPLOPPOLRNPMOOPOROONMQOMQLNRUPPPSMQNMSSSOMPQSSKLRPIMOSPKKKNOLPMONMMNNLMMQLNONPMNPMOGOPQLPQOQPOLRQPMLNSNSORKNNOOOOOLLORRUOQLSNLNONPNPQNPMNPSORMOOOKPOOMOSMSONOQRQLPSROPNRRRNONKLPRMPNNKPRLKRNPMKNONLROPPMSPPPRNNNNQPJOOLNTNNLLMKMMRLNNQOPPRRL
terni'i	te+nibli:  logic system necessitating:   x1 = nibli3 (logic system necessitating), x2 = nibli2 (necessitated), x3 = nibli1 (necessitate)	jbo	OPLMPLSNNNRJRQPOLLLMSOKNMNNNSLRRNMRONNLNMMPPQRNSPMMOPSVNMOLNOQPMUTMKMTOOMMNQUNPOKPPRQKKNQRPSTOQOONOQLRNPLPMNNNQKROLROSRMNNKRNLNOLRLPMOMMIPMNLNRNOOORRRKNPQOLRNQMNOQOQPQNLRPMQKMQSOQPQMQNOTTRMKOQRRJKTPIMQQQKNKNOLQMPOMLONMMOQMOOPQNNOMOFPOQMMROPPOLPPPJLMSMTQQJLOQPOPNMMPQQRNSOQOLQPMOOPROQMNNTMONNQQLPQQMOQLRQLMQRPMQSQPNNSRQMOOJLOPMQNPKQQNLRPPJLNOOLQNQOMSQORROPONQPLOPKOSNOMLNJNNQLNNPNQPRQM
selcte	se+nicte:  day with night:   x1 = nicte2 (day with night), x2 = nicte1 (night), x3 = nicte3 (night location )	jbo	QQQRNMTLONQIQNQOKQQLRNMORQQNRKOSOPNNOMMRQORMLPQPPQOOKPURMNSLRRQNTNJQLQKPNMKQRLQNNPSRPMNSONQROMQNOPRPNULQMNKLKMNMQORUTSSNOQPQMNROMOOOPMOOJPJMRNRQQMNPQNNPOLPMRMROPQROSPNPMOOLOMOQSTLNQKNRKOPRPKOMQSOLPONLSMPLNLONMPQKQIPQMNKMPLNOPOLNMMPKORNNOMQMPOKRLNLLPSSOKNINOQMTPKNNNQQPOSKTOOOQLQOQMMMQPJPOPJJONORONMLMLUNNMNQSKOSSOMLPORPONKNOOORNPQQMQKPQNOOMPNMRSRNPRPQNSLMKQSPOLNLNSQPKNNNOPNNNNQPRJQNL
tercte	te+nicte:  night location :   x1 = nicte3 (night location ), x2 = nicte2 (day with night), x3 = nicte1 (night)	jbo	PQPROLTMOOQIROQNJQQMQNNOSQQNRLOTLOMNNNMQQORLMQQQQPONKPVRNNRLSRRNUNIQMPKQNMLPSMQOONRQPNNTQMRRNMPLOOPPOSLQMOLLKNMLQOQURRRNOQOQMMSOLQNPQLONLPKNQNRPQMNPPOMOOLOMRMQONQRPSPPPMPPLPLOPRTLNPKMSMOOPQJPMPPNLRONKUMQLOLPMLOQLQIOPNPKNPMNOPPNMLMPIPRNOOMQKQOLPKMKKNSSNMMIMORNTQLNOQPRONTMSPNQQMPOROLNRQJPNNKJOPORQOMMNLTOKLNQQKOSROLMQPPPOMLMOONSNPQQMRKQRMMNNPNLQQSNQQPQORMNKPROOLOLOSQRKMNMPPNNNMPORJRNL
selni'e	se+nilce:  furnished:   x1 = nilce2 (furnished), x2 = nilce1 (furniture), x3 = nilce3 (furniture purpose )	jbo	OQOOLMSJPJQHSOQNQPNPRPNONNLPRKQPRPRPOMNQMLORMQOMOQNNJSTSKNLOSQQPROMMIQPNPNOPRKPKKTOOKMMMKOQORNNONPRQOUOQJLMONPNKMNJTRQWKQPPNIKQOMQMRPMNRJRONMOORPMNPPTPQOOONONSNPPOPRPPPJRPOOPPOSMOQNPNLNSONQMPNQQNOSOJQPQOLJMOOMQPQLNRPMNLQQHNOPMJONMPJNRQMRMOQONLSNQJNNRPPPPMJMQONONKOPORVOMJQOOPQIMNRMOQPPQPPRLKNLPPONLMNQRQPOOSSPMRUOMNQNPOOMLMOMLQPNOORLLNOPQMNMONNNPNMRNQNTNROMPPLNKLPTNPMOPMLQNNMPRTQNORM
terni'e	te+nilce:  furniture purpose :   x1 = nilce3 (furniture purpose ), x2 = nilce2 (furnished), x3 = nilce1 (furniture)	jbo	NQOONLSLPLRHROPMOONRRPMONNLORLQROPOPOOMPLLOROPNNNPONKSUSMNLPSRQORQMMJRPOQNPOSKPLKSMOLNMNMOQPQOLNMOQOOSNRILLNLPNKLMITNPVLPQNOJLQOLSLSRMOPLQPOKOQQONMQOWNPOPNNNNRNNPOOPORPKTQOOONPQLPQNOMMOSPMQKROPQNOUPJQSORMMLONMRQQKMQONPMQMIMOQOMOOLMIORRMPLNPPLKPNPHMLRNPROMJNRPPQMLPROSTLOMQPORQIMNROMRQQQQPOMKNPNPRNKLNPPPNNORSPORTQLOSLONOMKLNKJQPPPORMNPPOOMOMPLKMQMNSOQOQOSPMOPMOLKRSMOOOQKOONMMORSPOPSN
selnimre	se+nimre:  citrus species:   x1 = nimre2 (citrus species), x2 = nimre1 (citrus)	jbo	OMOROPSMOJTHOLNTOPMMSPLMMPMPTIRRRPPKOKNPRPOOMQOPOROPHRVOMNOPTNPNQOOOMONPLPLTQNPKLSNPPRMONROPTKNRPMRONVMNHMLOPQQKPPOOTQSNPMMOKNLOPQONPMMPKOIOMNMQQONNLRMOOOOMSLRNMQPOSPPQNSQQQKOPSNJNTPNPNSMPOPOOQQKNPPLNSOQJNNPQJQPMJLMMONMONMLOLPOONNOKLNONQOPPSUKPJTOOPTROPPOMNPNOQKMOPPRVRONQPOOQIPOQOPMOMNQOQMORNKRQOKLLNQNONPOQONQUQNMQNROOQIOOOPKMOONOKMRNPOMOLPMOQMONSOOQOOPMRSQNOMKQQQPMNLNMQNJOOQRQPPRP
selnirna	se+nirna:  has nerve:   x1 = nirna2 (has nerve), x2 = nirna1 (nerve)	jbo	OOQOLNRNOPSJOOORMMNORRNKOPPOSLONOPNOMNOQQMOPPRRMOPMNITUQIOLNRNPMTORMLPPOMMKPTNRMLPORNRNNKRPPTOQPQRPOOULPLPOLNNPKOOMPPVUNQNMPLOLOMONLLOLQJOKMOONRNLNMPRLPPNRLRMONNTQOTQNNNQNLRMNNSMNOUPQOORORNKRPRTIKQOLPQONKJLLSJLNNPPPKONNPNKOOKPKPMNRILPPNNMPQNQMPOTMORQPRNPNMOOMNNKLOPQSWQNMRMOPPKMRPPNONNLQPTOORPMPQOKOPMOOOMORRMPRVNPOPNPMOOMNNQQPPOQNOMOSNOSMLMOMTMNOOSMNOTMKNRRQONMMPPMRLMMOOONJRLTOPQQPM
seltcu	se+nitcu:  needed:   x1 = nitcu2 (needed), x2 = nitcu1 (need), x3 = nitcu3 (purpose needed for)	jbo	MOMONKRNMKRHROPPLQOMRPMMPOONTMRPQOPMLNJPONPPPPOORQPQISVOMNPOQPQNVONNKSNONLLSTLOOLRQSPONONPOSSLRQPOPQMTNQJONNMQRLNMQRRRRPOMKRLLPOMPMOKPLNJQLPOOOMPOOPQPMNPPNKTMPMMORQRQQQKQQMPJOPRNNOPKOMORQRMMOPQRMLPNHNPPPKKJOMLPOLPKNNNMMMPKNOMNNPNOQJMSOOPMPQOPLONQLNNTQNROIONRPQRMLNPRSVPQMTOOPQJONQMOPNNKROQLNOKNQPQIKLOQQPORSSORSVQMLQQPNONKNQOQMLOMPPLJSPQMOMLPLRNNNNROQNPMOMRSRKNOLOROOKMMLKOOMOOPQRMRQO
tertcu	te+nitcu:  purpose needed for:   x1 = nitcu3 (purpose needed for), x2 = nitcu2 (needed), x3 = nitcu1 (need)	jbo	LPLOOKRPMLSHQQONKPPOQPMLPPOMSNQRNNNMLPIOOOQORPPPROQQLSVNMNQORQQMWONMLROPPMNSULOOMQPPQONPOOQUQMPMONNPMQMRJPONLRQLNNQRPRQOONJRLLQOMRKQMOMMMQLQMOOMOPNQQRLNORNKSNOLMPQPQPRQKQRMPJNOQNOOMKONPSRPMMOQOQMKRNIORORKNKNLMPPMOKLNOOMOOLNOMPOOMPNINQQNNNQOOOLLMPKMLTPNTNINNSRQSMNORRSTNRPRPORPLONROORNOJSMMMNQNOPRSHJMOOQNNQRRPRTTQKOSQONONLMPMOMLPMQOMJSQOKONKOLNKPMOQOPOOOQNRRRLMPLQRPOLLNKMONNONOOQLRPP
selnivji	se+nivji:  knitted:   x1 = nivji2 (knitted), x2 = nivji1 (knit), x3 = nivji3 (knitting yarn)	jbo	LONPMLSMONQLQPPOKPLNQQPMTPNPSMQPRPPMNLLQPNNNNQPMNRLOJQVNMNNNQOOPSLPPKQLQNNLQTLPNJQRSLROOLNNRTONQQQRPPRPPKMNPMOQKNNMRQRRQQNNOJNQOLPONMNLMHQLPPQNNNMNSRPOQMOQLPNSNNOOMQONRMQNOQLPRQPNQTMOOPQOPMLPNQQQLPQJORRQKJMOMJQNMMLNNLNMNQHNOMSJPMNSKPRPMPNPQPPLNOONNQSSPNONKOQNOQMNLPPUWNNJSPNLRLMPOOONPNNTQRMNKMMSPPKLLNSPOPOPRNPSVQNPQQPPOOIMOORKNOOTPMMSOROMLMOLSOPKMRMQOROLMQSPMNKOPPPOJMMOKPPLQNPSRMQPN
ternivji	te+nivji:  knitting yarn:   x1 = nivji3 (knitting yarn), x2 = nivji2 (knitted), x3 = nivji1 (knit)	jbo	KPMONLSNONRMPRPNJOMOQQPMTOOPSNQRNOOMLLKPQNNNPPPNOPMNLRVNNNNOROOOTMPQLQLQPONQULOOJQQSLRPPNNNSRPMPPPPNPPPPKMOPLPQKMMLRNRQRQNNNJMQOLRMOPMLLJRMPNPNMNNNTQSNPLPQNONRLNOOLQOPSNQOPRKPQQOOQRMNOQQQNMKONOPPKQQJPTPSLLMOMJPONNLLNNPMOPHOOOVJOMNQKQQQLOOOPQOLKNNMMOTSPPOOIPROORMNLROUVKOLRPNNTMMPOQMOQOMUOPMOLOMSRQJKMNRQLPNOQOPSTRMQRQNPOOILNORKOPOUPMMSPRNMMLOKPMQJMPLPPPQLMQRQMNLOQOPOJLNNMPOKRMORQMQPN
selxli	se+nixli:  girl's age:   x1 = nixli2 (girl's age), x2 = nixli1 (girl), x3 = nixli3 (girlhood standard)	jbo	SQPOMLPPOLRISLQONROLPNQPPPNQONQRPOONPNORLIJNKOJNOPMMKTRMKNOPMPPQPNPKMQMONPOQRLPLLSOQOPMOMQNNSNSOQORQMTPQJLQLMLQKOLNOURTOQMLPNLOONRNQKQNQHPKNNKPRPQMOUPNPRNONQNPMQPQOPPORMQQOONPPRNLOPOPPOMLPQNPJSQOPPPKQOSMKNLPNRNMNQLNPKKNMPLMONNLOOOONPSPNPLPPNQKOLRKPSPRPKTNIOOPNLNNMNQTSRONRRNMQINPNMNNNNKPSMMJNLOPPMJJMMTOTPNRRNNQVMLOPPQOOQMMRPTMKMONROKSMQSPMRMOOPPPOPKQOOOOMKUPPSLMPPSQJPMQNRPQOOTOPMPSP
terxli	te+nixli:  girlhood standard:   x1 = nixli3 (girlhood standard), x2 = nixli2 (girl's age), x3 = nixli1 (girl)	jbo	RROOMKQPOLSHRMQMMRONPMPPPONQPMPSNOMONNORMIJNMOIPOMOMLURMLMOPMPQPQOOJMQMPPPPRSLQNKRNQNPNPNQMOQNSNPNQPMSPPJLRJMLPLPLMORPTNSNLPNLOOMSMSMQNOIQKOMKOQPQLPTTNORPNLPOQLPQROPOQSNRRPNMPPRNLOOOPQPONNPOPLRPNPQOLQPSOLQLPLOOMOQLMOMLNMOLMOOPNNONNLQRQNOKQOOPLNKPIPQQRPMRMHOQQLONPNOPSRPPPPSOOQHNONNNOOOJQRLNINMNPQNIINLRPROMQQOPRVMKORPPOOOLLPORMJNNOSPJSNQRONQMNMOQQOPLQPOPONKTPQSMLQQSQJOMPPRPPOOSPPLPTO
selno'i	se+nobli:  nobility standard:   x1 = nobli2 (nobility standard), x2 = nobli1 (noble)	jbo	PQPMLNONNMTKRLMQNPLOSOMORMMPQJRRSQPMRPMQQILONOOPOTNPOSUPLMOOMSPPSNOLIPLNONKPNNQOLQMROPNNPRNPVPOPRPPQMSNQKMNMOKOKNMPTRTRKPMJPKOOOQTNPKMKQHPQNNNORQNRQSSOQQQOMPOSMQMSOPPQOIOPMONPORPMQORRMMRMOQNOOPQLNSLMQOSPMMNROLSLNOKPOMMOMNKNOMMNPOLQMPRQMMMTQQQJQQPNQPRPPMOKOMOONLLOMNQTROOMOQLORMPPOOONMQOOSMLOQKMNJMJKMLUPRMQQNQQTTRONQNPOOLIMNPNNMNNQPMITMQPNKOOMOMQOLSORSQJMOPPSQPLOQSQQMOJPMONMNPSPOQOON
selnoi	se+notci:  message subject :   x1 = notci2 (message subject ), x2 = notci1 (message), x3 = notci3 (send message), x4 = notci4 (receive message)	jbo	SPOMNMRLQMSITOQQMPOMQRMOMPNQOMPQPSOPOMMQMLOOMOMQQONPLSRNJQOONOPOPOKPKSKOMONRPMPOLLNQPMLNNQNOTPQTNPQPNSLNMMONOLNMONOSUSTOQKMQNKOOOSOQKRPPKOJNQONMQMQOOOMRSQPJPNOPNPSOPRNQMOOMMLPOSQONSORMMRKQONPMVPMJOMLPRPMMKPPNKONOPPROMNLOONNOLSLMMMTNPTOLPLPRORJNMTJNPRRPNOLOPPNOQOQORTQVPOMRNPOMMNOQNNNMNKSNTMMMLMOLJKPMJQLQORPRNPPTOMOSTSPONILOPULJOLLNLJQMNMOKSOJRQOQNPLNMPLLOQOOPQNIQQPOKOPNNPPNOQQQPOUPM
ternoi	te+notci:  send message:   x1 = notci3 (send message), x2 = notci2 (message subject ), x3 = notci1 (message), x4 = notci4 (receive message)	jbo	SQMNNMSMPMSITQQOLOOMRRMOMONOPOORNSMPMOLPMMNNOPMRQMOPMTSNKQOONOPNQQKPKSLPONPRRMNQLJMQPMKPOQNPSROQNNOOMPLNNNOLOMOLPONSRSSNQLLQOKQONTMTMRPNMNJNPOMLPOPPORMPSQOJPMNOLPSOPSPQNOPMMKOORPOOQNRMNRMOONQNUOLJQNKPSPNOMNPMKOOQPQPONNLOOONONUNMMMRLQROMNMPQQQJMMRHNNRRPPNLNQQPNSORPUQPTMPNPOORMMMNQQNPNOJUMRNLMNNONKKQNJPMNNPPRORQROLPUUROONHLNNTLKPKMMMJROMJOLSNJQOPQOOLONONMOQNOQPPHRQPOKOPLPPOMNQPPQNVOM
velnoi	ve+notci:  receive message:   x1 = notci4 (receive message), x2 = notci2 (message subject ), x3 = notci3 (send message), x4 = notci1 (message)	jbo	RQMLONRMPMSKTPOQLPPMQQNOOQOPOMPROSMPNPKOMLOOOQMSRMOOLTRNJPOOMOPNPQKQJSMPMONRQOPOLLOQQMKNOPMNRROROOOPOQMNNNOMNLNMPOMSSSRMPLMPNKOOMRMSMSOPLNHNPOMNRNPOPPMQSPQJOMNOMPRPPRNPNMNLNLNOQQPNPPRLNSLONOQMUPLJQNLQRPONMOPNLQOQPQPMMNLOPQNOKUNMMMSMPROKOMRQORKNLSKMOSTPMNMOPQPNRNQOSTOUMPNNPNRLMNPQOOPNNISNTOMOMNQNJMQNKNKONPQSNPQRONPVTSQONHKMPSKKNJLMLJRONLNKTPKRNOROQKOOQMMPQOPPQPGQQPOKNOMPROLNOPQPMUON
selnu'e	se+nupre:  promised:   x1 = nupre2 (promised), x2 = nupre1 (promise), x3 = nupre3 (promisee)	jbo	LOPOMNONRNPKRMSOIOPKSOLQSOMPQNROPMNOKMLPPMONNPNNNQNOIQRQJOOOOMTOUOOPLUNNMKLQSMPMLPOPMPOMQOMPOONRONOOPTQKMMNKLPOMPONTPQUNQQQQKMOONNPONRRPFPKONNPNROQQRONNQMNPOMQPLNRLPPOQMRQNPKOSXPOOQLPMOSNMMHMNNTNMPRMONPQKLPRNLQNSPOONOOKMRNKOOSPTOMRLNRQNQNQQQNOMRPLQOPSQLLJNKPPLQNMPQLPSRNRPPNOMKONNLNRMOMSPQNJOOOONNJLJLNSSNSSROOTUOQLROQOOMMOPPQMMNNNOOLQQONMJNRNOPQQRRQNKUMONRRTONQMPONMKNKPLMPNKNOPPPLQN
ternu'e	te+nupre:  promisee:   x1 = nupre3 (promisee), x2 = nupre2 (promised), x3 = nupre1 (promise)	jbo	KQNPNNOOQNPLROSNGPPKTOLPRONOROROMMLOJNMPQONNPPNPOOPOJRSQLONOONTOVPNPMUNNOKNPTMNOLNNOMPOMROMRMPNOOMNNPQQKNNOJJPPMPOMSNPTLQRQQLLPOLOOPPRROIPLPLNPNQPPQQQNNQMNPNLQPKORLQPQPNQROPIOSWOPPNLPNPSOLMGMONSLMSRNMPPQLMORNKQOUOONMQPJNRMLOPTRTONOKNQPNPOQPRNOKPOLPNQRRNLJMMQPLTNNOSKPQQOSNQNQNKNMMNMTNPLTONNJOQOPPOILKLMTQNRQQNPTSNPMTOONOMMNONOMMOMMNQLRRNLNKMRMNNQQRRQNMSOPMRQTNNRMQONNLNLONMNMKONNPPMRN
selnurma	se+nurma:  rural of:   x1 = nurma2 (rural of), x2 = nurma1 (rural)	jbo	RPPQOMMNNNVJRMQTMOQNNOMQRRPNONOSQRNQPONPPKQLONOONQLLJRUOLQLSPQOOSNMOKQPNNLIMOOQJNQMMKOQLPPQQRPQMPNSPMSLLJJLOMPMKLRNRTRQNNLOOPKJOOOLRJNMNJOMOPPPMPMNPPRMMNORMQPQMMPRQQNKQLPRMRPOORNJRROQNLROQOKMLPONPQRQPOVOLNRMQHOMOMNPOMPKRPLOOLNLPMNRLNSMOQNQMQOJSORMORSLQJPLKMPMQMKKPPRRRQMQRLOPSNNPOOOLORLORPJPLOPONKLNOKTOLSMRNQRQRROMOLSNOPMNQQOOQOTJSMORMPSLPPLJQOMMOTMPQNNLPQSQRPMPPRNRMNMNPMONMOPQPPQQM
selnu'i	se+nutli:  scale with neutral:   x1 = nutli2 (scale with neutral), x2 = nutli1 (neutral)	jbo	QNORMMPQPMVJPQRNOSJNRLOPQLQRSLRPRPJNPMOLSMQJNMNNQRPNKORROKQMMOPMQNOKNQOMSNPQNMOPLOMRPQQPMOPTTNTNNNRONSOQMMMNQMQKPOPTURQMRMIQNNNOMQPOLPILJPLTNQKLQOMNPLMONPQNOLQNNQPMPROPOPOPRLPPSMPPRNPNQRMPNNMORTKMNPPRQQLKKPNQLPOOKMMNNMJOPOLOMQNTNQSMOSRPPKQSPRKNLTMRRQROJPNLQLNNNMMPKSSRNMTOMONQNNNRMPMMOITOMOPNMOQRRJLLNQOPPNPRONOVQQKOQNUOONKQNRLKMPKOLNRNRSNOLOLQONMMRNPNOPMNMVSONNKPOQMNMPSNOOMOOROQOMNL
selnuzba	se+nuzba:  news subject :   x1 = nuzba2 (news subject ), x2 = nuzba1 (news), x3 = nuzba3 (news source ), x4 = nuzba4 (receive news)	jbo	QPMPOQPLPOPKROPQMQNMPQNMPPOQSJRPROPLMLOTRNPNLQLPRRLNKUSMHPMOPOOOSOMPJQLQOMKNRKQNKMLNPMLONPMPUOQRPOTPPSMNKLNPLPLNOKNQTQRLNNNOMNNOOQNPMSNPLPJQOMKKOPKOOPORRQPLNNQQLNQPPQQPMOONNNOMVNOLOMPOLPNPPNONTRONPOONQQONJNPOMPQMOPQMOLNONMNOJRJMOMRLPSQJNMOQPNJPNRJPRRTNPRKLMQLOPNPLQPRUPOMRNPMPJONQJMONNOROSLPMMNQPMJNPKTMQNRSROOSUPMNPRTMONKKPOSJLOOMPMLQOMNPIRPMRTRNOSOPPNLONRQOPQMMRQPNJPLNLQNOPOQQONSPQ
ternuzba	te+nuzba:  news source :   x1 = nuzba3 (news source ), x2 = nuzba2 (news subject ), x3 = nuzba1 (news), x4 = nuzba4 (receive news)	jbo	ORKPOQRMQPQKSQPPLQNNOPMMRPNPTKQQPOMMMNNTROPMNQLRRPNMJVTNIOOPROPNTQMPJQLRQLMNTJPOLMLNPNLOPONQSOOPONRORPMNLMOOJQMMOLLQQPQLPNNPMONONTMROSMNMOIROLKLNQKPNSMPRRNLNNPPJOQPOQSPNOONOMOMTNOMMNPPNQOOONPOSQMMRONNTPPMMLQNKQQONPOMQMKONLNOLTLMMMQKQQRKLMPORNKLNOIOPQTNRRKKNRMOROPMSORTNPOQNOQPKOMRLMQNNLSNQNOONNRSNIMPJQNNLQSQOQSTPLOSSRNOLKJNNQKLPMNPNMRQLLOJRPLPQSOOSOPPNMPNRONQPNLSQQNJPLNNPMNOOPQOLSPP
velnuzba	ve+nuzba:  receive news:   x1 = nuzba4 (receive news), x2 = nuzba2 (news subject ), x3 = nuzba3 (news source ), x4 = nuzba1 (news)	jbo	PRKOORQNOPPLSPORMRNNPPOLSQOQSJRQQPMMMOMRSOPMORLSRPMLKUSNHNNOQOONTPMQJQLQOLKNTKQNKMLOQMKNPOMORPPPQNRPRQNNLMNNKOMOOLMQRQQJONNOMNNONRMRNTNPMPIRPMJMORKOPQMPQRQLNNQOKOPPOQROONNLOONNSOQMMNQNNRNNPOPNSQMMRONORQPMLLQOLRPONQOKNMLOOONOJTKMNMQLOPPJMNRPPNKNMQKOQQVOPQLMNQNNQNPMSPPTNPOOONPNKPNRJNROMMRNRNQOMPSSMKORKQLOLQSRNOSSPNOSSSNOLJJNOQJLNMNPMLSPMLPJSPNQQQOOUOQQONOORPPPQNLRQQNIOLMNRMMNOOQOKSOQ
selpa'a	se+pacna:  hoped for:   x1 = pacna2 (hoped for), x2 = pacna1 (hoper, hope), x3 = pacna3 (likeliness of hope)	jbo	OOOOLMRNQNQKPMROJNNNPONSLPNMOOPMUNMOHMMONOOQLKPLQSNKHPVQMORLOORNTKQPNQMOOPNRSMRPNOKPLRMORLMPRNORPMPQQQNLMNLONQLJRONTPQSOPNRLOKOOQMQQQNPOIMKPLQONNMKSMRNOPPPMQMNNKOQOPRMPPPRORMPPQOPOPOLOPTPPNLQNOTNOSPNQMOOMKNPMLMNROMRKKPNSQMNOOMPNOORKNOQOQMPQSOKPTPHQQQTNOPKKMSONPOLNONPVOQQTOOPMIPOQLLQPLMOPOKMLMNTNMMONLPQPOQQSQNTWOQNRRQQOMLMPNSMLOPPPLOPOPRLKJOLMNOLONPMLPKPQQNUNRNONQMOKOIRNNLOPNSOPTNQN
terpa'a	te+pacna:  likeliness of hope:   x1 = pacna3 (likeliness of hope), x2 = pacna2 (hoped for), x3 = pacna1 (hoper, hope)	jbo	MQNPMNSNQNRJQNQOJNNOPPNSLPNMPONMQMKPIPMOMNPQMKOMQQPLHQVQMOPMPRQNTMPPMPNPPNORTNQPNMJPLQNOSNNQQOOPOMOQQPNMNNKOMQLIQOMSMPRNQMPMPKOOPPORROPOJNKPKONMMMKRLULNPPPMOMOOKOQOOQPPPPROSNPOOOQOOOLOPTPNOLRNNRLNUPNPONPMNNPMJMPTMNPKMQOSQMMOPNSMNOPMPNRPPMPOTOKOSOGPOQTNQPLJOSOMSNLNPNQUOQSQPOTMJPNQNKQQOMQPLLLNONRNMLONLOQNNPQRPNTUPONSROQOMKLNNRNNPPPQMNQQPPLLJNLKNPLONPMMOLQRQLTNSONORMQKNJRQMJOONSOPSOSN
selpau	se+pagbu:  part of:   x1 = pagbu2 (part of), x2 = pagbu1 (part)	jbo	PPQNOMPMNLSKPLPPKPONQOMOQPOQTLTQOPPOOMONQLMOPQOQONPOHRRQMOOMPQPQRKNMKSNQOMKRPNQPLPOOPNNMNMOOVOSQQOUPKUOKINNPONOMMONPSPSMNKNUKKKONOQMKQONHSJMOQONLPNNOQNQQNMKPOPNKPMNQONONOSLNLOQROKOQLPLNTPSNPONOQQONMILPQQKKPPPJPLMPLPOMNMNQONOKOPOOMRKOTOOMNNRQRJRORONPSSONRIMKRKMONQMQRTUQNRQKOLRNQPQKPOMPNQQTMOOMNPPNLMMKQPPOOQNPPQUPLMRRRPOMKONSOLONOQNOJROOQNKNNOSPPONRNPONOPMSRRONMOPURPLMNPLMMMMNRRONSQN
