@rowCount	3257
w	d	cache	s	q
cumki fa lo nu la .alis. pu nonkansa	Alice could be alone.	cumki,fa,lo,nu,la,.alis.,pu,nonkansa,tom,no,kansa,alice,could,be,alone,alis		NPKSNORMPPONRKSRQKKPJNPNRQNMMNOONPOPNRSPMMNKLNONOPQNMNSPONOPMSPPRNNQPPNRJLRLRKRTLPROLOPNMNJPRRRMNNISQSSPNORMOKNIONQPRPPMOLSSUOQONRPOSQOOMNPNMNPURRMRSPNQMPTNSNQTMRMOMSMOMMTKKQONPOMSPPPMNQQOMNPNOPQJPSMMPLMNQMPNOPPNMKKMKONRMJMOPOMNSNOPPQNLQPPNQOPQONNNQRRMNMLLLMNNIRLNPOOQTONORTKNPPONRQTKMOPPOMNMMOPNKORQMKMJLNQOROQOOOPOQLMONPMLQRTLNVNOPSROPIMOOLOOMOOPORNQOONMORLNKOQPPKSHOOPNPLQTROOSQLPK
cumki fa lo nu la .maris. pu nonkansa	Mary could be alone.	cumki,fa,lo,nu,la,.maris.,pu,nonkansa,tom,no,kansa,mary,could,be,alone,maris		LNPRNOQOPMOORKOPNPORKONQSQOONMPOLQMNPRRNLNQMMMLQOMONMNSPMLOOLTTORNNQPPOPONONQKPRKMORNMPOPOJMNPOMINKRNUTQNSSLOLNLLMMQQJNKJPPOPOOOMQQOTQQMNMMMMLQUSONPQPMPNPTPSPPPMQROOPMRLOSMKQOONOMPMMPOPQURNOOOOQPLMQLLOMOPQIQLONMPNNNLIPSRSHJOQQPMQLNQQPNJRRMQRONRNRQOOROQKMOMMKKPNPRNQNNQQSPPQSJOPOMNPNPOQPKPONMONPIOMRQPJHQIMMNLSMQNNMNORNOOPPNKTOQLSVMQNQPOOJMQROMOPOQOMSPQLQOMORMKPQLQQNSKNQRNQNQRRQOPRLSM
curmi lo nu do pilno lo mi karce kei lo nu do sazri co jundi	You can use my car as long as you drive it carefully.	curmi,lo,nu,do,pilno,mi,karce,kei,sazri,co,jundi,le,you,can,use,my,car,as,long,drive,it,carefully		PQPNMPQRNNQSPPPMTOMRPNLOJNMSRMONQNMKLLPMOLOROPROSONRNMJKOPLQOLONNNOORUNNMPONROSNKOONLONQPQPLOLONPMMPQOMOJTLQONQNPOMOJPQPNMPPPLSOLOMROONQLMTNMMRTPOMLQHPOSOPPUQOQKROOLPNPPLOOOOSONONONMNQQNNLJPQSMPMROPOMLOOQQOMLQOORVQLMQQOOPMMOPMROQPMOJRIMSNRNNIJNMORNNMLQQPNNKIPNLNMNLMSROLQLQSRNOMNMRNONSPNNNHMRPONOKSNMSPPMNPPQRMNMPOQSLQLOPQUNLOPNLQSMTQMQRNNPMPPVONSQOLLQPRMLPOPOSPOSLONJLVMLNTQSNPMOPVPN
cusku lo se du'u loi vi gairjaudu'e cu srana lo nu lo cevni za zvati	It's said that these floods are related to the presence of a god in the area.	cusku,lo,se,du'u,loi,vi,gairjaudu'e,cu,srana,nu,cevni,za,zvati,gacri,r,djacu,dukse,it's,said,t'at,t'ese,floods,are,related,to,t'e,presence,of,a,god,in,area		QORQRNNNTMNLOOPOHKNOSPKOOOOQPROPLMOVQRMMQOQMMOLPLLOOQPMNMLOMQQNPNPNSOMQPOMNKLPKLPPQLMQRMPQSLNPQRQISPLNPNQNIMPQOMPPMNNMLMKNOPVOJORKPPQNONNKIQQOLLPNLMLOMPMPQRPOMRPOPVPLQOPQOOONSKKOOQMMQPNRSPOKOKTMVRPPMNNVNOMOPTPMOOPRPMLMQSQJMOONLMLMMQPOLRMKNLRQMMPORKMRMPLNPRKOOQRQNKPPSMOQRTNMMMNRPJTMJNRNRRMOOQSRMLMLOPLQPMRROOQJPLQQJONQMOSOPNONNQMOOOONQPQMMPPSPOTPOPMLPNNPSSNONLSMRQSNOSROLRNOMJMNPNQNQP
cusku lo se du'u mu'o nai	It is said that...	cusku,lo,se,du'u,mu'o,nai,it,is,said,t'at		NQPPLOSRLPNPNOPNSMJLRRNROMLRTOLRPPMMMOQPNPQPONOLNQLMPNSPOQPOOLMQRQQOJLMONONUPPQOMMLMLNQLPPPMMRONMPNRLQNPOMOQNNMNTRPNPPQOQQRQMINOOPRKQPPNKNKMMPPONSOORQPMONRMNRKPPNONMOQSOMKJQQPPMNONKLQMPRSPRONQMQPNMQQQSVJORPNQNNNQPNPPOPMMSNKOKLLQPPQTQQNLNQVOPPNROPOOQPPMNORODMPMPOLSQOIQNLRNNSOQPRLLSPOLRRMQVQJOQPONKLOLQNNKMNOQQNOMJPLOQNMOOQSMQPTNORTPOOQOLJNLNMRMMPNRPRLQONONOPRJOLNRLOKOMLMPNNNUOQPMRLTO
cusku lu .au pei ckafi li'u .i cusku lu .au nai ki'u li'u	More coffee?' 'No, thanks.'	cusku,lu,.au,pei,ckafi,li'u,.i,nai,ki'u,au,i,more,coffee','no,t'anks'		NOSQOOQPPLMKMNSNQLLNOLRSNSONNOLQPPNOQRQOLOOPPMMJSQKNMNSONLQQMLKVPLKNLPOPSJMNQPRQONPQMNQJLNMRQQKOLNPOPPQKQOKQQLPOMOQSQLPOMLNOMMQOOSRQUPMQKNKSONMIMRNMPLNRPMRMONOQPQMOQRNONQONMNSOMPMOQSOMNSTMNNNPROPOXQPPOPONNOPMONOROQOOQOJNPOKOUNNRNQSNQOTRUPKNOOLMNPKNRPQQIOPLMPQQQNOSOMRSQNMMORSKKQMPONLMNONNRNNORLTMOQPPSJKNLMROPNQMPROONOROMLLRPNJRLMSRQPPOSMOPOPPTPPOSNJONKORLNNOOKJNOLMLLMPRNRNONNSNNSPPJ
da bartu	There's someone outside.	da,bartu,t'ere's,someone,outside		PQPMPOUQONQNMQQTPSNNKQOPLNPQOPRLMPLPNQNPNMLPONRPRKNOMPMPONQNTNNOPNOKSKSQOLOLPOPORNRMPQOTONJPLOKOOMLTPPPSSPOQMPQLJQNNONKOOMORRMUOPORPSSRMLQNMORRLQKKRQKONMNQPQNOOQQPKOOOJJNPNLMQPMOONNROLPPOOOPMPQKONONQSSOLPONPRKOPMKPMMNPPRKNPOPPSKRONPLOIRSPSSMQNQMQRNLNSPKMMQSKKQOINQSRVLQNJONQPQNQTOIONNROOSNPLOKOONMLQOQNQNLPOOPKNPOMQSKPMOKPKLQRTIPLLQRQOJONOQPNPRNMMONQORQOQNSRKPMNMOPQNKPPOKRMNNMNMOIMNQ
da bi'u nai ba xajmi	This'll be fun.	da,bi'u,nai,ba,xajmi,t'is'll,be,fun		KMOMMNOMOQPIOSMNSTNNPNPNONPOMMLNONQLQNQPOJOQRSPOOQOMPORROLPPNOOQNNTQOOLPPOOTNMQRPOONIMOQNNNORNOOOOKTNOPJNPLPOMMPRQPQMPMNTORNQOKOPONRSPRLMKNNPMROORMPNPPOQPNIQOKQLRPPLMLNROMSPPQOMMNMPQNPPIPPNROOKQQMQKQPOONRPONNMLNNQLREKQKNSQPOMOKMQNROPORSPPPLSMMUMTMROSSMLPNNONQPRTLMPNONQOMPORQOHNONNNOPPRNMQNMPPRLRLNNNROQPPPNNOOMTNRQOSMNONOLPSUOLQOSNUNQROQMQKPQLKPNTPSLPNOLHJOROLOQRJNOLOQMMNSTQLRORPPNN
da bi'u nai jai pu mo	About that matter, how did it go?	da,bi'u,nai,jai,pu,mo,about,t'at,matter,'ow,did,it,go		RRPROMQPMOSTPOOMKLHNPOPLPROPPJORLOLQQLTMSMQORORNPPPMPPNQNSPRPOLSQLLNQRSOPNMMQOROPNMTPNPNOOONONQKQRRQOTLMNMNQPQMPRQQONSPOPQKPIRROQLOTORNNNUUPOLNLJNOQQSNOPVNNOONQNPPQOLMONQNMLMPPOROMPQMPOMMQPQQMPMPKLMNOOOLPNNNKOOPKSNQKLKKNQMMOJMMTOKOOPPRNSOSQNQPNONMROSTKONPMJNNQQPOIOMKUPOPPROONOOMNRPKNOMOLMQLLLNROOSNQPMMQNONLRNPKLMLJUKNONRPQPSPOPQIOOQSLOPLLMOONOORRNMOOKQKOMOQIMROTQRLMNOQRLORMMPKQOLPP
da bi'u nai po'o ckaji de	Other than the things I have just listed, nothing else has a given property.	da,bi'u,nai,po'o,ckaji,de,ot'er,t'an,t'e,t'ings,i,'ave,just,listed,not'ing,else,'as,a,given,property		POOOQOPLMMQLNMNNQMNQPQPOORMQOKNLQMUOSMONOLTPORSLPNORMPPPNRPMSQNQOOMPNLRONTONPNQMIOOQOSOPOPOKOMOQOKMPOOQPOPOPNPMNMOOJMNPLPNQNLPMOPNNROPNPNTTTNPQQOPSKOPOQROMNNOPRRNQRKKNPNJKNPLPPMUNOJLLMOQMNMRMKONQMPNMOQQQOMKLQNMNSMNSNPNNOLLMOMIMONOOLNNPNONNSOMQNMVQPLPIKOLQPLOMKTLMNQOUSNLMNRQSMPPOTPOURRRJTOMOONLNJPJMQRONPPOONSLMKRQKRLSOOOQONPNVSMNQQJQSIMNNOONOLLMSOQTPNSOOQNPOPOOLTNPJMPKONOOLQQPRNRNMR
da bi'u nai tai se badri	It's so sad.	da,bi'u,nai,tai,se,badri,it's,so,sad		OPRNRPNRTNMNMQKNNMHNMRONNOOPMPNQPORPPONOQORPPNLNRMNOQKQRRPUNPNNMPOOLOROQPOKVRNNNPMOLNPRJPQONORQPNTKSKROKOMMRMKKPTOORQOOLPRNORMJOPNOOROPPMPNJLKOLMRRQPRNPPRQLMPMOQNOJQRMPNOOONPSORPOOLONQONSMRMNOSPNORMNPMMKNRKQKNOQLPJNIKPHNOMQOKOONQMTTMVTRQNPOQLLMPUSRMNONLMQOLONPKPKQPLMMROROOTOPNPNRONOMOMNOONQNKOTPGOOOOSNONPRPPSNRMPNQROOOMNMMQUTPPUPTKMQNQOPQOKQMOQNQQPLNNPQMOORLJNROMRQPNPNOQROMLPNPRMRP
da bi'u nai xagrai tadji lo nu danfu facki	It's the best way to solve the problem.	da,bi'u,nai,xagrai,tadji,lo,nu,danfu,facki,xamgu,traji,it's,t'e,best,way,to,solve,problem		PTQNNQPPNPPROTNQORKNLMNOOPOONORSPNIRMNONNQPNNPOOSMMLNOSPONOPQNKPUOQMMSPROQRSRMQSRMPSUNNLPPNOQQOPOSLRMNPLPLPRQLNNSSNNQRRMNNQONNQOLRRKMPMQPROOQNRKKUHOPIQMQOTMRPNQKQNRPOMPMPQQRQMNLPMNQLOOPMNOPLOQPQNMRMNMRQLNRQQNOPOOPOPNMPLPQRQOLNOONLRLPSNOMOSPMJMMIRNPNONKLRQKHNKSMPOOOOKOPQTOQSSKNKPOPPMMMQQQPQNRONNQLPNNNPMKKKRMMKRKQMINQPPOMKLLNTNTOPQPOTOISNINMPOQPQSTOQMPNRPQNNPLMNMTNNOSLNMPOQRKQONPQRSN
da brife lo se stuna	The wind is blowing east.	da,brife,lo,se,stuna,t'e,wind,is,blowing,east		PSTNONOMPPROMNPSNMJMLPNROQLRNOROLRKONOQQMPNOQRMTUPNPMMQRRKPOPNMOOOOPNKPOMOQPOMMNUNNORQMRROJIOPSVMKJPOMOMOQPQLKJOOMQNQPJNPQMSPKPOQPSTSQPMONKQMOOHNPMRNKMIIPQOQOOMNOMNOQQPLQHRPOPPOPQQNOPQUQLOPRNNQMQNMOPMSSMPMROSKRPNPNNMOMMRUPNOQPLMOSQQKPMNQSUORTMOQNPPONQRNNMPNRNROJNNMQSNLOOQNOOOMSRQOLMNLPONMNRMNOOOJNPTPPNOJNLOLKMKOOOOMPQOLQONLOQLOLROQRNKLPRNOPOPOQNMPSOPNKMOLSLONRLPPNQOLMSPSOMSLMNNLNJS
da ca zvati ti	There's someone here.	da,ca,zvati,ti,t'ere's,someone,'ere		KONKMOUOQLOJMPNPPRLLNRMOMNRPMQPNPQNPNROOOMNPMNQNQONNKMRRTLSNPNONOPPMQLQQMSOLQMSOPMPKOQPQNMJSOOMNOSKVPRPQPPNQNNNMJTPRQNOMONMPRKMOQQSQQSOONONLMNRKNLIQPLPPNLSNUOMSQNNMOOOLMQOOLOROOMLOOPLLQNOMPQLOOLPLPMNQPMINOQQQOJPMNPJLLOMQQNPOQQRNSMPOJRNQUNSSQPPQMNTQKOUNINMOLKNROONPQQSNPMMMNSMONPONKOROMONRNQKOKPQNPLRNNMQLMPOPRMPQMMOPONMOMPMORUQKNNOSTPUINONNLPROPPOTJNNTPNSLQOOKILQRQPPKNNOMTPPLNQLOOOQP
da ca'o klama ti	Something's coming.	da,ca'o,klama,ti,somet'ing's,coming		KMNOQPSNRQOHMPNNTMKOHRJOLQOPPPQPMOQPROONNJOSQRPNOOLOPNOSQMPNLKOOMONTNQRRNRQLRPTMSMMONRQQLNLMOQKPNKMXQSOLMNOQPNNOMPNPOORQTNMONLMOQOPSQPONNNJPKOPLRLONLNNPPQNMNPOPNONLJOQKQOKQOQNNKNNLOOLNOPNOPROLNNRNQOKPMONQOOPRONSOQPLLLRNOQPPOOSLQPORPNRNQSNSNTPRPKPMKMOSPHPMLMSPORNLQPONRLPLUQROPLQNPKNNPJPLLONNORPONKNOOOKPPNOONSITSPKOQPRNOPQLMQROPNOQQQSSMMKNKLMRMQNNRLMPRLNOLNNSFORPSIOSPNPOKQPTOMPNPQPSP
da casnu lo ba selsa'a be da	They are talking about what they will sing.	da,casnu,lo,ba,selsa'a,be,se,sanga,t'ey,are,talking,about,w'at,will,sing		JNPMMQSKQKLNMHNOONJOPRNTMQLPQRORSQKQORNOOMPONOILNTOLRMNPPQSROJOPOKMSJONLRNPPONNLPIMGNNOMNPLLKQMSPKOTPROKLJNSONNOPQOPNPMMPQOMOMJOSOPPPOLNOPNMNOQNMNLOPXOQRQONMQLPNMPRPNNNSNKOLQMQOQONKOTOOMSPPOPLOUQOQLMNOOMRPPQSRONPOLONMMOQMPMOQUOSROQRRQKKMMSKTQORNOKONMTOMMOLJPOMNNMOPKNQMONVNNRNOPKKPNNQROPMNPOOQSOMNOMMLMPLQPLRSQPROQQOMPMONONKPPOLQSSNPLNRNOONLNROPOOSLPOQNMONMMRLMPPQMLRPOLKNKSOSMRQPONRN
da ckule vi lo mi zdani	There is a school near my house.	da,ckule,vi,lo,mi,zdani,t'ere,is,a,sc'ool,near,my,'ouse		QPQOQNMNQPRPPOQOQOPKOSLQNSSMMMNLNNRRQPPPMORQPNMLSNLMOQLSOMONOQNPNPOSTNNOSQRPNOUNLLNNROQQPMLMJSMOMMPSMPNOLNOOPLQLOPQOWLMNMPPKOLLOSQPNSLQRMPSNOOPONNNSMIPNMOLMQOTNLMPLPNOMSMRPSQPOPONMJNNORRPKORMMQMNMWIPNMRRNMNOQRKNNQMMMNPNQLQLOTPMMQPOONPOPRNSOPROMKTPONKMQOTPLOQNOMOJPPLMOORMQNRNPPLSRSQNTOMLRPOJONQMUPKMRSPPQONMLMMRPQORUNKOORMPPQQPMOPNMPNPMPMOPNLQRMMQNMPPQQMNMLNOQLHOOPUPHPQMKNIPPMLMPQRMR
da co'i se sispe'i mi	I found something.	da,co'i,se,sispe'i,mi,sisku,penmi,i,found,somet'ing		JMPRSORRLNRNNROPNPKNJTPRNPMNROORQPRQNQRNQNSQNNMKSQMLQJQONOQPWRNNOOMPNMRPKTRRTMRPLOORQORPLOOONOQNNTPSNPQMOQKROLKOONMORQONNMMPOPLOSSRMSOMRNLLQKPSLQPNKNLQKPOQISQKPPNMOMNNRKNKNMKNMPONQPNOTQRQPORLMIQPNQOKPTNKKNMLMPHQPNOLNNOMPNMOOLMOQRNPMPSQNQNUSQROPNQLNOPRMLOPLLMPMQMMQLLNRPNOSSQOMOLPPORRNNRJORONNMOQPOLPLOOKROLRPRMOSKPLPKOROMPRPOPOONLPQRPRJOMNQNPQLLPMOLNORMMSRMKMJPMQPJSSQNQPRNQRNPLOMTNMN
da da'arsi'u se pi'o loi tirse tu'a loi solji	Men fight with iron for gold.	da,da'arsi'u,se,pi'o,loi,tirse,tu'a,solji,damba,r,simxu,men,fig't,wit',iron,for,gold		PRLVONVLMNLOMPONPMORQLPMLQORKQPMRPGLOQLOLNQNNQONPSPNNPTLQJPOPOLPQOSSKOSQINMSOOQNNOLQTOPMPOPRPQNOPQKRQNMLRRKUNRRLONPRMNNSRRLOQPLOOQOQOOMKPPMSPNNMQKONNQNMLSMPMOPNPOQOPPKOPOKQQNNOKPLSOOPPMOMPSNSVLOMRKQPPSMOOOMONMQOOKNNKPKLJRMOONNPPTPNQMSSMOOUNQRPQQOQMONNLPSPOLLMMPSSSNMPUONNOPNOMMMLNQOKTKQTSMRMTLQNLPNQRNRMQQNPRLOOOLONKSKOOLOLNLQNKOSNRNNNPRLMOPNQNNONMOQMOKNQOMMPMJLOMQNMQNOOOQLPRPQQOPIMN
da do darxi xu	Did somebody hit you?	da,do,darxi,xu,did,somebody,'it,you		QSRSPMTPOOROQPRNOOJPHTNNNOPRMPMJOQLORPRMNNQORQQPQNPNSNNNQRROLMRPQROMTTTPPPLPPMQOMMLPNPTSNQPRQPMJLMNSQONPQPMOLNNOOLNLONNKOMJQOKNORMNNRNLPOOQLTOPRMNMRLONRKVMNTOMOPOOPPNKNOQONKOKPMLMQRQOPONNROMLOOJOPTOQRNMMPMQNMTNPKPPNJJMMOPMLOLSNOQLMQORTKOQUMPLNMMLSRQOWPJLSNPPMRQPOKNQQUMLNOPPNQQQOMSNQJLRNPQMLLLNNQPRKMMLJNNKNPSNQMLOPROOKOKSNQPSPNMMMPSNQNPMLNOQORNONPNNPQMMPNPMNMLOSQPNNJROPPOQONOLONSLOP
da .e'o ciksi lo nu mu'i ma kau la .tom. ca fengu	Could someone tell me why Tom is angry?	da,.e'o,ciksi,lo,nu,mu'i,ma,kau,la,.tom.,ca,fengu,e'o,tom,could,someone,tell,me,w'y,is,angry		MQRMOOQPPNOMNMMOKNMPOSNNOSTOOPQOMMINROPMNNONJMQKRMMNMJMNTSOQOPNPROMPJPQNUKLKQRVOOLKPQOPLNUMNOQNOLPIRRSROQNPMNOILMIOQPNMMPRKUQOKOROOQOOLMPMKMOOLSMKNLPMMOIPPPMOKRPTPNPNPPOQOPMONOUTTOTPQPPPRQMPPOLRKMKQNMPJKMNNIOOKPNMMQOPSSMNLNONNLQNLOTSMKOPQSMPNQOQRMMOLOONNOLNPQQOQMMQKPTNPROMRPPTRMLMNNONNKQQOKMOQMOOORRNOMMNMOOLONROMRPPQOOJNLLPQPQRUOROLNOONPRNNOOPPRSNRPOKLMPQSPLOONOOSPPSPMPQLPLQPPQQQNN
da .e'o ciksi lo nu mu'i ma kau la .alis. ca fengu	Could someone tell me why Alice is angry?	da,.e'o,ciksi,lo,nu,mu'i,ma,kau,la,.alis.,ca,fengu,e'o,tom,could,someone,tell,me,w'y,alice,is,angry,alis		RQNSOQRNRNMLOJOQNILNMPQMORONONMPOPLQPRQNNLMJJPQPPLLPKKQOTTROOPNRMLPOLPPNMJOLTOSSMNQQONPKMNNMRRPOMNKTRRQPPMSMNMMIOJRQPOMNTLMVTOOOPONQQPONNOMMNPNTMPORROOPIQTPONPSOPMONPLNOORONQOMRRQQTURQOPROLNQNPQOLNRONQMKOLNPLOMPNJGLNNONQOPMOONIRPNORQOOKMRSIPOQMNRMMSPRKPNLNLOOPLOMLQMQRSNQPRPOMTQPLOPSLLNNRONMJPOPPLMQRNMMLLNPQLNPRNPQNQLOOMOMJPPRONSOROPRPPJOPPKPNMOOSNQOPNMLOPPNMJOPLNMPKPPMMNNOORLPUQPOK
da .e'o ciksi lo nu mu'i ma kau la .maris. ca fengu	Could someone tell me why Mary is angry?	da,.e'o,ciksi,lo,nu,mu'i,ma,kau,la,.maris.,ca,fengu,e'o,tom,could,someone,tell,me,w'y,mary,is,angry,maris		QORRNQQPPNMMOJKPJNPPOQQPOROQOMMONQJNTRPLNLOLMPNRPJLOKKOORSSPORQQNMROJPQNSLKNTOQRLLNSPLOLPQOKOPONINMROTRQOOSLMNLLLINQOJKLOOJSPNMOPONOSPQOPMKMMOMTOLPQQNMPKPTSOPOOPOQPOOMONPSRMPOMRSROPRRSPPURLNOOOTNOLQNNPMMRLJPKPMMPLJONMQRRRMJOPOLRMNOSRONIOTRKQOPNLUPMRPNNMNONLONQPPRLQLQTPRSQROMLTRPKMLPNPNIPPMLKOPKQLPORKKPLONMOLMPRMOOMQMQOOOPKRNPPSRMSMNOOQJPPSNMMOOPRMSRPLNMNOQOJNQMMPNOOPSPMQPOKRMORQOPM
da jubme	There's a table.	da,jubme,t'ere's,a,table		QOKOLQSPPQOLOQKNOPOOLQOMOROPLLLOOQMLNORPKIOROOMNOOKSPOQTQKQQNPQPLONONPSROPPJOLQPNNNPLOPQKLLROQKRTNOVPQNSKLPPPLNPJPINNLPNRQMSNOROMMUPVPPRPQLMMPRPPNLOMORQNQOPSPRQMLNMMPQONQKMMQROLNONMRPMOOQPQNMQNRLMUKMOTPMPNLOLROMMJLKLNQLMNONOPSLMSMQMMQNNPNSSQQKQOOPPNPQKLSMJPQPNNJPOPQSSPPNONNMLNJSPKNPQMVPTQOLPNSKONNRQKQMLLMRLPMROMQNNMOQOOKNMRMUPOMRRPOPPLNOOOONOPOKRMQSPPPUNNMNLKMNPQRLPMMNJPOLQPPONQQPQ
da malsi vi lo zdani be mi	There is a church near my house.	da,malsi,vi,lo,zdani,be,mi,t'ere,is,a,c'urc',near,my,'ouse		QOPNNOMNSMKMQMQNOQQPJUNQQPNONOQKQPPQPPQRPQSLQOKMPOLQRRISOMOPRQNQMOQSUKQPQONLOLNNOLNMPQSROPMPIKMNPJOUNQQOPOLRPLRMMOOOTMNONNQOPPOOPPNMTPMQJNSOPMLMONQNMLMSPIQRNOQOPLQOLLPMOPSOORTNOPOLLRLNOPTOOOMOPLOQTOQNQPSOKKOQROMRRMTNJMQSQMNOQMNLNNMONPQPRMOLMOPQORRPPMKRRLLPMQPOPONMNOMRMQOQMOLKOMPQLOKTROORNPNRMSKNPPNOSLQLROIKOFSQMSLSPMQOSKQOPLQJMJMNQPOMOHNOQPSMNOOPMQPQMRPPKMONNJNOMPTNQOPNRLMRONPONOMM
da me lo se gunka noi .ei zukte	There is some work to do.	da,me,lo,se,gunka,noi,.ei,zukte,ei,t'ere,is,some,work,to,do		MPQPLNNKOQLKLRPOPRLKNOPNMRMQPNMRQOOSPROLOMPQNOOLPOPKPMQPQJPJQPMNONOQONPPOQPOQLRLOMPRNPMQQMOONNOKRTOUONQKKPNSNMMONSOONMMOQPQONLOOSPQTQOMROOORPNOHPNHPOJOQOPPKRPMQKOKPPLRMOPLNPRTOQRQONLOOPNTPQPJQMRNPPMKQPMNSPJLQPNQNVLMNMQHNOPPOMNONRNNINTLNOPPMRSMRITPOOSQLLOMKKKMPNPNNRLOPONNOLOSNLLQMQKMPLPOQTKMOLRMPOORMPMPJPKPOPPPMOOKSTQQOROQKMPPPRRQLSQUJPOJKMNQQPNNQOOPQONSJSOONMMPSONKNOKPLSOPRQOMRSMOR
da me lo vajni noi .ei mi cusku fi do	There's something important I need to tell you.	da,me,lo,vajni,noi,.ei,mi,cusku,fi,do,ei,t'ere's,somet'ing,important,i,need,to,tell,you		OPPMSQPPMMLLMORQTOGOOQONNONNLNNMTOMRRKSLQLSPNLMORMNMNOQSRROPORNPLMNKNRNNLRJPPPRRMNNQMNQMLMOLMPQMLPJUNORPOMMQOOSOSRQMRRQOLPMPKKQOPOQTLPMOJSNPMLMQQNNLQMONSPOLPPQPOIOPMKPPPMJSMPQPSLNOQLKPUNPPQPNQQNMMOMLNPPLONIQSPOQMPLPOLPJOPKLOJONRQMONNTORPNSQQOONMOMNNOSJMMPMIMONONJNNOMQNOSQOPSONOQOOOQONQMPSQNMONPPKQMNOOPNPOPPPSSNPPKQNLPOPNONNNQQNQPRONULSNPLMLPQQPQWPRPLPNOMNLOJMOPXKQQLNNNPQRLPLPMNXRPK
da mi se vedli je se skicu fi do	What I wist I told to you.	da,mi,se,vedli,je,skicu,fi,do,w'at,i,wist,told,to,you		OQPMPOZRNNOPPORPPPLMMQOQNOMPQQNNQPKMONRMRNRPPNMMNOMKPNOQLROORKOOPMMOLOOPLRNRPNNPPLLPOKPNNNOIPPPNMPLTQPSMMOMQMOOOMOPOQQQLNQMTKKPOPPNPQRLPLOMQMOLQMTNLRONNNNMNQQONWMONPMOLSNKMRPNPMPKROPOPSNNROOPPJMPMLPJQRTKNPNNNQNKQPPOPQOJPQKMONSNNPNLWRPSOOOSNVNPLMPKOMNQQONSMIMNLRQKNONKLNMRNTRRMNMOIMPNLPQMPSPNOMOQSOSOLNMNMQPPNSNPRPOJPNLNOPRNNKQPNPQQRNNTQPLPLOPPQPQOQOVPOMNKNMKQNONOSIQNLKLORRRTPPPQMQPLN
da minra	There's a mirror.	da,minra,t'ere's,a,mirror		MMPNMNPNRNNLOMLNQPONNLNMNPMQLOONLNMNNNSILJOONRQNRMLNMKQQSMQQSONSQQNKPMQRQOPMRMPQQMRRNOOONPLSNPPNPSNVQSSRPMMRONQONPNJRMNNSPPPQKPORPSLRSOQMLLMLPOQPRMNNNPOMORNPPLPQNNJQOLMOOONMRPQMPOMJMKQQOMPOPOPOPMLRSKPMPMOLNOSNMNLRNKIMONOMNMOQOPOQLQRJTQNPROPUMKRPOTOMPTJNPNNPPQTNLLMPPPONLMSMPOKOOQQMRURQPJOOQNOMRRNMLRQOQMPKMSUPJQPNOLRMOPOPNPNORSLKOPSORQMKMMNKKPPQPJRMQSOOKRMNOQKNMPSQNQNLNRJRPNNRNLRVSSN
da mo jo nabmi	If there is a problem then what is it?	da,mo,jo,nabmi,if,t'ere,is,a,problem,t'en,w'at,it		QPOOMPPQOQQKNQPNNKKQOPIQHOOMNONQPOOSOQNLOOONNMQPPMOLNPRMQQMPRNLPVQOKNPOQKSROPLSRQKNQUNQQNOKOROQRRONRLPRRNOMOKLOLRNPKPNMOMNONOMMOMMNPOOLNQLQMPMUNOQLPNINRNPPMQOMQPMMMRQLJJQNSTPSMHTJPRPOMNMMPRPPMRONNNNOLRROONOLPMMQOMPMSKQNSQSTOKNJRPPPOOQKMOPNOMNQQLQONNSNHKQRNJOPQOMMNQOOSQMSNOQONSPOSKQPOPOOONNLSRPQMKNOQKOOOPQQPKKRQOKNOLQNOOKPIQPPOPTORLOOLNPKKOONPNOTRMMOPQQQQPOOIPRORLNOONMOPORNMQONPURON
da na jimpe fi mi	Nobody understands me.	da,na,jimpe,fi,mi,nobody,understands,me		SONONMUQSOMLLNLROPIMLPLNKRMPRLPPSQOQNPNPOPPPUMLPPLNQNOOSPRPPOPOOUPOONMNSPNPKPPTTNSLPQNQQMRIMKSQRRPMYOPPPLROTPLLNLPNOQMQQLOMUJQLOLMQMONMLPOQOKORSOONOOPNPMPQNQOMPRLPJTPMIRONLMQPPMONONLQMPOQRNPNRPPPMRLKMPQONPRQQSNPMQNQPSMONOKJOMSMPNNMQOPRNOPRMRPOPLRNPKOROLNSNMOLNMQNMMQLKMPRPOROOPKLNSMOIPNKQRPMPMOLONHRPISLKNOORNNQPRNPQMRNOMRMLNPKPMRMNMMMTQSMNMNONPNQOPOMRPMNNOMNNLQTQKPQNOPRRORUSQQNNRTNM
