@rowCount	3393
w	d	n	t	g	r	q	v	s	b
tendo	$x_1$ is the tendon/ligament/sinew attaching body part $x_2$ to body part $x_3$ in body $x_4$	see {xadyskoterjo'e}	experimental gismu	tendon	tendo	KOOPNNSQRNVOSQONMQLPOSNPKOPPONJRKRMPPLMPOLPKPUNROPNOOSRQKLLOSQQQNLQMMOONMQPOTMQPKOPRLSMOLQOMPOOOPNKOOOTRLKLQROPONLMNMQOPRPKOLLMOOMPJHNMNLMPNLSNPKQLOPQPONNPMKOOQNNOKPMNOQKKMPNPOQLQQVMRNNOJQNKPQNOLNPNNMSTMNMUPQMOPOQPRKMOJOLRPOLROPNMQSPQNKJLRRNOKSPMOOQOPLNPMLNMNNNNPMTNTRNNOMLQNOSLPNNOPMNMOPOQOLLOOROMPLMLMQMMNNOLPVONNRLPPOPOPJORQQQOOPQOQMKRNJSOSQNOMQJOTLNMLRTMNQOMQTPMPPNMRNOLJPSPOQQSSQ
xirbakyku'i	$k_1$ is a cattle herder/rancher/vaquero/cowboy/cowgirl/buckaroo/paniolo/gaucho/stockman/ringer/gardian herding/tending cattle $k_2$=$b_1$ on horse(s) $x_1$.	Use fu'ivla for more cultural specific usage, like cowboy (={kauvboi}).	lujvo	cowboy;cowgirl;rancher		LMPQLKRNRMXLTOOQQOPMNRMRNKNPMQLQQOLSQNQRJJQMQPMNRQNOOQQMNNNTNVSSMLNPMOQMNPHQTOTPLNOLNRLLPOLNPQQMPPKQONOOLOLOMLONNNPQOOMLOQMORLQOOPOMNNOMJQRQKNQNNKNMQSOPMNQMMRMLPLNIMLLRPNNRJTQOOLMNQPQMPOJOOOPMMIPQTPRPQORMNONONOMROPRNONLQPLOOOQQROIUQONJOMNSOPOMQNLMORRNNNNLNQONMQMMORNOSNPMOPOOPNOONPKKRQLOPKMPOPLQPNOMNLLPRMKNQQNNWTMOONLOOINNLPRMLUPPTMPONSRRPPPMJMNKRNNNRLLORNMQPPOPQPORPOMPNQQPNQNQMPOSM	xirma;bakni;kurji
xircmo	$c_1$ neighs.		lujvo	neigh		NQQOKMTNSOUKTONOOOLLKROPOPNONOQMOPPMRNPQLJNMMQKOQOPPOQTSNMQPORMPOPNOMRQPQOMOSMPOKLNPRNKOOPKONSNONKFSMUOTLQMMPOPLNNOMPNKKQPLOOMQOMQOMOMJQMONOONOOQONTLNOQNINNLPSPOOKMRQLPQNRMPTPLMOQQNQRLONOOOKPJMJQNQOMSTQLPPNUPRNPLSNPJOMKPMLPOOSINLNSQNQLOPOUORPQNQSLMQQPQMMOMOOOQOLMLQSQUOPLRMNNPMORQPOMNNPMTKPNPNOMPLHIMPQNOLMOPLJUPPONQQOPOMOLMRSOSPQPPLRPSRONOQSMPLOMNOQPQOLRMQQQLLNPRQNNMPOPOPQPONPORSSML	xirma;cmoni
xirdegmei	$m_1$ is a mass of set $m_2$ with an odd number of members $m_3$	see also {landegmei}	lujvo	odd		PMQUOLUOROTIQLNLMNOQMMNQPQLOSNKQPQSOQPQRNMQOLSKQPPPPIRRPOKMLNQONNRMNNQQQPQQMRNOTIMROOQLNMRNRRQRRNQNPQSPOKPOMSMPJMMJMNOIMPPNNNPNOLLQLLONQJQOLPRMLQPOLNOMNQRPNNPPQONNMPMNMQONLNSRKMLNNMQRLNRMPPPSTKNKJSONPRPOLPMLUONOMMPPLONLLNNIOJQLOQMSPPSOPJLRPQPPQONPOPQMNQQONOMPLONNONOSUONRNKNKLQNSSMOQOPNPRMRJLJQONLQKOONPSNPOOMHSWJQMNPOQOMKRMOLPROPRNKPQPLPNQPOQLNQMPKMQOOPNOKPQMQNOTOQLNNJPPOMOQOPQOQQNN	xirma;degji;mei
xirdegna'u	$x_1$ is an odd number (integer not divisible by 2)	Metaphor taken from {xirdegmei}. See {landegna'u}	lujvo	odd number		ONRRRLTOSMTLQMQMOLPPRPNPPQLNUQMRLQRNTQQQOMOMLPMQPPMPJOPQPPMMOTQMPNMNKQPPPPPMQNNQJMRQMPNLPPPRRSRQNSKOPRLPQMNKQKPKNNKPLNKMOSNPPNPOMPOONNLPKTRLOONONOQMPNJPQRQORPNQOOMIPNOPMNNMPRROKIMOSPRIQPMMOOQOKMMMSRNPPPQJNNNVPMQNPOPKMLMNMNKOIQLQOMTQSNNPLPQONPMSPNNOOSPMPPNOQLOLMKLNKJRSMMQOILNONRRPNNPRPPOQKQMNLQOPLQKPOQOSOMPOMHRVLOLMLTQOLOQLMMOOPPOOLQOPQQQQPPRKPQNQOJPOPNJQLNSJQOKROPQLMNNRQPQNMPMQSSLN	xirma;degji;namcu
xirfi'e	$f_1$ is a seahorse of species $f_2$	See also {tu'urfi'e}, {pezyfi'e}.	lujvo			NPSPKNRNRNSJSMLPOPMQORNPKMMOQQJPOMPSQMQSOKPQPOKKMRKOLPOOKOOMRTTPMQLNOORNMNJOQNQPJMNOQPOKIQQNPPMPPOKOPPPNNMLKPKKHMNNQINLLPOPMOKNONMOJOMNRJOLPJNOONLMOOPOMNKPLKSNIMOKLNMKRQMOPNPQPQLQQPQPPORLQQOROROMPOMOPQNNLTMNNLQOOKRSOSQNMNKLOONNRONSPOPKOONUQTQOMNNNRLRQOONNQLPLNONNQRJOTRQQQPPSOSMRRMMPOPNOSNOOOLLQSJPNNLNTPNPRLOKPTNMNPHLQOSPQNMMNQQNSPLPPOSPPNPPNMMOORPMROMMQQONRONQNSQRSSLONOSMMRRQLQPQSQ	xirma;finpe
xirno'i	$x_{1}$ is a noble with conferred nobility order $x_{2}$.	In the modern sense: someone belonging to a chivalric order.	lujvo	knight		NOPMLNQMRQTNVLNQPNMROONQOMOMQQLNMRLQRQOQMJPOSONLMNOSOPNQOKPPMSSPLOMNLPQLNPKMRMOPKRMQOPOLOPMOQROPTPLOMRLSMOOMQJMJKKKSKONLOQIQQNPOOSPMKNOOMOTMIPNRPMNMNRMQOOSMMQSNPLKMOOPPOLOONNRMLLQMQRPKORJLQKPSOKMOSLPQSPPOMOPOLQMPQNQLQPNNNNLONONRRKNRLPJMOLSPQPMSQLQNPRPPOMNQMNOOOLNPJMPPQNQNTNRPRRROLMQOTPOSIRNRMLNMLOMOOMQRJOLMNMQTOLONLMRONNPKNLPLQNQOOLQLSOOORNQLHPPNPROROKQSNJTQQOORSPNOPLOOPKMQQQMLQOPN	xirma;nobli
xirsoi	$s_1$ is a horse cavalryman of army $s_2$.	Cf. {xirma}, {sonci}, {dzusoi}.	lujvo	cavalry;cavalryman;horse cavalry		KQRNLOSNQLUKTNMROQPPLRPRPLNPMQLNMNMSPNMRQMQNSUOLNTNOOOPMOPMRNSRRLOMNNMPMMLKOPQPNLPNNPSMLNONNPSOQSSGNPOOOKPKLMLQILKNQIPKQNRMMPMPOPOQNKLQRNMSONOOPONPPNRLONOPQNQLMOLMJLLKRRNMPLPONPLOORRQMLSINOOQSKKOPQOPOSPPMOPMMIQMPONUKOPINLQNOPRPONKUPLPKOLQSOQPPRRMRMOQONQOLKOPKPNNNOSLPRPMLONOOOSNPOQKOOSLLRMOOMNMQQPPMROLQKJKPQMNNSPMQONPROOPNNLOLLSQTOMNRMQNOMPOPKKPMRLOOONMSRMKRPOPOQSOROQLOOSQMSRNLOPPRP	xirma;sonci
xiryre'u	$r_1$ is horse meat from species/breed $r_2$=$xi_2$.	from {xirma} + {rectu}	lujvo	horse;horse meat		LPSRLNQMRLWJSKMNRNMPOQORPNOOORNNQMMQQKQQPKPOSSMMOPLQJPQNMQJPOSRQMOKRONQOOPKPROROKNOMOQMMKNNNORQOQQMMPPNNMNJMPKNLKLOTLOLMNSOLPKQONMOKMONQINPKKOQPNLQQMRPPNLOKIRMLMMILOLMQRMOOLRNMOMPORQNONSJNPPROMLMQQQQNONPMOMOOKQKOLTRMSNLMKMNOOPNRNLSPOQKMONSPOPPPOJNNOSNQRMMNMNMQQMNNSNOVPPONOPTORMOPOMNOOLMSLOPMPIPRNRNNLMSQNLRPPLNWQNOQKMRONLPNOOLNTPQRKPMPROROQPMMNOMRPLNOOMQQONRMNNNRROSQNLNOTMLQQPQNQQSP	xirma;rectu
xirzda	$z_1$ is a stable for horse/equine/[colt/mare/stallion/pony] $z_2$=$x_1$ of species/breed $x_2$	Cf. {cagdaidi'u}	lujvo	stable		NMRQLPONRMUMSLLSMOMRMQORMOLORPLPQNMRQLQROJQMQRNMLROOKRPQMPMNQURQMQKOQPQMMMKQTNSPLNNMQQNKNONQRQPQRPLOPSOPMMNKPKMGONJQIOMOORNKRJPOOMMNLNMNGMRNJNQOQMOOOPMNPOPOJRMMMMJJLNNROOPPOPOONNONPOPMMTHPQOQLPLLOPQPPOOOLNOOPMOJQMPROOOOQMMNONPKSMMRNOPKOMNUMOPQQQLJPPRMMQPKLMQNONKONROOSSPQPQOTPQNRQMLMNNNOSJNLNOKQQNOOOOLSQKPRPNLMUQOQQKLQOOMPNOONKTQQPKNNOPRPPOPPKLMQQKMROOLRQNOTPOONQSQUOOKMMRNMRQOPMPRRN	xirma;zdani
xislivnunsla	$n_1$ is Easter celebrated by $s_1$ with activities $s_3$	from {xriso} {cliva} {nu} {salci} c.f. {xisyjbenunsla}	lujvo	Easter		QSSOOQRLPMUKOOROLPNOMNNRPQOLQPNQNMNRQKRRKLRKRRQOOPPSNQPRNGPMLSROJONNPONOSQLNQNLNNQRMMQKPQOPQNQOMPLMRPTOQLMLMQLOIPJLRMPMQRPNOMMQONPRNQOPNNJSNJPLPLOOPMKNOPPRQJRSNPNNNNMOQRKKPKORNOMTOKOPMPOOMPMOOLMQQPMONPMONPJRPNQQKLQTLMMKQOONOKNIMOKSMQQJNJORNTTNUNQONOQQOUONNNPONOMNMRONROROPOPOKNMRQMJNLPOPRNOOPPPPPLPHSPNRNKNNNJKQTMOMOMPQORLOPOLRNTNNQNPNPOPPNQPQJMQNRLLOLKLQPRKPLTMQQMPONNMNPPLLTOPOMQQQP	xriso;cliva;nu;salci
xismalsi	$x_1$=$m_1$=$xr_1$ is a Christian (Catholic/Protestant/Anglican/etc.) church at location/serving area $x_2$=$m_3$	Doesn't distinguish the type of Christianity. cf. {xriso} and {malsi}	lujvo	church		SMRQMKOIWKRJQNRNMNQTNOMSPPONRQMRNPPPPPQOMNSMQRLOKMPSMPMQIOLOQPSQKPMPPMQNPQLLRPMOMQOOQQNNOPRQNOPLQOMPORPOOLMORJPKLLPRMPLQMMOORMQOMOPLLPPPJNSOKOOOMPMMNNMSPMSSNPNOOOOPQNPMONOONQPKMOQOQQOJPWNONKONNMOSPOQMTSSLLOQSLRNMPPUNPLLRPOMOKPLLLNQOPMMLJOMNRQNVNLMOOQNPTIMQMNLLNOOKRLNUPPQNQONKONQPJLKOTNNSIPOROQNNOMLPQLRLQMLPOLSRMPNOMPOORKOMONRJRMLNKNMMLNRSROQLPPMQMLROMRQOPORPQKOQPOPQQNPROKNQQPPLPPTO	xriso;malsi
xismei	$x_1$ is a Christmas of Christset $x_2$ containing Christmember $x_3$.		lujvo			OSQPNPULTNSHRLPNKRQNOOMRORMMPPMNOONSSPRQMNSMQQKPMOOONPOSMKPNOSPPNKONNPQQROJOTNOQOQQPNRLMLPPMNTMNPQLSPSRPLLJNQKNKJKNQOMKRRQOQOMROONPLNPORJMONIQNMKMNMMOQPONTRLQQOQPNQOMOOOMOOLNQKQPPPNOOKNSNONJQPKNQOPONNSNOOPOOPLORQONSNPNKPPMMONPNONLPTOPLOLOPOTUMOPRLKOPRPRKLLLNMNOPNPRNMWSNLPSUJJQMOPIMOMROOMOMNQOSNMHMJOOMQMONOORLTTMQOPONQOOMKMPNQKRPQQMMLOLONOPPPMKQOSKOMQNMORKNQMTMQSOMONRPMQLNMRPQPMQMRN	xriso;mei
xisybalmalsi	$x_1$=$b_1$=$m_1$ is a cathedral [Christian church which contains the seat of a bishop] serving diocese $m_2$.		lujvo	cathedral		PPROIKPNVMOKTMNONPNTNQLSNONNQOOMQRNRRLOQMRRMPSIOKMMQLOMSMNLNPSNSINOQPOONQJLMUOOONPNMPPPOOLRONQPORQLPORNONMNQRKOJNLNQQKMOLLNONLOOOQNLMRNRIMRNKPNOPSNPPONPSOQPMPPNNOMOPPOPOLNNOPOKLKQOQOPKOQQOOMOQMKMQRQOKRQNOMKNTNPLNSQUONNMROMQONOJNLNQPPMMMMONNQOMTSMMPPOQPTJKOLPKQMNOOPMPVPPQOSNOJQRPOHNLPSNNRJPNRNOMPLQMPOMQQPOLLPHTRKNNPPNPOPLPLLJSLQMQOKOOQMLRQTPQLNPOPLORONOQRPNPLRKORNOTSSOPPQKMQSPPOQRSN	xriso;banli;malsi
xisyjbecte	$n_1$ is Christmas Eve of Christmas Day $n_2$ at location $n_3$.	Cf. {xisyjbenunsla}, {xisyjbedetri}.	lujvo	Christmas Eve		PRQOOOSMPLMMRNPPOPRPUMORQUPPLOMSQNRRSNPUNMSNNPONNRONPPMPNKOQNURSOLNOMNROOOLNTPPPPMQQKQLQQNPMLRNNPNKQRQROLMMNNMPLOPNTONOORNNQONPOPOPMOONQGPOOKLORMLMPNKNROQPNORRMQPNLMNKMONJOQNPMSPONNNRNLQOOSMRKONSQROQMQNOOPORPOOSNQQROJRLPQMOOQLKNKJQPQUKMLMQNVSKOOPMLMOQPNLILNNNONOOOMNMUPNJORQLKOMOQKPJLOOMQQPKQMTPNFQIRNOONNOKRNNTVNPQSNNOOPNKPQMSNOQOSPPRPROOORPMQLPOPQMOMMNMMLMNLQMOPOQPMOMHONPQPQMSPRPQO	xriso;jbena;nicte
xisyjbedetri	$d_1$ is Christmas Day at location $d_3$ in calendar $d_4$.	c.f. {xisyjbenunsla}, {xisyjbecte}	lujvo	Christmas Day		QSPQNPSNRNSJPOQMJQPPPNNQNSLNPRMSPQRQQMSRMNSMNQPQMQPQMRPSOJROMSPQMMLOOKOOPPMOQNNOQPQQNQLNPNQPMTJLQPLQQSPQLLJNLMMLLKORNPLOOPKOMLTOLPRLPMMPKNRMINOONNMQOMOPOPRQMPQNPOQNQMKOOLLQQQQLUOPPLPSMMPQOQKPMLLPQROONUNQRMPPNJPRPSOQNNNLQPOOOPLLNLKPPSQJNNOOQVUJRNNINNPQNPLJKLONONMMPOOMUPOMQQTNMOMPRNNMLOOOQOLLQRPQOGNGQSOPPMQMQKORPKPNTLOPOPOMNQKRMQSRPMOMONPPOPONOLNOSNNOMNNOONLMMSKPQMOPOOOJQMMOSNNOOPPPP	xriso;jbena;detri
xisyjbenunsla	$n_1$ is the Christmas celebrated by $s_1$ with activities $s_3$.	Cf. {xisyjbedetri}, {xisyjbecte}, {xislivnunsla}, {cmuxi'ojbetersla}.	lujvo	Christmas		MQQRNPTNPNTJRPQQJPPPTNMPOOKMQQNPSPNTPNPQMKRJQSOOMQMQNQOQPKONLUSPMNOMOPPOROKNTMKROOOOMRJNORLPMSNNPMLOOTNOMIKKNLQJMKNTMMMOSROPPLSONPPMMNNPLNQOKOONKNNQNNOQMOTRMPQOOOMNNOOPQLLQNQPNSOSNPPQLNPNNPHPPLOPQQNNORMPOPMRPKQRNOOROMMKNNPMOONMPNJOQPTKMMOQPSUMROSMMLPSORLLMLOOOMMNLQNMVQPKNQQMJPKOQLMMLQPONLOROPQQRIPHOOPQMOPNPLMQULPNSMNQOQOLKOMQLTOPOONNNOQOPQNNLKQOQKMPNOMNQPLPORLRQLOKLQPOOLNMSPPPNSQRQ	xriso;jbena;nu;salci
xivba'a	$x_1$ is a scar on $x_2$		lujvo	scar		NQSSPOTMSMULQQNOLOOLNRPPOMNNQPJJMRPNRQPSLOQNQPNOMKLONLQOOMRPMQQPOMPNPSNOMPLPTOQRNMQPOSNLKPRMOULMQPIRNLNNNNPLQKOJNMMLMMQNPNNNOMNOQQNIONMNKNQKIPNPOOLNNQNNOQRLNQMQPMNPPNNPQOJOPQQNLKQRNORLPNPNPMTPLNONPNMQUNNNMPKQLOPKQNTOMOKMRONOLQPLNKRTMOKMNOSNRQLPONMQNSTPMKNNNOLONKNNQJMUQNQPSPONRNPONMNRNNNSQOPNMPQTMQMONNMUKKORPOPTKNLONMPOONOIMQNNPNQQLTMMMRPNOPPOLQNRLPQLRRPOSNQQUKSSMPRMOQQMMONNSSNRUMQS	-xiv-;barna
xivgau	$x_1$ heals $x_2$ of injury/ailment $x_3$ (transitive); $x_1$ is a healer/medic		lujvo	healer;medic		NOQQNOTPQNRMQOMNLPKSMTMRNOMOPOMPNQOSPOONNLPLRQMPNOGQMWPOMKJOMQSQMLONNQNMPPLNRMMOOQORJRNLOQPPQPQPQMLPNSNPMMLMPOOMMLNSKMONPNPMPLROQNOKNOLNLKONPQLPNQOQOQNPNQQOPQOQOMNPNNNMNNNNROJNNLQPQMPMOUMPRLQOOMLNSOJQQUNNLMORHPMTRNOPLLLPONLOQPLTPJNTRRLLIPNPQOMTQOOPPRRQMMQMMMORNKMNTKNTRMLQQMSMQOTPQKILQPPQMOOMMOPQKONNKLPPLKQOLJSQNLPPKLKOQMNMMMOPQQOPOOSMORLMPMPMONLMMKQOPOOOPJOPSPQQRMQQNJQORMMRQPPOSSRP	-xiv-;gasnu
xladja	$xl_1$=$c_1$ is bad food/junk food (in one sense) for $xl_2$=$c_2$, bad by standard $xl_3$.	The word “bad” is subjective here. The food can be “bad” for $xl_2$=$c_2$’s health, it can taste bad, etc. The “standard” place can be used for disambiguation.	lujvo			PNQRLNPOQLULUMPLSMNRSSQPMPPMRPNRRPOPTKPOLLQLNRNNNMPQLOSNKONPSPRMPLLQNSMMOPLNTLOOOQPOPPLNPOPNSRQNOLOOORMOQJONQONNOJLPOKNKJNNPQNNOMOQKMMMROQUMISSOOONNLNPPMPNOMOMOPMMLMTJNMONPRQOLOKNNRTNLONKOOPQOOJONNPQOQPPMMRPQONNLLRQJSRHONPKOLQMSMLRORPJMOPUQOQLRONKPMSQPMKOOPPMMJKMMRPMTQNNKQLPLOSRRLNOPOLOTMNPPPNNPMMKONPPOMONMMMQSNQLMKPPONLOPMNOMSRMPKLJPNPPQQQPLONOQPKRPPQQMNMQSONMPLRPRPPPSOLPPQRPOTQOP	xlali;cidja
xladji	$d_1$ is spiteful/malevolent/malicious/mean to/towards $x_2$.	Cf. {fengu}, {palci}.	lujvo	malevolent;malicious;spiteful		QOPOOMQLROTMVQPNOKOSOROOQONQRQKNORORRMNNLMQOOQONOLNOLTNJPPOMOTROPOPPOTTMNOMNTNOMKSQPOPONRRMSVQPMNLKPOQJPPMMKMNNKPIOSNOMOQPLOOJMORPMMNMPPNPORLRPPMPNONONNMMNSLPPOQSLLJPNNOPLNRONJKJSMTUMLMSLONLRPOIMPNPPPROOLOLRQKNOOKPRJOQLNRQIOMQMPLORQNPIJLQQNSQNPPPNNPOULMORSNOOPQPOJOOPQPPNMONQOQROPPNOOLKNQMQPPTOOSONONNMQNONNLKIPSPPMKONQOOLOMPOMNTNRNMMLNQONONRKMNMLPMOOQLMNSOKQQTQQPPNLOOMQPLMOMQPOPVMSK	xlali;djica
xlafri	$x_1$ suffers from $x_2$ (event, process, object).		lujvo	suffer		QPSSPNTPVMSMSPRPMLMOOQKPLPONUONMLPSUQKOMMMRMQQLNLMLQPNRPNMNNLSOPOOOMPTNNJROORKPOPPNQQRNMOQONRUQOQOLQOSLQNKMLOONJNKNPMLNQQPINOMQOQKNKNQMPLOOLJLRNMQJPMPMRMTQONPMNMQLNPRONNPKPNOQKMJPPSRSKPPMQNNRORKNKOMNPQLPKPOOPLKPOPRQJMOMMPNKOLQLPMJROOOLLLSRPQRNQOSNNMQTMPLNQKSLMNMNLROOURQNLRRPLNOPNPJLONNOPOROQSLOTJMMRJPRPMPQLMONSMPMPNROOKMOKNONQRONMLQPOQTNMRQPMKONQKKQQPONPPMPPSOMRNOOMQQPPNMRQSPMPUSRQ	xlali;lifri
xlafu'a	$f_1$=$xl_1$ is unlucky/unfortunate for $f_2$=$xl_2$ by standerd $xl_3$.		lujvo	unfortunate;unlucky		MPSSOPPPTLVMUNNNKPMNKSMOONNOUOMQOPOQQLPONIPLMRNNMLOOMNQQLNNNPQQNOMPOOUONLTMOULOTLPNPOOMMRMOPSUPNRPJQPRNPPMPKROQMSNMPIKNNOPPONMRORPNLPNMRKRRLKNNOOOOOOLONKRPMPPOPRLNLNQLQKOLKQNOLNJNQPTRNPRJOMMRNPLONMPQPORPMOOUOPQPMMQSJNPNNPMKOKQNPOLTOQPKNKPVNQRLSQLJONRRPKLPNLONKHLLMPOMQRNNNQMQMPSRROLMRLJPOKQORPMPPKKOPMQONMMNKLOSRPPNRQPQOLNNLNMLLOQNMNMNPPSNQQTOJKQMRNMSPQPONRMQPSONRNPOPPLPMNMRNPQNNSPNP	xlali;funca
xlajijnu	$j_1$ is pessimistic about $j_3$.	Cf. {xlali}, {jijnu}, {xlajijnu}, {tradutxu'a}.	lujvo	negative;pessimistic		QPRQMMPPTNUJWOPOOLLSLPKQSOMQPSLPOPSPPOPQKMOKNPLKOLMQMNPNOONOSROOQQPLMUNMMNNOVNOORPPNNQOLPNNNPSNQLNIQMRNNNKONQMLJQJJQLQLNPQPROKROQOQKNOKNMMRPKQQPMOPQMONKPPRPJPMPMKLMMQONMPLLTOTLJKPNQRQHNQMLOLOKMNKNPOQQPPQMPORQMNPMOPSOPNJMOQLOMPKPLOTSNPMMNPPQQOMQNPLOOQTOKKLRMPMPLLNLNPPNPOOMQPPPNRPOKLNQNOSQMUNSSNQRKOLPNPPQNONNLKNRNOMMOQSOQLRMOOQMRPSPLRLRQOQORQNOOQNQKNQOPMNOQQNQROLRQLROONSQOOLONPJOUQPN	xlali;jijnu
xlajvo	$x_1$ is a bad/poorly-made lujvo with issue $x_2$, bad according to $x_3$ and by standard $x_4$	The badness need not be an error per se; it may merely be some feature (x2) that is not desirable or relatively preferable.  For example, perhaps the terbri structure is not predictable/regular/algorithmic, or the lujvo is very long, or the lujvo is not the highest-scoring lujvo (for some fixed tanru construct) according to an algorithm/standard. See also: {srejvo}.	lujvo	bad lujvo;poorly-made lujvo		MLTPMLMSONSOSNONRNMORNNMOSNPQNMSPONQPOQMNLRLPONOLMLQQQPLLRPONRMNSLOLMVMPLTLPVNOMRNOOTQNLQQQMRQTPQNLQPONNOLRNOKRKPHMNMQJPMMMQQLMOPOLMNQOOKNQMJPSQPNLOQLOMOSSNLRKMSROMJONLMQMRPPRINOOPQRPNQOMPORNNOOMNONOLOPQLQORMMPMNKOONMQNMOPLOLSMTJLQNQTLKKQTNPLMPUQNPMQNNMLLNNOPMOMMLRPNRPLQMPOOMMTNPMQNRNKPQQQQQQMQMLNMNJNOQQPRQMMSSMQPQPSQOILPNOLMORONNJLPOMQNPRPOMJOMQMMPRTPNPMMOQSTOSPROKNLRQMOOMPNONTTPQ	xlali;lujvo
xlakemsamtci	$t_1$=$xl_1$ is malware (malicious software) on computer(s) including $s_1$, which is/does bad for/harms $xl_2$ according to standard $xl_3$.	See also: {xlali}, {ke}, {samtci}.	lujvo	malware		JOPOQLRQTMTPUNNPKLNPQTOONOPMTQOQNPNTRJNNNLQONRLOMNMQMPQNKPOPQRRONMMOOROOKQONUNPMNNQQORMLSNPOSRONQNLQNPNRNJQMSMOLOJMPMMNMONOMRJNONPPJMLNPJPQNKSSPSMMLPNOQOPOONPNNMOLOLPKPONLMQNMLLKLQSUNLNOLNNNSQNKSRORNOQPJLMQQRMNNMMRPKOSNNNQHOLQMPJMTPNMMQMLTRPQLQNOJONQRRPNRPLPNLMMQLTQNSRPMMPKTMRORRMPMPOKMPKPPRRKRRMOHNNNPPPNONLKPTLNNPLQOOMKPLOOMMQOPLLLMPNQONRPNNMPQRMKNPQQQQRMRQRMNPLQPPPLQPNPQPOPQOTPPO	xlali;ke;skami;tutci
xlamau	$x_1$=$m_1$ is worse than $m_2$ for $x_2$ by standard $x_3$, by amount $m_3$.	Cf. {xlali}, {zmadu}, {xagme'a}, {xlarai}.	lujvo	worse		RPTROKNPSOTNUQNMPOMPPQNPQNKPSQKRPQNPQMQOKMRLOVLNMMMRLPPPKRNMMQQMOOOPNVOPMSMPSNORMORNPONKSOPNRRPOPPKPPQLMPNRMQMQJPKOPNPNPNNNQOMQOORPLMONQOORNJOQNMQOOPLOMNPPPOOOMOPLNOSNPLRMKPQPKMHPPPTRKPOKROMRPNKNQNMOQNPOLSPQNNQSMOOTLQPJMPOKOLSNPJNWQQNKKNOUPQPKPNQLPKQOQONPOLPKMJMNKQOMQQMNLPLNINQPPPKMPPNORKPQQRNOOKMKPPRQPKQNKLOTQLSLMQOQOMKQKLPMPROPNLNKQNMMQMQPKOSMSLKQORNPMRQORPNMRPNPNNOSQMKROMRLPSQQO	xlali;zmadu
xlame'a	$xl1$=$m1$ is better/[less bad] than $m_2$ for $xl_2$ by standard $xl_3$, by amount $m_4$	Cf. {mleca}, {xlali}, {traji}, {xagmau}, {xlamau}, {xlarai}, {mecyxlarai}.	lujvo	better;less bad		SQSPOLNQSOTNVRRORPJOPPOPQNLNSRKRSPMPPLROKLRLLUMNMNNTMORQLOMLNPRLOLNONWMPLRJPTMORNPQPPOPJQNRRRSPOONLQQQNJNNROQORMOLNPNNOQOMNQOMPONPPJMONQNOPOJQRKKNPOOLNOOPPONOOMPNOONSNOLQPOQQOJLJQNPURJPOKRMNSONKPPMMORPONKPORNMOPNPORMSOIMOMLOMSPTKLUORQKMNNUPNPMPPPNQLQNQOMNLOQLMKLNKPMOQPMOKPLQJLSPOOLNOOOORLOPQQOOPMOLPPPOSKQNKLPRPLSLPQNOOLJQKLPLPRMRNKMLOOOOPPROMORNSJKSOQOSOONPRNNLQPLPOPKTPMJOOMRLNSQPO	xlali;mleca
xlamu'ijijnu	$j_1$ is cynical/suspicious about the motives of $m_3$ with regard to action/event $m_2$=$j_3$.	Cf. {xlali}, {mukti}, {jijnu}, {xlajijnu}, {remxei}.	lujvo	cynical;suspicious		PMRQRLUMRNVLUOPPNJKTOMPPOMPOORPRMPQSPNQPKJSOOQOMMMLPLQPNNPMMORSONQMNQPTMPOMLVONNPUPPNOKLQROPRRMOOOKPPSJRQNNMOMNMOLOTMPMOOQMONINOQROMLNNPMQQNJONQKOQNNNOOONRPNRNQPOLOMNPNQNMONPMKNLQORSPKPPLOQKLNMKNPNPNQQONMOPQRLNNNKQSMPQKNOQHOMOMPNKSOOSHIMPQNSPNUQNKNOQRNPPNTOPMQMLOLONPPOPOONNQOPQPRKLPNQOLOJQOMTORPJNLOKMPOMMQOLNOTMLOKMPQOPNOLOMOLUMPMKNMMORPQSPKMMOMQNMNMNMORPIQQTOMRONQNOORMOMMRQSMNUPQM	xlali;mukti;jijnu
xlapre	$x_1$=$p_1$=$xl_1$ is a bad/poor performing person for task $x_2$=$xl_2$ by standard $x_3$=$xl_3$	be careful not to confuse bad/poor performance ({xlali}) with bad/malicious motivations ({palci})	lujvo	bad person;poor performing person		PPPPLMRPQMVMWNPMQNLPQOOONOMNTRLPQQORQMPNLKOLMSNNLMMQNOSPMQMNNQSMPNLMNUNLNPLMTMNQNPNPORNNTNPRRRPMPPKPPRNOPLQPOLNKNJNQKOLPNNMPNJOOOQPMJOMPNORMISPQOPNPOPNQOPQNMPONPMKMMQNNLPPNOPPKLLPPTSOKQPJQOMNONKNOONOPQQPKONQPMPNILSQMQRKOMRLOMTLQOMVMPRIJLPSNPQLRPPLOOQSQMLOOMQMLMKLLQPPRONMJPLPLNRPPNKOQOLOTJOOQPNORMMKNLPQOMNNNJMTSKNNONPOOMMRLOMMNTOQLNKOOOSPQTQMNOPMSLLQOQKQPONOUPOOSPONOPKSOMMOOQQMMTSQP	xlali;prenu
