@rowCount	5743
w	d	n	t
tibicen	flautist	(flute-player)	n
tick	jiffy	(unit of time defined by timer frequency)	n
ticket	[object Object]	(traffic citation)	n
ticket office	[object Object]	(an office where tickets may be purchased)	n
tickle	fazer cócegas, titilar	(to touch in a manner that causes tingling sensation)	v
ticklish	coceguento	(sensitive or susceptible to tickling)	adj
tic-tac-toe	[object Object]	(a game)	n
tidal	de maré	(relating to tides)	adj
tidal wave	[object Object]	(tsunami)	n
tiddlywinks	[object Object]	(game in which the objective is to shoot winks into a cup)	n
tide	[object Object]	(periodic change of sea level)	n
tiding	[object Object]	(news, new information)	n
tidy	limpo, ordenado, arrumado	(arranged neatly)	adj
tidy up	arrumar	(to make clean (a small room or small space))	v
tie	atar, amarrar	(to attach or fasten with string)	v
tie clip	[object Object]	(clip to hold tie)	n
tier	[object Object]	(layer or rank)	n
tie tack	tie clip	(pin to hold necktie)	n
tiger	[object Object]	(The mammal Panthera tigris)	n
tight	apertado, justo	(pushed/pulled together)	adj
tightrope walker	[object Object]	(acrobat who practices tightrope walking)	n
tights	[object Object]	(woman's garment)	n
tigress	[object Object]	(female tiger)	n
Tigris	[object Object]	(river in Southwest Asia)	prop
tiki-taka	[object Object]	(style of play)	n
tilapia	[object Object]	(any fish of the genus Tilapia)	n
tilde	[object Object]	(key)	n
tile	azulejar, ladrilhar, telhar	(to cover with tiles)	v
till	arar	(to work or cultivate)	v
tilt	inclinação	(inclination of part of the body)	n
timber	[object Object]	(wood that has been cut ready for construction)	n
timbre	[object Object]	(quality of a sound independent of its pitch and volume)	n
time	cronometrar	(to measure time)	v
time bomb	[object Object]	(bomb with a timeout mechanism)	n
timecard	[object Object]	(card for tracking work hours)	n
time clock	[object Object]	(A device that records, on timecards, the times that employees start and finish work)	n
time flies	o tempo voa	(time seems to pass quickly)	proverb
time is money	tempo é dinheiro	(time is money)	proverb
timeless	{untimely}		adj
time limit	prazo	(a time by which something must finish)	n
timeline	[object Object]	(schedule of activities)	n
timeliness	[object Object]	(the state of being timely)	n
time machine	[object Object]	(device used to travel in time)	n
time of day	time	(time according to the clock)	n
time-out	[object Object]	(break from a heated or stressful situation)	n
timeout	[object Object]	(The intentional termination of an incomplete task after a time limit)	n
timer	[object Object]	(device used to measure time)	n
times	vezes	(multiplied by)	prep
Times Square	[object Object]	(wide intersection in New York City)	prop
timetable	[object Object]	(a structured schedule of events)	n
time travel	[object Object]	(hypothetical or fictional travel to the past or future)	n
time-traveller	[object Object]	(one who engages in time travel)	n
time zone	[object Object]	(range of longitudes where a common standard time is used)	n
timezone	{time zone}		n
timid	tímido	(lacking in courage or confidence)	adj
Timișoara	Timisoara	(city in Romania)	prop
Timor-Leste	{East Timor}		prop
timpanum	tympanum	(ornamental panel)	n
timps	{timpani}		n
tin	enlatar	(to place into a tin in order to preserve)	v
tincture	[object Object]	(essential characteristic)	n
tine	[object Object]	(prong)	n
tinge	tingir	(a small amount of something, especially of an added color)	n
Tinkerbell	[object Object]	(fictional fairy)	n
tinkerer	{meddler}		n
tinned	canned	(previously prepared)	adj
tinnitus	[object Object]	(perception of nonexistent noise)	n
tin opener	{can opener}		n
tin-opener	{can opener}		n
tiny	minúsculo, muito pequeno	(very small)	adj
-tion	-ção (unless previous letter was "s", when "t" remains as is, like in "digestão", "questão", etc.)	(producing a noun meaning the action or effect of a verb)	suffix
tip	dar gorjeta	(give a small amount of money to someone for a service provided)	v
tipi	{teepee}		n
tip of the iceberg	[object Object]	(only the beginning)	n
tipping point	ponto de inflexão		n
tipsy	[object Object]	(slightly drunk)	adj
tiptoe	andar na ponta dos pés	(to walk quietly)	v
tip-top	{excellent}		adj
tipula	{crane fly}		n
tiramisu	[object Object]	(semifreddo dessert)	n
Tirana	[object Object]	(capital city of Albania)	prop
Tiraspol	[object Object]	(capital of Transnistria)	prop
tire	cansar, fatigar	(to make sleepy)	v
tired	{overused}		adj
tiredness	[object Object]	(state of being tired)	n
tireless	incansável	(indefatigable)	adj
tire out	cansar	(make someone tired)	v
tiresome	cansativo	(causing fatigue or boredom)	adj
tissue	[object Object]	(woven fabric)	n
tit	[object Object]	((slang, vulgar) a woman's breast)	n
Titan	[object Object]	(moon of Saturn)	prop
Titaness	[object Object]	(female Titan)	prop
Titanic	[object Object]	(ship)	prop
titanides	[object Object]	(daughters of Uranus and Gaia)	n
titanium	[object Object]	(chemical element)	n
tit fuck	[object Object]	(stimulation of a penis by breasts)	n
tithe	[object Object]	(tax paid to the Church)	n
Titicaca	[object Object]	(lake in the South American Andes)	prop
title	[object Object]	(prefix or suffix added to a name)	n
Titoism	titoísmo	(socialist ideology)	n
titty	{kitty}		n
Tōkyō	{Tokyo}		prop
tmesis	[object Object]	(insertion of one or more words between the components of a word)	n
to	a, para	(used to indicate the indirect object)	prep
toad	[object Object]	(amphibian similar to a frog)	n
toadstool	[object Object]	(an inedible or poisonous mushroom)	n
toady	[object Object]	(sycophant flattering others to gain personal advantage)	n
toast	tostar, torrar	(to lightly cook in a kitchen appliance)	v
toaster	torradeira	(device for toasting bread)	n
tobacco	[object Object]	(leaves of certain varieties of tobacco plant)	n
tobacconist	{smoker}		n
tobacco pipe	[object Object]	(smoking tool)	n
toccata	[object Object]	(musical piece)	n
Tocharian	[object Object]	(language)	prop
today	hoje	(today (noun))	n
toddler	[object Object]	(young human child)	n
to do with	ter a ver com	(relate or relevant to)	prep
toe	[object Object]	(each of the five digits on the end of the foot)	n
to each his own	a cada um o que é seu	(every person is entitled to his or her personal preferences)	proverb
toenail	[object Object]	(the plate covering the end of a toe)	n
to err is human	errar é humano	(Everybody makes mistakes)	proverb
toffee	[object Object]	(uncountable: type of confectionery)	n
toffee apple	{candy apple}		n
tofu	[object Object]	(protein-rich food made from curdled soybean milk)	n
toga	[object Object]	(loose outer garment worn by the citizens of Rome)	n
together	junto	(into one place)	adv
toggle	alternar	(to switch between alternate states)	v
Togliatti	{Tolyatti}		prop
Togo	Togo	(Togolese Republic)	prop
Togolese	[object Object]	(A person from Togo or of Togolese descent)	n
toilet	[object Object]	(personal grooming)	n
toilet paper	[object Object]	(paper to clean oneself after defecation or urination)	n
toilet roll	[object Object]	(roll of toilet paper)	n
toilet water	eau de toilette	(perfumed mixture of water and alcohol)	n
Toisanese	{Hoisanese}		adj
Tokelau	[object Object]	(Oceanic country)	prop
token	[object Object]	(something serving as an expression of something else)	n
Tokyo	[object Object]	(capital of Japan)	prop
Tokyoite	[object Object]	(A person from, or an inhabitant of, Tokyo)	n
told	disse	(simple past tense)	v
tolerance	[object Object]	(ability to tolerate)	n
toleratable	{tolerable}		adj
tolerate	tolerar, aguentar	(to allow without interference)	v
toll	anunciar, badalar	(to make the noise of a bell)	v
toll road	turnpike	(toll road)	n
tollway	{turnpike}		n
tom	turkey-cock	(male turkey)	n
tomahawk	[object Object]	(American Indian axe)	n
tomato	[object Object]	(tomato plant)	n
tomato juice	[object Object]	(juice made from tomatoes)	n
tomato sauce	[object Object]	(pasta sauce)	n
tomayto, tomahto	tanto faz como tanto fez	(to suggest a distinction without a difference)	phrase
tomb	[object Object]	(small building or vault for the remains of the dead)	n
tomboy	[object Object]	(girl who acts as a typical boy would)	n
tombstone	[object Object]	(stone on grave)	n
tomcat	{tom}		n
Tom, Dick or Harry	[object Object]	(anybody or everybody; random or unknown people)	n
Tommy gun	{Thompson submachine gun}		n
tomnoddy	{puffin}		n
tomography	[object Object]	(imaging by sections or sectioning)	n
tomorrow	[object Object]	(the day after the present day)	n
tomorrow is another day	amanhã é outro dia	(a phrase indicating that tomorrow will bring new opportunities)	proverb
tomorrow night	[object Object]	(night after the present day)	n
Tomsk	[object Object]	(а city in Russia)	prop
ton	[object Object]	(unit of weight)	n
tone	[object Object]	(specific pitch, quality and duration; a note)	n
tone-deaf	amúsico	(unable to distinguish differences in pitch)	adj
tone mark	[object Object]	(tone mark)	n
toneme	[object Object]	(phoneme)	n
tong	atazanar, atanazar, atenazar	(to use tongs)	v
Tonga	Tonga	(country)	prop
Tongan	[object Object]	(Austronesian language)	prop
tongs	[object Object]	(an instrument)	n
tongue	[object Object]	(organ)	n
tongue-tie	ankyloglossia	(oral anomaly)	n
tongue-twister	trava-língua	(phrase which is difficult to say)	n
tonic	{tonic water}		n
tonic water	[object Object]	(carbonated beverage)	n
tonight	esta noite	(nighttime today)	n
Tonkinese	[object Object]	(cat breed)	n
tonsil	[object Object]	(palatine tonsil)	n
tonsillitis	[object Object]	(inflammation of the tonsils)	n
too	demais	(more than enough; as too much)	adv
too bad	que pena	(That's a pity)	phrase
toodeloo	{goodbye}		interj
tool	talhar, trabalhar	(to work on or shape with tools)	v
toolbar	[object Object]	(row of icons in a graphical user interface)	n
toolbox	caixa de ferramentas	(storage case for tools)	n
too much	demais	(excessively)	adv
toon	{town}		n
to one's knowledge	pelo que alguém sabe	(to one's knowledge)	adv
tooth	[object Object]	(saw tooth)	n
toothache	[object Object]	(ache in a tooth)	n
toothbrush	[object Object]	(brush for cleaning the teeth and tongue)	n
tooth fairy	[object Object]	(a figure of modern myth)	n
toothless	banguelo, desdentado	(Having no teeth)	adj
toothpaste	[object Object]	(paste for cleaning the teeth)	n
toothpick	[object Object]	(stick for removing food residue from the area between the teeth)	n
top	cobrir	(to cover on the top or with a top)	v
topaz	[object Object]	(gem)	n
top bud	[object Object]	(One's closest or favorite friend)	n
toper	{drunkard}		n
top hat	cartola	(a cylindrical hat)	n
topic	[object Object]	(subject; theme)	n
top it off	ainda por cima (e ainda por cima)	(emphasize)	v
topographer	[object Object]	(A person who studies or records topography)	n
topographic	topográfico	(of, or relating to topography)	adj
topography	[object Object]	(the features themselves (the terrain))	n
topolect	{language}		n
topological	topológico	(of or relating to topology)	adj
topological group	[object Object]	(group with topological structure)	n
topological space	[object Object]		n
topology	[object Object]	(study of geometric properties that are not changed by stretching etc.)	n
topple	derrubar	(to push, throw over, overturn or overthrow something)	v
top secret	[object Object]	(information classified at the highest level)	adj
toque	{chef}		n
tor	{hill}		n
Torah	[object Object]	(the Five Books of Moses - the full body of Jewish law)	prop
torch	[object Object]	(stick with flame at one end)	n
toreador	toureiro	(a bullfighter)	n
torero	toreador	(bullfighter)	n
torment	judiar, maltratar, atormentar	(to cause severe suffering)	v
tornado	[object Object]	(column of air)	n
Toronto	[object Object]	(provincial capital on Ontario, Canada)	prop
torpedo	torpedear	(to send a torpedo)	v
torpedo boat	[object Object]	(warship designed to fire torpedoes)	n
torpor	[object Object]	(being inactive or stuporous)	n
torque	[object Object]	(a rotational or twisting force)	n
torque wrench	torsion wrench	(lockpicking tool)	n
torr	[object Object]	(unit of pressure)	n
torrefy	torrar	(to subject to intense heat)	v
torrent	[object Object]	(violent flow, as of water etc.)	n
torrential	torrencial	(coming or characterized by torrents; flowing heavily or in large quantities)	adj
torso	[object Object]	(body excluding the head and limbs)	n
tortoise	[object Object]	(land-dwelling reptile)	n
torture	torturar	(to intentionally inflict unnecessary pain or suffering on helpless victims)	v
torturer	[object Object]	(one who tortures)	n
torus	[object Object]	(shape in 3-dimensional Euclidean space)	n
toss	jogar, arremessar, tacar, lançar	(to throw with an initial upward direction)	v
tosser	[object Object]	((slang, pejorative) a masturbator)	n
total	[object Object]	(sum)	n
total football	[object Object]		n
totalitarian	totalitário	(related to the system of government)	adj
totalitarianism	[object Object]	(system where state wields absolute control)	n
totem	[object Object]	(any natural object or living creature that serves as an emblem of a tribe, clan or family)	n
to that end	{therefore}		prep
to the letter	ao pé da letra	(exactly)	adv
to the max	{very}		prep
totipotence	{totipotency}		n
totipotent	totipotente	(exhibiting totipotency)	adj
toucan	[object Object]	(Ramphastid)	n
toucan crossing	{pelican crossing}		n
touché	touché	(fencing hit)	interj
touch	tocar	(make physical contact with)	v
touched	touched in the head	(mentally deficient)	adj
touchpad	[object Object]	(flat surface which is sensitive to touch)	n
touch screen	[object Object]	(input/output device)	n
tough	{toughen}		v
tough out	{endure}		v
Toulouse	Toulouse, Tolosa	(a city in France)	prop
toupe	toupee	(hairpiece)	n
tour	[object Object]	(journey through given list of places)	n
tourism	[object Object]	(the act of travelling or sightseeing)	n
tourist	[object Object]	(Someone who travels for pleasure)	n
tourmaline	turmalina	(both senses)	n
tournament	[object Object]	(series of games)	n
tourniquet	[object Object]	(a tightly compressed bandage used to stop bleeding)	n
tour operator	{travel agency}		n
tovarish	{comrade}		n
tow	rebocar	(pull something using a line)	v
toward	por	(located near)	prep
towards	{toward}		prep
towel	[object Object]	(cloth used for wiping)	n
towelling	{terry cloth}		n
tower	[object Object]	(Tarot card)	n
Tower of Babel	[object Object]	(tower erected at Babel)	prop
Tower of London	[object Object]	(a fortress in London)	prop
tower over	elevar-se	(to be considerably taller than)	v
to whom it may concern	to whom this may concern	(salutation)	phrase
to wit	isto é, ou seja	(that is to say)	adv
town	[object Object]	(settlement)	n
town hall	[object Object]	(a building that houses the local government offices of a town)	n
town planning	[object Object]	(planning of an urban environment)	n
township	[object Object]	(territory of a town)	n
town twinning	[object Object]	(pairing of towns or cities)	n
tow truck	[object Object]	(motor vehicle for towing)	n
toxaemia	{toxemia}		n
toxic	[object Object]	(having a harmful chemical nature)	adj
toxicity	[object Object]	(quality)	n
toxicologist	[object Object]	(scientist or physician who speciality is toxicology)	n
toxicology	[object Object]	(scientific study of poisons and poisoning)	n
toxin	toxina	(a toxic or poisonous substance)	n
toy	[object Object]	(something to play with)	n
trace	traçar	(to draw or sketch)	v
trachea	[object Object]	(thin-walled, cartilaginous tube connecting the larynx to the bronchi)	n
tracheitis	[object Object]	(inflammation of the trachea)	n
tracheophyte	vascular plant	(plant possessing vascular tissue)	n
track	monitorar	(to monitor someone's or something's movement)	v
tracker	[object Object]	(One who, or that which, tracks or pursues, as a man or dog that follows game)	n
trackpad	{touchpad}		n
tract	[object Object]	(a small booklet)	n
tractor	[object Object]	(farm vehicle)	n
trade	trocar	(exchange)	v
trade deficit	déficit comercial	(negative balance of trade)	n
trademark	[object Object]	(identification of a company's product)	n
trade name	[object Object]	(name used to identify a commercial product or service)	n
trader	[object Object]	(one who gains a livelihood from trading)	n
trade union	[object Object]	(organization)	n
trade unionist	unionist	(a member of a trade union)	n
trading card	[object Object]	(collectible card featuring information of interest to purchasers)	n
trading post	[object Object]	(place where trading of goods takes place)	n
tradition	[object Object]	(a part of culture that is passed from person to person or generation to generation)	n
traditional	tradicional	(of or pertaining to tradition)	adj
Traditional Chinese	[object Object]	(Chinese written using traditional characters)	prop
traditionally	tradicionalmente	(traditional manner)	adv
traduce	traduzir	(to pass into another form of expression)	v
traducer	translator	(someone or something that translates languages)	n
traductology	translatologia	(study of theory and practice of translating and interpreting)	n
traffic	[object Object]	(pedestrians or vehicles on roads or on the air)	n
trafficator	indicator	(blinking light)	n
traffic jam	[object Object]	(situation in which all road traffic is stationary or very slow)	n
trafficking	{human trafficking}		n
traffic light	semáforo, sinal de trânsito, sinal	(signalling device)	n
traffic sign	[object Object]	(traffic sign)	n
tragedy	[object Object]	(genre of such works, and the art of producing them)	n
tragic	[object Object]	(relating to tragedy)	adj
tragicness	[object Object]	(state or quality of being tragic)	n
trail	seguir	(follow behind)	v
trailer	[object Object]	(preview of a film)	n
train	instruir	(to teach a task)	v
trainee	[object Object]	(someone being formally trained in a workplace)	n
trainer	[object Object]	(person who trains another; coach)	n
trainers	sneakers	(sports shoes)	n
training	treinamento	(training)	n
train of thought	[object Object]	(flow of thinking)	n
train of thoughts	{train of thought}		n
train station	railway station	(place where trains stop for passengers)	n
trait	traço, peculiaridade	(an identifying characteristic, habit or trend)	n
traitor	[object Object]	(one who violates his allegiance and betrays his/her country)	n
trajectory	[object Object]	(path of a body)	n
tram	elétrico [European Portuguese], bonde [Brazilian Portuguese]	(passenger vehicle)	n
tramcar	{streetcar}		n
tramp	hitchhike	(to hitchhike)	v
tramper	hiker	(recreational walker)	n
trample	pisotear	((transitive) to crush something by walking on it)	v
trampoline	[object Object]	(gymnastic and recreational device)	n
trance	[object Object]	(such a state induced by hypnosis)	n
tranche	{slice}		n
tranquil	tranquilo		adj
tranquilize	tranquilizar	(to use a drug to sedate a person or animal)	v
tranquilizer	[object Object]	(drug used to reduce anxiety or tension)	n
trans-	trans-	(across, through, over, beyond, to or on the other side of, outside of)	prefix
transaction	[object Object]	(finance: transfer of funds into, out of, or from an account)	n
transaxial plane	{transverse plane}		n
Transcaucasia	South Caucasus	(region of southwest Asia)	prop
transcription	[object Object]	(in linguistics)	n
transcriptional	transcricional	(Of or pertaining to transcription)	adj
transfected	transfectado	(Infected with nucleic acid)	adj
transfer	transferir	(to move or pass from one place, person or thing to another)	v
transfinite	[object Object]	(beyond finite)	adj
transform	transformar	(change the nature, condition or function of)	v
transformation	[object Object]	(act of transforming)	n
transformer	[object Object]	(device that changes the characteristics of AC electricity)	n
transfuge	{turncoat}		n
transgender	[object Object]	(a transgender person)	n
transgenic	transgênico [Brazil], transgénico [Portugal]	(genetically modified)	adj
transgress	transgredir	(to act in violation of some law)	v
transgression	[object Object]	(violation of a law, command or duty)	n
transhumance	[object Object]	(the movement of people with their grazing animals to new pastures)	n
transhumanism	[object Object]	(philosophy favoring the useof science and technology)	n
transient	transitório	(passing or disappearing with time; transitory)	adj
transistor	{transistor radio}		n
transition	[object Object]	(process of change from one form, state, style or place to another)	n
transitive	transitivo	(grammar, of a verb: taking an object or objects)	adj
transitive verb	[object Object]	(a verb that is accompanied by a direct object)	n
transitivity	[object Object]	(the degree in which a verb can govern objects)	n
transitoriness	[object Object]	(state or quality of being transitory)	n
translate	traduzir	(to change text from one language to another)	v
translatese	translationese	(Awkwardness or ungrammaticality of translation)	n
translation	[object Object]	(result of translating between languages)	n
translation studies	[object Object]	(study of theory and practice of translating and interpreting)	n
translatology	translation studies	(study of theory and practice of translating and interpreting)	n
translator	[object Object]	(someone who translates)	n
transliterate	transliterar	(to represent letters or words in the characters of another alphabet or script)	v
transliteration	[object Object]	(product of transliterating)	n
translocator	{translocon}		n
translucent	claro	(clear, lucid, or transparent)	adj
transmembrane	transmembranar	(Traversing a cellular membrane )	adj
transmission	[object Object]	(something transmitted)	n
transmission tower	{electricity pylon}		n
transmitter	[object Object]	(something that transmits something)	n
Transnistria	[object Object]	(Transnistria, an autonomous territory in Moldova)	prop
transom	{transom window}		n
Transoxiana	[object Object]	(ancient portion of Central Asia)	prop
transparency	[object Object]	(transparent object)	n
transparent	transparente	(see-through, clear)	adj
transpire	happen	(to happen, take place)	v
transplant	transplantar	(uproot and replant (a plant))	v
transponder	[object Object]	(transceiver that transmits a signal in response to another)	n
transport	exilar	(historical: deport to a penal colony)	v
transportable	transportável	(Capable of being transported; easily moved)	adj
transportation	[object Object]	(means of conveyance)	n
transporter	[object Object]	(one who, or that which transports)	n
transrealism	[object Object]	(literary mode)	n
transsexual	[object Object]	(person whose gender identity did not match his/her birth sex, and who therefore is changing or has changed sex)	n
transsexualism	{transsexuality}		n
transsexuality	[object Object]	(the state, condition, or properties of being transsexual)	n
transuranic	transurânico	(element with atomic number greater than 92)	adj
Transvaal	[object Object]	(region of South Africa)	prop
Transvaalian	[object Object]	(an inhabitant of the Transvaal)	n
transvest	{cross-dress}		v
transvestite	[object Object]	(cross-dresser, see also: cross-dresser)	n
Transylvania	[object Object]	(Transylvania)	prop
trap	[object Object]	(trick or arrangement designed to catch someone in a more general sense)	n
trapdoor	alçapão	(door set into floor or ceiling)	n
trapeze	{trapezium}		n
trapeze artist	{trapezist}		n
trapezium	[object Object]	(polygon with two parallel sides)	n
trapezoid	[object Object]	(trapezoid bone)	n
trash	lixo	(things to be discarded)	n
trash bag	garbage bag	(plastic bag for the disposal of household waste)	n
trash can	{garbage can}		n
trashman	{garbage collector}		n
trauma	[object Object]	(Any serious injury to the body, often resulting from violence or an accident)	n
travel	viajar	(to travel throughout)	v
travel agency	{tour operator}		n
travel agent	{travel agency}		n
traveler	traveller	(one who travels)	n
traveler's check	traveller's cheque	(check draft)	n
traveller	[object Object]	(one who travels)	n
Traveller	Irish Traveller	(member of a minority in Ireland)	n
travelling salesman problem	[object Object]	(mathematical problem)	n
travel sickness	{motion sickness}		n
traverse	atravessar	(to travel across, often under difficult conditions)	v
travertine	[object Object]		n
trawler	[object Object]	(fishing boat)	n
trawling	arrastão	(fishing technique)	n
tray	[object Object]	(object on which things are carried)	n
treachery	{treason}		n
treacle	[object Object]	(molasses or golden syrup)	n
tread	pisar	(to step on)	v
treadmill	[object Object]	(piece of indoor sporting equipment)	n
treason	[object Object]	(crime of betraying one’s government)	n
treasure	[object Object]	(collection of valuable things)	n
treasurer	[object Object]	(official entrusted with the funds and revenues of an organisation)	n
treasury	[object Object]	(place where treasure is stored safely)	n
Treasury	[object Object]	(dept. responsible for management of public revenue)	n
treat	tratar	(to subject to a specific action)	v
treatise	[object Object]	(systematic discourse on some subject)	n
treatment	[object Object]	(process or manner of treating)	n
treaty	[object Object]	(a binding agreement under international law)	n
trebuchet	[object Object]	(trebuchet)	n
tree	[object Object]	(large woody plant)	proverb
tree frog	[object Object]	(frog of the family Hylidae)	n
tree hollow	[object Object]	(tree hollow)	n
treehouse	[object Object]	(a house within a tree)	n
tree trunk	[object Object]	(the main structural member of a tree)	n
trefoil	[object Object]	(plant)	n
trema	diaeresis	(the diacritical mark)	n
tremble	tremer	(to shake)	v
tremor	tremer	(to shake or quiver; to tremble)	v
trench	trincheira	(long, narrow ditch or hole)	n
trenchant	[object Object]	(sharp)	adj
trench coat	[object Object]	(military-style raincoat)	n
trencherman	[object Object]	(person who eats a substantial amount)	n
trend	tender	(To have a particular direction; to run; to stretch; to tend)	v
trendy	da última moda	(in accordance with the latest trend)	adj
Trento	Trento	(city)	prop
trepan	{trephine}		n
trepanation	trepanação	(practice of drilling a hole in the skull)	n
trepang	{sea cucumber}		n
trespass	ofender	(to offend against)	v
tress	[object Object]	(A braid, knot, or curl, of hair; a ringlet)	n
trestle	[object Object]	(a framework, using spreading, divergent pairs of legs used to support a bridge)	n
trial	[object Object]	(difficult experience)	n
triangle	[object Object]	(polygon)	n
triangle pose	{trikonasana}		n
triangular	[object Object]	(shaped like a triangle)	adj
triangulate	triangular	(to locate by triangulation)	v
Triangulum	Triangulum Galaxy	(spiral galaxy)	prop
triathlon	[object Object]	(athletics event in which contestants compete in swimming, cycling and running)	n
tribadism	[object Object]	(sexual practice)	n
tribe	[object Object]	(group of people)	n
tribology	tribologia	(science and technology of lubrication)	n
tribunal	[object Object]	(assembly including one or more judges to conduct judicial business)	n
tribune	[object Object]	(protector of the people)	n
tributary	[object Object]	(stream which flows into a larger one)	n
tribute	[object Object]	(payment made by one nation to another in submission)	n
triceps	{triceps brachii}		n
trichobezoar	[object Object]	(a bezoar composed of hair)	n
trichotillomania	[object Object]	(disorder)	n
trick	enganar, enrolar [colloquial]	(to fool; to cause to believe something untrue)	v
trickery	[object Object]	(underhanded behavior)	n
trick or treat	gostosuras ou travessuras	(extortion)	interj
tricky	[object Object]	(hard to deal with)	adj
tricolor	tricolor	(having three colors)	adj
tricolour	tricolor	(A flag with three stripes of different colours)	n
tricycle	[object Object]	(cycle with three wheels)	n
trident	[object Object]	(a three-pronged spear)	n
triduan	triduano	(lasting three days)	adj
Trieste	Trieste	(city)	prop
Triestine	triestino	(of, from or relating to Trieste)	adj
trifle	[object Object]	(thing of little importance or worth)	n
trifling	trivial, insignificante	(trivial)	adj
trigamy	[object Object]	(the state of having three spouses simultaneously)	n
trigger	desencadear	(to initiate something)	v
trigger finger	{forefinger}		n
trigonometric function	[object Object]	(a function of an angle)	n
trigonometry	[object Object]	(branch of mathematics)	n
triiodomethane	{iodoform}		n
trill	vibrante	(vibrating consonant)	n
trillion	[object Object]	(a million million million, 10^18)	num
trilobite	[object Object]	(member of the class Trilobita)	n
trilogy	[object Object]	(collection of three works)	n
trim	cortar, podar, aparar	(to reduce slightly)	v
trimaran	[object Object]	(type of boat)	n
trimester	[object Object]	(term of academic year)	n
Trinidad and Tobago	Trindade e Tobago	(country)	prop
trinity	[object Object]	(group or set of three people or things)	n
Trinity	[object Object]	(Christianity: three persons of the Godhead)	prop
trinomial	[object Object]	(an expression consisting of three terms)	n
trip	viajar	(to make a trip)	v
tripe	[object Object]	(stomach lining of animal for food)	n
triple	[object Object]	(three times the quantity)	adj
triplet	[object Object]	(one of three siblings born at the same time of the same mother)	n
tripod	[object Object]	( a three-legged stand or mount)	n
Tripoli	Trípoli	(capital of Libya)	prop
triptych	[object Object]	(art: a picture or series of pictures painted on three tablets connected by hinges)	n
Tripura	Tripura	(state)	prop
trireme	[object Object]	(galley with three banks of oars)	n
Tristan	Tristão	(male given name)	prop
trite	gasto, banal	(worn out; hackneyed; used so many times that it is no longer interesting or effective)	adj
tritheism	[object Object]	(form of Christianity that denies the Trinity)	n
tritium	[object Object]	(radioactive isotope of hydrogen)	n
Triton	Tritão	(seventh moon of Neptune)	prop
tritone	[object Object]	(an interval of three whole tones)	n
triumph	triunfar	(to succeed)	v
triumphal arch	[object Object]	(monumental arch that commemorates a victory)	n
triumphant	triunfante, triunfador	(celebrating victory)	adj
Trivandrum	{Thiruvananthapuram}		prop
trivia	{quiz}		n
trivial	trivial	(of little significance or value)	adj
trivialise	{trivialize}		v
troglodyte	[object Object]	(reclusive or out-of-date person)	n
trogon	surucuá	(species of bird)	n
troika	[object Object]	(carriage)	n
Trojan	{Trojan asteroid}		n
troll	trolar	(to attempt to lure others into combative argument for purposes of personal entertainment and/or gratuitous disruption)	v
trolley	[object Object]	(cart or shopping cart)	n
trolley bus	[object Object]	(bus powered via overhead electric cables)	n
trombone	[object Object]	(a musical instrument in the brass family)	n
troop	[object Object]	(military forces)	n
troops	[object Object]	(military personnel in uniform)	n
trophy	[object Object]	(object rewarding success)	n
tropic	[object Object]	(either of the two parallels)	n
Tropic	tropic	(one of the two Tropics)	n
tropical	tropical	(of or pertaining to the tropics)	adj
tropical rainforest	[object Object]	(forest)	n
Tropic of Cancer	[object Object]	(the parallel of latitude 23°30′ north of the equator)	prop
troposmia	parosmia	(troposmia)	n
troposphere	[object Object]	(lower levels of the atmosphere)	n
trot	trotar	((of a horse) move at a gait between a walk and a canter)	v
Trotskyism	[object Object]	(the political philosophy named after Leon Trotsky)	n
Trotskyist	Trotskyite	(a supporter of Trotskyism)	n
troubadour	[object Object]	(an itinerant performer of songs)	n
trouble	incomodar, irritar, molestar	(to bother; to annoy)	v
troublemaker	desordeiro	(one who causes trouble, especially deliberately)	n
troublesome	problemático, difícil	(giving trouble)	adj
trough	[object Object]	(a long, narrow, open container for feeding animals)	n
troupe	[object Object]	(company of actors, etc.)	n
trouser	pocket	(to pocket)	v
trousers	pants	(article of clothing for the lower body)	n
trousseau	[object Object]	(bridal clothes)	n
trout	[object Object]	(fish)	n
trove	{treasure trove}		n
trowel	[object Object]	(mason's tool)	n
Troy	[object Object]	(an ancient city)	prop
truancy	absentismo	(the act of shirking from responsibilities and duties)	n
truce	[object Object]	(a period of time in which no fighting takes place)	n
truck	{trade}		v
truck driver	[object Object]	(person employed to drive a truck)	n
trucker	truck driver	(one who drives a truck)	n
truculent	[object Object]	(cruel or savage)	adj
true	endireitar	(straighten)	v
true seal	{earless seal}		n
truffle	[object Object]	(tuber)	n
truism	[object Object]	(self-evident or obvious truth)	n
truly	realmente, verdadeiramente	(very)	adv
truly yours	{yours truly}		phrase
trump	[object Object]	(suit that outranks all others)	n
trump card	{trump}		n
trumpet	[object Object]	(musician playing a trumpet)	n
trumpeter	[object Object]	(person who plays the trumpet)	n
truncate	arredondar	(shorten a decimal number by removing trailing (or leading) digits; to chop)	v
truncated	truncado	(Deprived of one of its parts or of its end)	adj
truncheon	[object Object]	(short club)	n
trunk	[object Object]	(tree trunk)	n
trust	confiar	(To place confidence in)	v
trustworthy	confiável	(reliable)	adj
