@rowCount	3394
w	d	n	t	q	g	s	r	v	b
banturucu	$x_1$ is the language with ISO 639-3 code ''trc'' (Copala Triqui).	Triqui Copala Triqui language	fu'ivla	LLLMKOSNRMVMOOQLMLQKRPNRQPNRUPLTPRQQNKPQJMQNPOLQMOMPNQMMPPNRLSQROOMLOMLMOSMPRNNMOQQSQPMOPNPPSTJQQQMNQQLNNORNSNJNNJJQMMRONOKNPLQOPTPQKLOKIOOLJQPRMNPOOQPNRUOOQRPOPOPMNOLVRNNNQNPNNMNQNPRLPPOPQNQPOMKMUNLORROLPLPOLNPQOORMMNNQPNMOOPKLIJUOQPRJOOSQQPNSOLNONORNPPNMLSLJONNMPLOQOMQKLNWKPORPKKPMQPMNRPOROKPNKOKLKPOPMMNPOPMTQPNSPOOOMLMMQOMMQQQPLNNNMTROPPPNKQORPLONOKPRSLOPUPIPSONMPMOMNPRNNOOPRSPM
festi	$x_{1}$(s) is/are waste product(s) [left to waste] by $x_{2}$ (event/activity).	Also shit, crap; agentive wasting (= {fesygau}, {fesyzu'e}).  See also {xaksu}, {kalci}, {pinca}.	gismu	PORPQPVMUOTMTPPPQMLOTOOPPROJRQORONQTQKQPLLOOORMMMMQPMPPLLMLLPPQPPNMPMTNMKQNQVLMOLNPQPRINQONQTPOONOMRNVNMNMMNQONKQONQMMMQOPLQQJPOMPPMKNNOMONOHQPNORPLLTNOQPQMOPOQOQJPMQLMLONNNMONOLROUQPKONMOOQPPNNMNQRPPQQPKMLNQMLMNNMRKPPINMNKOMRMRLKPNQRKMKNQOSNMOMQLOMRRPSMNONPONMQNJPMNUPKNNQLTMNORUOMLNOPONMNNROLRTINMOMMSPMOPMONMRNPOONTNOMPRNMLQPROPNMNPMNNLPRPLLMMMROOSNOOPMSKPTPMLSOONOOOPMKMQPTPPOUSSO	waste		fes;fest;festi
fetsi	$x_1$ is a female/doe of species $x_2$ evidencing feminine physical/biological/genetic trait(s) $x_3$ (ka); $x_1$ is feminine.	See also {nakni}. For culturally female traits, see {jikyfetsi}.	gismu	ONSSOKRJQPUKPLQQOOQSPOPOMOLOPQMQPOOSONRRLKQNPSNOJOQOKTNNPMLOPRSRLNPNQNRPMTOQVOOQIPQQMQLMLSKPRQPNRLOMORLSLKNLOMPLLMMOLPPMMQMMTNLONQPLLPRNLNOMGPQQPNMQOQNOOMRPIPONPPLIPPOQPLNNLNPLNLLPRQNMOPIMOLQLLKNOOPOOTRPPPPRSMPKMOOTNQMLNMOLOMOMPNKQQNNKMLORPOOMRNNOMNQSPQPOONORMNNPNPOPQUQNNQNMNPNQMQONPOMMSFPOKPNOQMRMMKMQQONOOOKOWPMMOHNPOMORLNQPLTNPQOOQMOQRNSMMLNNOQLMOPOPOQRKSORLMQONROOPQOMNMONPOLRQRK	female		fet;fe'i;fets;fetsi
figre	$x_{1}$ is a fig [fruit/tree] of species/strain $x_{2}$.	See also {grute}.	gismu	OPRRQPQOTOVIQPRONNNPTQOQQNNOPNKSSOPSRJSOLPSMPSONOOLPMMQMSKOQPPSONMLOQONNNQJORNOPIQOOLQNOOQLPRUMPPNLORPPPJKMKQONMINJROLMPPPPPRLMOOPQLNMIMKLLPGQOOLQMOKNLQNOQMOPSLONLJNPMRQORQPNOLOLOORRQLNPKPTMOQNRNOPQMNSPMMOQNSJLNLJQPMRNJPKOMOMSQPMLPONNINNLROSPLRMPNKNRSNONNLMOOMNKNPPNMSPLONRPQNSMRMLRNONMNOLPMMONRTMPMQKLMQOOOPPMNTPOLMKQQONMNKPOONQPORMQNMPSRUOOONMOORMMRPORMPNNPQQKOQNPNOMOPRNOLPRNNPTMSM	fig		fig;figr;figre
filso	$x_{1}$ reflects Palestinian culture/nationality in aspect $x_{2}$.	See also {jordo}, {xebro}.	gismu	SRQNONRJSOTKQOSOMNONPLPOOQQPRPNUMNOUNQPLOLRNQSOQMPNPQLRNNPNMPQOPOOQLJNPPNSMKQNKQQQPOOPMLMMONTNPJPONOPQMSMJOONMNMNMRNOKNMOPNPMLNOPNNKMJQQLLRMMQPSLQNPNSPQPKTQHPNPOLNNNPJOQNNPNRNKLMRQMLQMNRLOONOOLPQOPOPPRRMQOMRRLOOMKPTJLLNOPPJOQONNNNUTPRKKNRQPQQNTOPOOMQRPMJPKNMMPMKNPPPLSOPPLKJOOQOTONPPNNPPOMPPNQQMQKPLNLPPOKJKQROPPROPNKPQOOMKPNQQNOPLOLOMMOOOPQONNMNMONMOOMMQPSLSQTPNTSNOPLOSPMSQMNQPRYTRM	Palestinian		fis;fils;filso
finpe	$x_{1}$ is a fish of species $x_{2}$ [metaphorical extension to sharks, non-fish aquatic vertebrates].	See also {danlu}.	gismu	MORPKMRNQNUIOPQRQMMTQTMPMRMLSSLPRNSPPNQRMOOQOOJMKOILJNOQKLOMUPRSMNNPNNRNQQLNVOQNKKMOQQNLIQLMPLONNNONQQPMQMJNQIMLNNORMLOKNPOOQMNORNMJQNMOKOORKRQROPNNPQOMMONJLRMLNPNNQNMPPLOLQMOONMRMORMNMTKMMLNRROONQOPOOONMPPNSKQNNMRTMSOLLNLNOOOKPONRSPKJNNNRPPPNNQKPTOTOLQLLSPKNROOOPPMQROSQMLOQNRNPNNNNOOLNPLRNNMINQKOMMJLRQPPRONKOROMMOIPQORQPPOPOPQPRNNPNNQMPOOPNOMMMPSNQSNQQOQJPPPRKRPPUOMOMQPMLQOPJPRSRQ	fish		fip;fi'e;finp;finpe
finti	$x_{1}$ invents/creates/composes/authors $x_{2}$ for function/purpose $x_{3}$ from existing elements/ideas $x_{4}$.	$x_1$ is creative/inventive.  See also cmavo list {fi'e}, {ciska}, {pemci}, {zbasu}, {larcu}, specific works of authorship, {prosa}, {skina}.	gismu	LKPRPLQMSQQNTMOSNMONPPOQRPOMTQOQRONVQNRKKKONPQNNLRJPKMQNMOLNPUQRLNMROPSOMSNMTMJNQSNONULOOOMOQOOPPOPNMPLPPMMLQPRKOLMSLOPROTLNJKOOQRPTNOQPKNROJURNPNNMLNOQOQRNJONPKOJLNMOPNOLNMPOOUMRPTPPNNNQQNMNUOMRMQONOPOLMKJNTLOKNPPQPNPKMOMKOMPMONMOKMOKNNNMNPOMQPLOOPPRNOQNRPNNOMKPKRPPUNOJMQPRKNKQQPNQOOPPQKOOSMLQRLMKPMMPOMNNQLLMRNNMQLROOMMONKORNRKOOLQQKPRNOTSMMLQLNLPNONQPNPINOPOMPMNNPOPOPNLQRQQQKRSWO	compose;invent		fin;fi'i;fint;finti		fi'e;se fi'e;te fi'e;ve fi'e
fonxa	$x_{1}$ is a telephone transceiver/modem attached to system/network $x_{2}$.	See also {tcana}.	gismu	JOOLMKSQSNTPSMONOHOOQTMOQPOPRPLTQPMRRLMONKQNOPLMLNRRNSNPOSNROUNONPKOPMMNOQMNSOQQONPOOQKMMLMOPRKNPMMQPQMQNMMNTJMIKKLLLPQKLOKNPMQOPRPONPOPMOOOKNRLNMPMNPPQUQPOQPPPNPLOONNPPMLNLMNLPMOPQRSJOQNPNKPQQMOMQOLOUQNQLROSMNMNSQQINPKQMUMONPMNMKTQJOOPPNQOPNKSPMMOMOOOQNKONOOQRONLRMPSQNMNLMSNSROPMNOORJOPLQONPMSROONLKOOPORNOLMSTNKKQKRNOOLOIOONLTLPMKSQOQPQRTORPPPQSNMMNNQMTRKRMRKLSRNPOOMNPOLNMQNNQOROM	telephone		fon;fonx;fonxa
forca	$x_{1}$ is a fork/fork-type tool/utensil for purpose $x_{2}$ with tines/prongs $x_{3}$ on base/support $x_{4}$.	See also {dakfu}, {smuci}, {komcu}, {tutci}.	gismu	LNPMMLTRQMUMSNPOOKPMPPNNQQOPRNNRMNPSQMNNNKQLOSLLLNSNNPRPNPNRORPOOMMNOLNMMQOOWNLOHSQPNSMMPPMQQRNPPQKRNPNONMLMQJOKLKIJNMPLQOIMOOPOQQNLOPNOKMOPHQRJPPMLNPMTQSRONPORONJMLNOPPONRMNNOPKPPUSQMNOLONOPSOPRNPMKQTRLLNPOPNPLLNPSLPNKNNPKOOOMQMKTMKMNPMOOPPPMPOOLOOPNNMNMLPNNNOMONPKOVMRNNONTORMNNMONORMQSKOOMOLSRQLNLNMOQMPPROLOUOOLRMTQOQLNKMRPMPMPOJNPNRUOOPQQMLQQUMNOOQPTTMORQQLMRMQNPNNQOOPNTRMOOPQRP	fork		fro;forc;forca
fraso	$x_{1}$ reflects French/Gallic culture/nationality/language in aspect $x_{2}$.	See also {ropno}.	gismu	QMSOQNSMULULQOPOPOOQQKPPPNOQRROVLOLRNLRNKLPNPPPSLNNQMMQPONOOPPPQMPMMJRMNPPONPNMNNQPQQPPMOONQRSPMQONMPSPSMLMMPJOKMLPOOKONNQLNPMQOQTOJKLMPMMSPIQQTNRLOLQNPQLQPHPPNSNMMOPNPQMPPMPNKMMQNONPPMRMKOKRNOOMOOPMPRQQPNMRRINLLNSUMPMKNNMJONPLPOLRSPQKJKPNNOQMUOOOOKQOKONONPNNRNLNPNKOSQNQKKNROQQSQQNKMNQONLPNQPMNQKQIOMOPQKKLPNNKORLOOJOPOOQOONMPNPONQLLNMNPPRPONLPMLPLNROOMPQRKSQVPNRROPOOPPQLRORNQRMWVRM	French		fas;fras;fraso
frati	$x_{1}$ reacts/responds/answers with action $x_{2}$ to stimulus $x_{3}$ under conditions $x_{4}$; $x_{1}$ is responsive.	$x_3$ stimulates $x_1$ into reaction $x_2$, $x_3$ stimulates reaction $x_2$ (= {terfra} for place reordering); attempt to stimulate, prod (= {terfratoi}, {tunterfratoi}).  See also {preti}, {danfu}, {spuda}, {cpedu}, {tarti}.	gismu	OLRRQRPOSQUMSRSQQKMQQMONNOOOTONQLPNUOJMPLKPLRRPRLKKOMQQPOMPJOPOOOOMNOSOLNNQMRLPOPMOPKOLORPPNOQMNNKLPPSJKLMKPOOOIPMMPLNNLSOLNPMNOPMMPMQPPLNPOLTMMNTKNMQLRMPNQKNMOMONPMOOKNPMRQPMMNLSRWQQOLOLQOJPOQOLMNQNSPOMJMMNNPKNROOQNOPLORPQONQMOKPSMRPJLMOLROQNSOPOQNPRPPROMKRMPOLONPNNWQNKLNNMNQMQRQLOMPNPPMRPPVNTUPLPOMLONMRPOJORTMOMPROQOMNSMNQPMQKPPPOQOMPKNRQOQOOOTKMRMLKQPQMPLNOKRLOQKPQOMLNNRNROOSVQN	react;treat		fra;frat;frati
fraxu	$x_{1}$ forgives $x_{2}$ for event/state/activity $x_{3}$.	See also {dunda}, {curmi}, {zungi}.	gismu	NQTQSPTIWNSNQQMOJQMPOQORMONPNMLOOQNRRMOMLMPMQQPMLOOSMSQRNSNNMRPQLSNNOQPOOPKNRNNONNPOOPKJRQPNURJMNPJQRUKORONNNPOLNMPTLNNNPRPQLHROPNMKOQNQPNROKMPRLQOQPPQOMOUQMOLORPMOQMMMORJMOLPNTNQQSNONQOMPRIPNKNMOMMLOUONOMNORMJMPONRKNOIOTPKOOOOQOKPQOPJJQSPPSPJQPONRNQTMOMPOMOPNNMLLSNKRPMLONOOJOMRRPNNLLNMPNQPPQQRQJOMPLMPNMNOOLLPRNRONPNMOLPNPMKOMQMPQLOONQPNQPPLMMOKSMLRLPOOMQKPOQLRQNNOPNNMMLOQQSQQNVPOK	forgive		fax;frax;fraxu
frica	$x_{1}$ differs/is distinct from/contrasts with/is unlike $x_{2}$ in property/dimension/quantity $x_{3}$.	Also other-than (less common meaning).  See also {ranxi}, {drata}, {dunli}, {simsa}, {vrici}.	gismu	QMQOOKMNSNVMQPQNQMKQNONQQQPRTOLQMPNSNPPMJNQNMRKNLMKQJNRQLQOIMRROMRMLRPORMSMMSQMNLPOQQRNNMMNTQQQPQPSNRQMRPMPJOLQMLMPLMNQQSQONONQOPONOOPMPMQNSKNQPMMKOORMRMKQPMMPOQROQOONMMNNMRQOKKKOPTPRHNQNTMNQOOOKMNQPQOPQIOPPPINMNKPUNPLNNPMPOLRNQJOTSOKKMOLOQNNMTPQNPLOOMNKOOMLKLLKOOLMQQSPLJNMQNMPQQPOOQSLQSJPNPSNKLLLLKOPPSOOOOLRMPPOOOKOPOMOPMLOONPRROJNNPMNRQORNNOPLPMMRPRMOOPOQPOJMSQNRNONSRMLRRPPRKVQQO	differ		fic;fric;frica
friko	$x_{1}$ reflects African culture/nationality/geography in aspect $x_{2}$.	See also {ropno}, {xazdo}.	gismu	PROQOMQKQPRGPNOONOMOQMRQOOQQRQOVNRNTNOQNOMRLRQRSIPNQLNRNNNMPQPOSPMMOLOPMPQNNRMKOORQONOLLLLRPSQPKPMMNNPPSNJNOPLLMINQMOMNOKOLNOMQORMOJMOPPLOSRKQPTKRKRMQNNPLPOIPPNNJMLMOLOPKMPNSOKNOQMONRMORPMPKQMQMPQPMONRSOQONRTKOMKNRSJOLKNMOKOPNLPPLRQNPMKORNLOSNVPMMNKOOLONOQNNNPOJNOSOLUQPPNKNSPROVRPMOMNPOOLRQRPNNOJNHRNOPMLKOROQONRQOOIPMOONQRNSPNORMPLPNLPORRQPOMQNKPOMQPOPOPSKPMRNPQQOQPKNNOMRPNOQPPWSNM	African		fi'o;frik;friko
frili	$x_{1}$ (action) is easy/simple/facile for $x_{2}$ (agent) under conditions $x_{3}$; $x_{2}$ does $x_{1}$ freely/easily.	See also {nandu}, {sampu}, {zifre}.	gismu	MMPQRPRNQQULSRTNPMLQOMMNPNOOSOMQPPNVOLPPJJPNRSNPLNMQMOQOKNNKOPSPMOLMQRMNJOMMSNMQMNNTLPLOSORSRROOPNHOOQNPOMQJPNMKRLMPKMMOQQMPRMQOQRNNKMNPKQSPIRPPMONOORNQOORNNOONORLPKOOPKOPNOPMLMKSPTRQNNSKSNNQRNNMPPPOQPKOKRHOPMMPQOORLOPJNMPPOPONQMMROUPHMLORMNPNTNOLNOQQQOOLNLPMPMPNMNLOQOOOIONQMQOTROMNONPMQMQNPRNSRLOPPMMPOPONKJMOQMPLQSOLOMKTJOOONSNRMLOLPOPOPPRNMLOMRKRQNQQORPKNNRRLONOQJSLQNMLOVRPQOPURN	easy;facile		fil;fril;frili
frinu	$x_{1}$ is a fraction, with numerator $x_{2}$, denominator $x_{3}$ ($x_{2}$/$x_{3}$).	See also {parbi}, {dilcu}, {mekso}, {fendi}, {fi'u}.	gismu	MOQSQLNNTMVJQRQQOOMPORPRSONORQLNNOOQRITOMKNMLTMPOPORJOQPKMNLKQQNMPLMNQMMPPLMQLQQLPRPOQMLQORPPPRMPONNPPLLKMPQQPOJNLMNMMNNOPMPPMRONRPOKRLRKOPMIMPOLQNOMQMRMOOQNONPNMLPQQPQMLMMONPMMJNORRUJMRKQNMQOLLMROPQRQSOLPNOSLMPOOQUNPMJJRNMOMSNNJLSNOOJOLMNQMOKSNLPQMQQPRPLLQLMLKNOKQKOTQLPNLMNLQPPRPNPQOQOPKORSOOQSPPMKNRRQOPPJKNRSNNMNMQPONOOINQOMUQROLNOOQQPPPOSLPQKUKKOOOPRPRNQPOIOPOOOOOOPPONMONQJMSUPM	fraction		frin;frinu
friti	$x_{1}$ offers/proffers $x_{2}$ [offering] to $x_{3}$ with conditions $x_{4}$.	($x_4$ may be nu canja, nu pleji, etc.; an unconditional offering has the 'condition' of acceptance); $x_2$ may be a specific object, a commodity (mass), an event, or a property; pedantically, for objects/commodities, this is sumti-raising from ownership of the object/commodity (= {posfriti}, {posyselfriti} for unambiguous semantics).  See also {canja}, {dunda}, {rinsa}, {vecnu}, {jdima}, {cnemu}, {pleji}, {vitke}.	gismu	MPQRNORMSNTJSQSPQMNSRPNMQMONTQMPORRRKJNPKKOMOQPOOMQQLORRKLLLOPPOOOKRNRSONRLNWLMQKPNLLRNNRONMPPPLPMLORRLNLNMJOPLKNLIPKNPJPPPLMLNOKMLMMPNQKRPTJSPORRTQNRMSNMNPPNOPPKLOMOQLMNMOOQNKMNPNNPNIMSJNNJQQLNOOOPMPOPPKPQQQMNRRNSRMSLLPMNQOPQLOOPSLQOINPNMPLPOTMPQNMQPOMOOMKPPMQONQPMSTNMPHSLQPROPONKSNPQNSMRRKMMQONNNQMLQNMQQPNMPRNPLOPOLOMMOJNLPKRPPQJNNPPPPRPRQLNROTOOROQPRQPNNPPNLSORLMOMOPMLLQNRRNQNON	offer		fit;frit;friti
frumu	$x_{1}$ frowns/grimaces (facial expression).	$x_1$ frowns/grimaces at/in reaction to $x_2$ (= {frufra}).  See also {cmila}, {cisma}.	gismu	LNRROQSORMUITOOQNOPQRSKPPSMOPQJOOQOQRQPMKNOLQRNOMKLOMOPOLONONNQPMPPLNWNNMQMNVMQONQPONMLONRNMRQMQNOPPQQLNONNMMMMJNIMQLLQQQPMOPNLORRNNOOMPMQNKKPNPOPNOLPQSNPOLNOMPOMONPSMMLOIONQOOQNRQUUSNQNNPNLQJONKOMMOQPNNLNQPONMMMMQRLPPJOQPLOLSMPIOURQOLJLNMLQONSONOMMRRLOOPPNPNPHMJMTNQWSOLLMNMMORNOONMNNILQNORPROQOMKNNKPPPMOPOJNNUOMMRPMROJNPJNNQOQMPQLMNPOTQONRMSMNMQKNSPQNQQOMSOONMQOPSNPPSPJOOPPQMPURPO	frown		fru;frum;frumu
galfi	$x_{1}$ (event) modifies/alters/changes/transforms/converts $x_{2}$ into $x_{3}$.	Causal, resultative change; agentive modification (= {gafygau}, {gafyzu'e}).  (cf. {stika} for non-resultative, {binxo} for not-necessarily causal change, {cenba} for non-resultative change; {zasni})	gismu	NPRPRPPMUQUNPOPPORJQPNLQPNNNSOLPLNQRQMRONJOMORNNIPNSKOQOQPNGOUPQMNMNPPNPNOPKTSQPPQQPQOMMPROPTQOOLNRQNTKQMKKMNNQJQIMPNQLMROLQMNPOPONMOPLLNNSRIPRONQPNMRJROROOMNNONNLLMKNNMOMMQNPONIQQTORNOPLQQLRRPLOLPPKRNROILNPOJOQRQNOOOMPLOQNOKOLPJLQNRMNLKNNOOOJQPRPNPOPSRMKPLQOOQNNMQMPTSOKOSNOMORQRRIPPLPPSMRMOTLSQLKNMPPQMMPQLKOORPOJOMPMOMONNONOMPKPPRNONPOMMPQMOOMMQONQQQQOOPKQPSMKSONPLOOPSMKQRSQRNRRRL	modify		gaf;ga'i;galf;galfi
galtu	$x_{1}$ is high/up/upward in frame of reference $x_{2}$ as compared with baseline/standard height $x_{3}$.	Also upper; $x_3$ is generally some defined distance above a zero point/baseline, or is that baseline itself.  See also {gapru}, {dizlo}, {cnita}, {drudi}, {farna}.	gismu	PKNLMONSSMUPTMQNRMMPQPQPQNNQQSLQTOPRQMOOKLQPMUNOIMNSNQRTNLRLKSPNPOJNMRMOOPNMRNPOOOPOPRMNOQQMNUMNROLOQOLSOOQNPKNINLKOMLNKNQNONNQOPQQMLMHPNSPRNQNNPQJQMNMPPONPIONMPMJNNPNQOPNONQMJMNOORMOMQPLPMMPPNLMOPSOPRSNOQPRRNPOLMMOMMNJNPPNOQTNOKOTQMPLMOMSNPONQSLLOOOPPNMNKSOKMLJNKQPPRQSLMNLLORTPOOOPNSLNSLRQNMMKRONKLPPROLOMRKONRQMLPJMNOKMOMMSPPSLNNMLOONPPRPTTOMPNTNLRPRMRROPQQNJMQQPPQNJQQPMMROPLMWQKO	high		gal;ga'u;galt;galtu
galxe	$x_{1}$ is a/the throat/gullet [body-part] of $x_{2}$; [metaphor: narrow(ing) opening of a deep hole].	See also {cnebo}, {kevna}, {tunlo}.	gismu	OOSONJRNUKVLTMRMOMMNPSONRNONQQMMLPQTQQPPMNPPPTKQLMLMNQNOPLLOPQRQMLNONRQMLOKKQMPTOTPKMQMMLPMMPTQOPOMPOPNNOONNRKOKOKMQNNLPJQIMRLKOOPONNRNMLRPLFPQOKSLMKOMNNPQMLPMRPRJMPONPOMNPLNLMMISOSQQKMNLOOMQPOMONPQNNRPNNPOQRPONONQSMRNGOLPLOORNQPMQQNOHNNOSNRMMSOKOMPQTOOOLQOOMMOKPKQLOSNOONMOOMSROQLLPNNMMQLNPOOMOQNQNPMMPRLOOPRLPUNNMNKPRONOQLNQQPVQOOLOKOMQROQRPOMOMSKMQROPMRQMOPRLQPKQRSPRRPNMNRQPNOPRON	throat		galx;galxe
ganlo	$x_{1}$ (portal/passage/entrance-way) is closed/shut/not open, preventing passage/access to $x_{2}$ by $x_{3}$ (something being blocked).	As a doorway, but also perhaps a semi-permeable membrane. $x_{3}$ is blocked by $x_{1}$. $x_{2}$ is inaccessible. See also {kalri}, {pagre}, {canko}, {vorme}, {zunti}.	gismu	PKPQPNQLUOTPRNQONJMNTTLNNPNNSQININSSROPLKMOMOQLMLMKPLSQPOLLMOPOONLKNSOPMLPOLQOQQPPOOKTNOPQQMQRNKPPMPPSOPOORORLNJPLJQLORSMONLQKNOOOMMOOLPLRQLIPQOORKOPPORQPPNNQNOPSKPNMMMILMQNLMLLNPQNPOJNQKPQOSPQNLMQOINQROKMPSNOLMRLOPPMLIQQRLONRNLMLPORQMRROONVOKUMLKNMRQNOOMNPPNNMMLJRQPTORMONKPMSPQTONPOPNORNPMROLQRPOPQNLMQNPMMRLNQOPLPKONOOMOKNMQOSROPJNMPMQPNOLQPOPNOMNPPRSLUPNOQSJNQOPRRMPOOPMPRRONPSTON	closed		ga'o;ganl;ganlo
ganra	$x_{1}$ is broad/wide in dimension $x_{2}$ [2nd most significant dimension] by standard $x_{3}$.	See also {clani}, {jarki}, {rotsu}, {condi}, {barda}, {gutci}, {minli}.	gismu	RMSQQNQRQNUNOOPPLKLRRPPPRRPQRQLTPQQPPOSOOMUPMPLNMLNRKQQMLLOLNRRNMQLMNQLQJOMLPMRQKPNPPSLINNQMOTLMPMOPQOOQOORMSLPJMLOPLRSMOQKLONPONROQLRLOLQQRKPTRPRONPPOPOKQPJPNMPOLNMPONMNNOPRONNIQPRQSLOQOSOMNSNKOOQROQSPPKQMPRKNOMKMRMONHNPMKONSMMLLRQNONNMLSPQNLOQMLOOOMNMQMKNRMKPJOOMNOSPMPNOMOOSOPRMNOMPKQRNMLMOOMPJOIORNRTPQQOOPSRMPNMMMOOJMNLONOPRROPJPPKLPOOOPNMLPNOMPSORNPORNRQQMNSRMQQNORONMKSMSLLSTOO	broad;wide		gan;ganr;ganra
ganse	$x_{1}$ [observer] senses/detects/notices stimulus $x_{2}$ (object/nu) by means $x_{3}$ under conditions $x_{4}$.	$x_1$ is sensitive to $x_2$; also feels, spots, perceives, makes out, discerns/recognizes (but only implying reaction without necessarily any significant mental processing); note that the emphasis is on a property which stimulates $x_1$ and is detected (sanji is passive about the sensing, and is not limited to sensory input, as well as presuming some kind of discernment/recognition, while not being concerned with the means of detection); $x_3$ sense/sensory channel.  See also {pencu}, {sanji}, {viska}, {sumne}, {tirna}, {zgana}, {canci}, {simlu}.	gismu	RIQPRPTNSPSISQNNTOMOSPONNOONSONQPQPQPLMNLKQKRROQJLLOOROOLLMLROQNNROKSNNQOMNKRLNNMQOMNRLQMRMMKPNLOPOOPQKQPOMMONOKNNMPNRPNQMMLSMNOMPMILOONNQQQKRRMNONNMRMSNPPQMOMSNNLMPROKOOMNNPOLOMOMROPOOPLOLKSMONMMNOKROONLNOPQMNQQPRPNNMNPQOLOMRMRIKQOMOJMLRLQQQNQOQMOMSQMLNNOPNNMPLMPOQPTOQOMKOQPOLORQMQMRNLSNTROTORTKMOQJNNQMNRNOONPNNMSKNLOLJOHMPOPOMPLKQSOOQOMUPNPPOLUNNSPPNQQPLPRQNKSNOUKORQQOQNQPRNPUVKN	feel;perceive;sense		gas;ga'e;gans;ganse		gau'e
ganti	$x_{1}$ is a/the testes/ovary/testicle/scrotum/balls/gonad/stamen/pistil [body-part] of $x_{2}$, gender $x_{3}$.	Egg/sperm/pollen/gamete producing/bearing organ.  See also {plibu}, {sovda}, {pinji}, {gutra}, {mabla}.	gismu	OPOOMOTNRNUNRORNNLOQRSPNPPNPOPNRNPPQOLQOPKPPPVPNLOOKMSQQMLMOMQRNOOOONOQPOULRRMQOINOQMSOPMPKNRSQOQJONOSPRJMLMPMNKPMLNNOONNOLQRLMOOOTSJUQNLOMNJOQPMPMQLSMNOQMKKOPMMQMMNOLSQIOQMNNMRLPPROMNKOIQSNPRLMMKPRPLUQOPNQOQPPKKPPTMQMKOMNKOKLLSNMSOKQMMNLPOONOSMPQNNQUNRONQOOPOQNRLMOOUOSPQRRMONMPNJMOPPLMUKPNPOPOPPOPMLNROLNNQPIPTNMNPKNSOOLNKPONOTPNLNLONMUONSPOMOSQPNJSMOOMQPPSQOKPQMNONNONQOMLORNNQPTRM	gonad		gant;ganti
ganxo	$x_{1}$ is a/the anus/anal orifice/asshole/arsehole [body-part] of $x_{2}$; [metaphor: exit, waste exit].	Also asshole/ass/arsehole; (adjective:) $x_1$ is anal.  See also {zargu}, {kalci}, {mabla}, {rinci}.	gismu	QNPQNJSLTMTNSPPNPKNOPUPMNMPNOROKNOOPPNQNLLNOORLNONPNMQONNMINQSSRLONNMRMLMQLNTONPORPNLRMNMOMPRORLPNLPMQLONOKMSMQIQKNPLONPJOLPRKNOMPNNLPPNNSQNHQQRNSKQLPNONROOLOLPNQLLPPLNMMMOMPMMRIPPTQNILQMOPMOPLLOQQRMPVQPMNNQONMOLORQQRMHQLPLOOQLONNRTOQJOQMUOPKMTLKQLMSTONNNQNONNNMLMQMQTOOKOMLOMTPPQOKOQONSULONOLQOQLOPONJORKOPNQIMSNNONMNPOJLRNNNPPUNPNMQLOPPQOPOPLOOMQLNOOOQNRTKPQRLOPOPPQPQRLMMQKQQQQRTSL	anus;asshole		gax;ganx;ganxo
ganzu	$x_{1}$ organizes $x_{2}$ [relative chaos] into $x_{3}$ [ordered/organized result] by system/principle(s) $x_{4}$.	$x_3$ is also a system; $x_4$ could be merely a function which inherently serves to dictate the organizational structure of $x_3$.  See also {ciste}, {morna}, {stura}, {bilni}, {cabra}.	gismu	NKQPOLMLWPTQUOQNLMLPPOLQMSKNRMNQRQQTQKPOKORMQTMOKLKRNTRTNNJIQSQQORMROQPNOSOORNNOLSQSOQJMNPONRQPPSMOOOPONPLMMRLOLOMMMLPNMQOMNQQMOMNPMNOMPLSPRMRPMNRKMMRNKNSOPJOMPLPKONMQNONKNRRPLPIOMTPSIOOMRNKPQRJLLRONRNROMPNKPMKQOOOTQMNINTRMOLQMLOMPMNPKMNNRQRLNQOLNQOQQNPQMMNRMMKMOMMMNQRPMNKQPOOMRTNMONOOOPJRONPMOQLQMONOROMPQNKMQSOONLOPNOLLSLNNRPQOPQKONNNPMOSPNMOPLQLOQOOQNPNNSKPNORPNOPQMOPLKOQPPOLPSQM	arrange;organize		gaz;ganz;ganzu
du'e	digit/number: too many; subjective.		cmavo	QMLILSQTQPMQQPMMNJNNRQPMMMLMPONWQRPJOQLROLTOPNLMQRORLPOKMOMROPOKQOLJKSRQORQNMLNMPMRPPMQQIONORPQSMRKONQNNMNRRPLOONNQJPRRRLONONQNONPORONLROOPRPQVMOQMMPPOOQROROPOOQOQPQPOKKPNPPSTNNNLQQPQJQONNPRRKPPOOOOMMKLMPSPMPPPPPRPPKMRQNPMJOINLSLMQQPMPOOLJMNQONOSNRMTMKQPMLOROMQQOSPOOPMMOOMOPQMNMQMQTRNQPNNONNJLMOKRKNMQMPNNMPOOSQNOQQNLLOQPPNPPORPPSOHRQLOMNUNQOMOOPQNNSNIOLPMOPJOJKTPKMMKOLPOPSKONLTUPMO	too many	PA4
