@rowCount	5744
w	d	n	t
jaguar	[object Object]	(Panthera onca)	n
jaguarundi	[object Object]	(wild cat)	n
Jah	{God}		prop
Jahannam	[object Object]	(Islamic concept of hell)	prop
jail	{imprison}		v
jailbait	chave de cadeia, pita	(person below the age of consent for sexual activity)	n
jailer	[object Object]	(one who guards inmates)	n
jailkeeper	{jailer}		n
Jainism	[object Object]	(religion and philosophy)	prop
Jaipur	[object Object]	(capital of Rajasthan, India)	prop
Jakarta	[object Object]	(capital of Indonesia)	prop
Jalalabad	Jalalabad	(a city in eastern Afghanistan)	prop
jalopy	[object Object]	(old, dilapidated car)	n
jam	[object Object]	(sweet mixture of fruit boiled with sugar)	n
Jamaica	Jamaica	(country in the Caribbean)	prop
Jamaican	[object Object]	(person of Jamaican descent)	n
Jamaican Creole	[object Object]	(English-based creole language)	prop
James	Tiago	(one of two Apostles)	prop
James Bond	[object Object]	(fictional British spy)	prop
jam jar	{car}		n
Jammu and Kashmir	Jammu e Caxemira	(portion of the territory which is governed by India)	prop
Jane	[object Object]	(feminine form of John)	prop
janissary	janízaro	(former Turkish soldier)	n
janitor	[object Object]	(doorman)	n
Jan Mayen	Jan Mayen	(Norwegian territory)	prop
January	[object Object]	(first month of the Gregorian calendar)	prop
Janus	Jano	(Roman god of gates and doorways)	prop
Japan	[object Object]	(A Far East country in Asia)	prop
Japanese	[object Object]	(Japanese language)	prop
Japanese lantern	{bladder cherry}		n
japanize	japonizar	(to Nipponize)	v
Japano-	{Nippo-}		prefix
Japanophile	[object Object]	(A person who loves Japan)	n
Japanophilia	[object Object]	(Japanophilia)	n
Japheth	Jafé	(third son of Noah)	prop
jar	[object Object]	(small container for food)	n
jarbua terapon	peixe-zebra violão	(Terapon jarbua)	n
jargon	[object Object]	(technical terminology unique to a particular subject)	n
jasmine	[object Object]	(plant of genus Jasminum)	n
Jason	[object Object]	(leader of Argonauts)	prop
jasper	jaspe	(precious stone)	n
Jasper	Caspar	(male given name; one of the Magi)	prop
jaundice	[object Object]	(morbid condition)	n
Java	[object Object]	(programming language)	prop
Javanese	[object Object]	(language)	prop
javelin	[object Object]	(spear used in athletic competition)	n
jaw	[object Object]	(bone of the jaw)	n
jay	[object Object]	(name of the letter J, j)	n
jazz	[object Object]	(Unspecified thing(s))	n
J-drama	{dorama}		n
jealous	ciumento	(suspecting rivalry in love; fearful of being replaced, in position or in affection)	adj
jealousy	ciúme, ciúmes	(jealous attitude (e.g. fear of infidelity))	n
Jeanette	Jeannette	(female given name)	prop
jeans	jean	(plural of jean)	n
jeep	jipe	(vehicle)	n
Jeep	{jeep}		n
jeer	zombar, escarnecer, ridicularizar	(to scoff or mock)	v
Jeffrey	Geoffrey	(male given name)	prop
Jehovah	{Yahweh}		prop
Jehovah's Witnesses	[object Object]	(member of organisation)	n
jejunum	jejuno	(central of the three divisions of the small intestine)	n
jelly	[object Object]	(sweet gelatinous substance derived from fruit juices and pectin)	n
jellyfish	[object Object]	(aquatic being)	n
jellyroll	Swiss roll	(cylindrical cake)	n
jemmy	{cram}		v
Jenifer	Jennifer	(female given name)	prop
jenny	she-ass	(female of donkey)	n
jenny-ass	she-ass	(female donkey)	n
jeopardise	{jeopardize}		v
jeopardize	pôr em jogo	(put in jeopardy)	v
jeopardy	perigo	(danger of loss, harm, or failure)	n
jequirity	[object Object]	(Abrus precatorius)	n
Jeremiah	[object Object]	(male given name)	prop
Jeremy	{Jeremiah}		prop
Jericho	Jericó	(an ancient town in the West Bank)	prop
jerk	estúpido	(unlikable person)	n
jerk off	tocar punheta, bater punheta	(To masturbate)	v
jerky	charque	(Lean meat cured and preserved by cutting into thin strips and air-drying in the sun)	n
Jerry	Fritz	(slang: German)	prop
jersey	[object Object]	(garment knitted from wool, worn over the upper body)	n
Jerusalem	[object Object]	(city)	prop
Jerusalem artichoke	[object Object]	(plant and tuber)	n
Jerusalemite	hierosolimitano, hierosolimita, jerosolimita, jerosolimitano	(native or resident of Jerusalem)	n
Jerusalem oak	{epazote}		n
jest	gracejar	(to tell a joke)	v
jester	bobo da corte, bufão	(court entertainer)	n
Jesus	[object Object]	(the Christian Messiah)	prop
Jesus Christ	[object Object]	(Jesus of Nazareth)	prop
jet	[object Object]	(stream of fluid)	n
jet-black	pitch-black	(of the blackest black)	adj
jet engine	[object Object]	(an engine that develops thrust by ejecting a jet, especially a jet of gaseous combustion products)	n
jet plane	[object Object]	(an airplane that is powered by a jet engine)	n
jettison	jogar fora, livrar-se de	(to let go or get rid of)	v
jetty	{wharf}		n
Jew	[object Object]	(person of the Jewish faith)	n
jewbush	[object Object]	(low-growing tropical American shrub)	n
jewel	bejewel	(decorate or bedeck with jewels or gems)	v
jewel case	[object Object]	(CD case)	n
jeweler	[object Object]	(a person whose job is making, repairing or selling jewelry)	n
jeweller	jeweler	(jeweller)	n
jewellery	[object Object]	(personal ornamentation)	n
Jewess	[object Object]	(female Jew)	n
Jewish	{Yiddish}		adj
Jewish Autonomous Oblast	[object Object]	(Jewish autonomous oblast in Russia)	prop
Jewry	Judea	(the land of Jews (obsolete))	n
Jew's harp	[object Object]	(musical instrument)	n
Jezebel	[object Object]	(Biblical character Jezebel)	prop
Jharkhand	[object Object]	(state in eastern India)	prop
Jiantizi	{Simplified Chinese}		prop
Jiayi	{Chiayi}		prop
jibe	cambar	(to perform a jibe)	v
jig	gigue	(light, brisk musical movement)	n
jigger	{jiggermast}		n
jigsaw	{jigsaw puzzle}		n
jigsaw puzzle	[object Object]	(type of puzzle)	n
jihad	[object Object]	(holy war undertaken by Muslims)	n
jihadist	[object Object]	(one who participates in a jihad)	n
Jilong	{Keelung}		prop
jimsonweed	thorn apple	(weed)	n
jingoism	{chauvinism}		n
jingoist	{chauvinist}		n
jinn	[object Object]	(spirit)	n
jinrikisha	{rickshaw}		n
jinriksha	rickshaw	(two-wheeled carriage)	n
jinx	azarar	(To bring bad luck to)	v
jism	[object Object]	(slang: semen)	n
jittery	tenso	(nervy)	adj
jive	engabelar, engambelar	(be deceptive)	v
jizz	esporrar, gozar	(slang: sperm)	v
JLPT	{JLPT}		acronym
Joachim	Joaquim	(male given name)	prop
Joan	Jane	(female given name)	prop
Joanna	Jane	(cognates of the given name)	prop
job	empreitar	(to do odd jobs)	v
Job	Jó	(book of the Bible)	prop
job action	industrial action	(workplace protest)	n
jobless	unemployed	(lacking employment)	adj
Jocelyn	[object Object]	(male given name)	prop
jock	{jockstrap}		n
jockey	[object Object]	(one who rides racehorses competitively)	n
jock strap	{jockstrap}		n
jockstrap	[object Object]	(an athletic supporter)	n
jog	fazer jogging	(move in an energetic trot)	v
jogging	[object Object]	(form of exercise)	n
Johannesburg	Joanesburgo	(a city in South Africa)	prop
john	[object Object]	(outhouse privy)	n
John	[object Object]	(the fourth gospel)	prop
John Doe	[object Object]	(any unknown or anonymous male person)	n
Johnny-come-lately	[object Object]	(newcomer)	n
John the Baptist	[object Object]	(biblical prophet)	prop
join	juntar-se	(to come together; to meet)	v
joiner	[object Object]	(thing that joins)	n
joint	disjoint	(to separate the joints)	v
jointer	{pointing-trowel}		n
joint-stock company	[object Object]	(company with transferable ownership and limited shareholder liability)	n
joke	gracejar	(do for amusement)	v
joker	[object Object]	(playing card)	n
jolly	{jovial}		adj
jolt	sacudir	(to push or a shake)	v
Jonah	[object Object]	(given name)	prop
Jonathan	[object Object]	(male given name)	prop
Jordan	[object Object]	(river)	prop
Jordanian	[object Object]	(A person from Jordan or of Jordanian descent)	n
Joseph	José	(male given name)	prop
Joshua	Josué	(male given name)	prop
Josiah	Josias	(biblical king)	prop
joskin	country bumpkin	(yokel)	n
jot	anotar	(to write quickly)	v
jota	[object Object]	(Iberian music style)	n
joule	joule	(derived unit of energy, work and heat)	n
journal	[object Object]	(part of a shaft or axle that rests on bearings)	n
journalism	[object Object]	(activity or profession of being a journalist)	n
journalist	[object Object]	(reporter)	n
journalistic	periodístico	(related to journalism or journalists)	adj
journey	viajar	(to travel, to make a trip or voyage)	v
joust	[object Object]	(a mock combat between two mounted knights or men-at-arms)	n
jousting	justa		v
jovial	[object Object]	(merry, cheerful)	adj
jowled	{jowly}		adj
joy	[object Object]	(feeling of happiness)	n
joystick	[object Object]	(mechanical control device)	n
Juba	[object Object]	(capital of South Sudan)	prop
Juche	[object Object]	(North Korean self-reliance state ideology)	n
Jud.	Judg.	(abbreviation of the equivalent of Judges)	prop
Judaism	[object Object]	(world religion)	n
Judas	[object Object]	(one of the Apostles)	prop
Judas cradle	[object Object]	(device of torture)	n
Judea	[object Object]	(Judea)	n
judge	julgar	(to sit in judgment on, pass sentence on)	v
Judges	Juízes	(book of the Bible)	prop
judgment	[object Object]	((theology) final award; the last sentence)	n
judicial	judiciário	(of or relating to a court of law)	adj
Judith	[object Object]	(wife of Esau)	prop
judo	[object Object]	(Japanese martial art)	n
judoka	[object Object]	(practitioner of judo)	n
jug	jarra, caneca	(serving vessel)	n
juggle	fazer malabarismo com	(manipulate objects artistically)	v
juggler	[object Object]	(person who practices juggling)	n
juggling	[object Object]	(moving of objects in an artful manner)	n
jugular	jugular vein	(vein through the neck)	n
juice	extrair	(to remove the juice from something)	v
juice joint	{nightclub}		n
juicy	[object Object]	(exciting, interesting)	adj
jujube	[object Object]	(tree)	n
jukebox	[object Object]	(a coin-operated machine that plays recorded music)	n
Julia	Júlia	(female given name)	prop
Julian	Julião, Juliano	(male given name)	prop
Julie	Julia	(female given name)	prop
Juliet	Julieta	(female given name)	prop
Julius	[object Object]	(male given name)	prop
July	[object Object]	(seventh month of the Gregorian calendar)	prop
jumble	misturar	(To mix or confuse)	v
jump	sobressaltar	(react to a sudden stimulus by jerking the body violently)	v
jumper	[object Object]	(woolen sweater or pullover)	n
jumping jack	[object Object]	(exercise)	n
jump rope	skipping rope	(length of rope)	n
jump the queue	furar a fila	(move into a queue ahead of others)	v
junction	[object Object]	(the act of joining)	n
June	[object Object]	(sixth month of the Gregorian calendar)	prop
Juneberry	{serviceberry}		n
jungle	[object Object]	(large, undeveloped, humid forest)	n
junior	mais novo/jovem	(younger)	adj
juniper	[object Object]	(shrub or tree of the genus Juniperus)	n
junk	[object Object]	(rubbish, waste)	n
junk food	[object Object]	(food with little or no nutritional value)	n
junkie	[object Object]	(a narcotics/drug addict)	n
junta	[object Object]	(ruling council of a military dictatorship)	n
Jupiter	[object Object]	(planet)	prop
jurisdiction	[object Object]	(the power, right, or authority to interpret and apply the law)	n
jurist	{judge}		n
juror	[object Object]	(jury member)	n
jury	[object Object]	(group of judges in a competition)	n
jussive	[object Object]	(jussive mood)	n
just	joust	(to fight a tournament)	v
just deserts	ter o que merece	(a punishment or reward that is considered to be what the recipient deserved)	n
justice	[object Object]	(the civil power dealing with law)	n
justifiable	justificável	(That can be justified)	adj
justification	justificativa	(reason, explanation, or excuse)	n
justify	absolver	(to absolve, and declare to be free of blame or sin)	v
Justin	Justino	(male given name)	prop
Justine	[object Object]	(female given name)	prop
justly	justamente	(In a just or fair manner)	adv
jute	[object Object]	(The coarse, strong fiber of the East Indian plant, Corchorus olitorius, used to make mats, paper, gunny cloth etc)	n
Jutland	[object Object]	(peninsula)	prop
juvenile offending	{juvenile delinquency}		n
juxtapose	justapor	(to place side by side)	v
jynx	wryneck	(Jynx torquilla)	n
K2	[object Object]	(the world’s second highest mountain, located in the Tibetan Himalayas)	prop
Kaaba	[object Object]	(cubical stone building in Mecca)	prop
kabuki	[object Object]	(form of Japanese theatre)	n
Kabul	[object Object]	(capital of Afghanistan)	prop
Kafkaesque	kafkiano	(marked by menacing complexity)	adj
kaftan	[object Object]	(long tunic worn in the Eastern Mediterranean)	n
kai-lan	{kailan}		n
Kaingang	[object Object]	(people)	prop
kaiser	[object Object]	(emperor of a German-speaking country)	n
kakke	{beriberi}		n
kakorrhaphiophobia	{atychiphobia}		n
kale	[object Object]	(edible plant: brassica oleracea acephala)	n
kaleidoscope	[object Object]	(tube of mirrors rotated to produce symmetrical designs)	n
Kali	Kali	(goddess)	prop
Kaliningrad	[object Object]	(Kaliningrad, see also: Königsberg)	prop
Kaluga	[object Object]	(city in Russia)	prop
Kama Sutra	[object Object]	(Sanskrit treatise)	prop
Kamchatka	[object Object]	(peninsula in the Russian Far East)	prop
kamikaze	[object Object]	(suicidal attacker)	n
Kampala	[object Object]	(capital of Uganda)	prop
Kampuchea	[object Object]	(Former name for Cambodia)	prop
kana	[object Object]	(Japanese syllabaries)	n
kangaroo	[object Object]	(marsupial)	n
kanji	[object Object]	(Chinese characters in Japanese context)	n
Kanji	{kanji}		prop
Kannada	[object Object]	(language)	prop
Kansas	[object Object]	(US state)	prop
Kaohsiung	Kaohsiung	(a large city in Taiwan)	prop
kaolin	[object Object]	(clay)	n
kaolinite	[object Object]	(Al[2]Si[2]O[5](OH)[4])	n
kappa	[object Object]	(Greek letter)	n
kaput	[object Object]	(out of order)	adj
Karachi	Carachi	(the capital of the province of Sindh, Pakistan)	prop
Karafuto	{Sakhalin}		prop
karaoke	karaokê	(a form of entertainment)	n
karate	[object Object]	(martial art)	n
Karelia	[object Object]	(region and a federal subject in Russia)	prop
Karelian	[object Object]	(the language)	prop
Karl	Carl	(transliterations)	prop
karma	[object Object]	(the total effect of a person’s actions and conduct during the successive phases of his existence)	n
Karnataka	Karnataka	(state in southern India)	prop
karst	[object Object]	(type of land formation)	n
Kartvelian	{Georgian}		prop
Kartvelology	{Kartvelian studies}		n
kasha	[object Object]	(porridge)	n
Kashgar	[object Object]	(a city in Xinjiang, China)	prop
Kashi	{Kashgar}		prop
Kashmir	[object Object]	(region)	prop
Kashmiri	[object Object]	(language)	prop
Kashubian	[object Object]	(Slavic language spoken in the Pomeranian region of Poland)	prop
katakana	[object Object]	(Japanese syllabary)	n
Kathleen	{Catherine}		prop
Kathmandu	[object Object]	(Kathmandu)	prop
Katya	[object Object]	(a female given name)	prop
Kaunas	[object Object]	(city)	prop
Kavala	Cavala	(city)	prop
kawaii	[object Object]	(cute, in context of Japanese culture)	adj
kay	[object Object]	(name of the letter K, k)	n
kayak	[object Object]	(a type of small boat)	n
kazachok	{kozachok}		n
Kazakh	[object Object]	(language)	prop
Kazakhstan	[object Object]	(country in Central Asia)	prop
Kazakhstani	Kazakh	(person of Kazakh origin)	n
Kazan	Cazã	(city in Russia)	prop
Kōbe	{Kobe}		prop
Kōchi	{Kochi}		prop
kebab	[object Object]	(kebab)	n
keel	quilha	(beam along the underside of a ship’s hull)	n
keep	conter	(to restrain)	v
keep a cool head	{keep one's cool}		v
keep an eye on	ficar de olho	(to watch and pay attention to)	v
keep in mind	bear in mind	(to remember; to be mindful of or pay attention)	v
keep it up	continuar assim	(To maintain or continue a positive streak.)	v
keep quiet	ficar quieto, calar-se	(remain silent)	v
keepsake	[object Object]	(object retained in memory of something or someone)	n
keep someone in the dark	manter no escuro	(to keep someone uninformed)	v
Kefalovrisi	{Kefalovrissi}		prop
Kefalovrysi	{Kefalovrissi}		prop
Kefalovryssi	{Kefalovrissi}		prop
kefir	[object Object]	(fermented milk)	n
kegger	{keg party}		n
kelp	[object Object]	(large seaweed)	n
kelvin	[object Object]	(SI temperature unit)	n
Kemerovo	[object Object]	(city in Siberia)	prop
kennel	[object Object]	(shelter for a dog)	n
Kenya	[object Object]	(country in Eastern Africa)	prop
kepi	quepe	(cap with a flat circular top)	n
Kerala	Kerala, Querala	(state in southern India)	prop
keratin	queratina	(protein that hair and nails are made of)	n
keratoconus	[object Object]	(A degenerative disorder of the eye)	n
kerb	[object Object]	(edge between pavement and roadway)	n
Kerch	[object Object]	(city)	prop
kerchief	[object Object]	(piece of cloth)	n
Kerch Strait	{Strait of Kerch}		prop
kermes oak	[object Object]	(oak)	n
kernel	[object Object]	(core or essence of an object or system)	n
kerosene	[object Object]	(thin, colorless fuel)	n
kestrel	[object Object]	(Falco tinnunculus)	n
Ket	[object Object]	(language)	prop
ketchup	[object Object]	(tomato-vinegar based sauce)	n
ketone	[object Object]	(organic chemicals with the >CO functional group)	n
kettle	[object Object]	(vessel for boiling a liquid or cooking food)	n
kettledrum	[object Object]	(percussion instrument)	n
kettle of fish	{predicament}		n
key	digitar, teclar	(computing: enter (information))	v
keyboard	teclar	(to type in)	v
keychain	[object Object]	(chain or ring)	n
keyhole	[object Object]	(a hole to lock/unlock with a key)	n
keyhole surgery	{laparoscopy}		n
Keynesian	[object Object]	(proponent of Keynesian doctrine)	n
keypad	[object Object]	(small board with keys)	n
keyword	[object Object]	(word used as a key to a code)	n
Kōfu	{Kofu}		prop
Khabarovsk	[object Object]	(city in Russia)	prop
khagan	[object Object]	(title of imperial rank)	n
khaki	cáqui	(yellowish-brown colour)	n
khan	[object Object]	(a ruler over various Turkic, Tatar and Mongol peoples in the Middle Ages)	n
khanate	[object Object]	(place ruled by a khan)	n
khanjar	[object Object]	(Arabian dagger)	n
Khanty-Mansiysk	[object Object]	(city in Russia)	prop
Kharkiv	[object Object]	(second largest city in Ukraine)	prop
Kharkov	{Kharkiv}		prop
Khartoum	[object Object]	(capital of Sudan)	prop
khat	khat	(Shrub (Catha edulis))	n
Khazarian	Khazar	(an inhabitant of Khazaria)	n
khedive	quediva	(Turkish viceroy)	n
Khmelnitsky	{Khmelnytskyi}		prop
Khmer	[object Object]	(the national language of Cambodia)	prop
Khmer Rouge	[object Object]	(Cambodian communist guerrilla force)	prop
Khorgos	{Khorgas}		prop
Khrushchev	[object Object]	(the leader of the Soviet Union from 1953 to 1964)	prop
kibbeh	[object Object]	(form of dumpling)	n
kibbutz	[object Object]	(a community)	n
kick	chutar	(strike with or raise the foot or leg)	v
kick-ass	badass	(excellent)	adj
kickback	[object Object]	(a form of negotiated bribery)	n
kick butt	{kick ass}		v
kicker	kicking strap	(nautical: kicking strap)	n
kick scooter	scooter	(a child's foot-operated vehicle)	n
kick the bucket	bater as botas	(to die)	v
kick wheel	[object Object]	(A wheel or disc used to throw pots, turned by kicking or pushing a heavy stone or concrete base with the foot)	n
kid	brincar	(to joke)	v
kidnap	sequestrar	(to seize and detain a person unlawfully)	v
kidnapper	[object Object]	(one who performs kidnap)	n
kidnapping	[object Object]	(the crime of taking a person against their will, sometimes for ransom)	n
kidney	[object Object]	(food)	n
kidney stone	[object Object]	(calculus in the kidney)	n
kidskin	[object Object]	(type of leather)	n
kidult	adultescente	(middle-aged person who participates of youth culture)	n
Kiev	[object Object]	(Ukrainian city)	prop
Kievan Rus	[object Object]	(medieval principality)	prop
Kievite	{Kievan}		n
kike	Jew	(non-offensive)	n
Kilimanjaro	[object Object]	(volcano)	prop
kill	matar	(put to death)	v
killer	[object Object]	(person who kills)	n
killer T cell	{cytotoxic T cell}		n
killer whale	[object Object]	(A sea mammal, Orcinus orca)	n
killjoy	spoilsport	(someone who takes the fun out of a situation or activity)	n
kill time	matar o tempo	(make time seem to pass more quickly by doing nothing important)	v
kill two birds with one stone	matar dois coelhos com uma cajadada, matar dois coelhos com uma cajadada só, matar dois coelhos de uma cajadada, matar dois coelhos de uma cajadada só	(solve two problems at once)	v
kiln	[object Object]	(oven, furnace or heated chamber)	n
kilo	[object Object]	(short form of kilogram)	n
kilobyte	[object Object]	(1024 bytes)	n
kilogram	[object Object]	(unit of mass equal to 1000 grams)	n
kilometrage	[object Object]	(kilometrage)	n
kilometre	[object Object]	(unit of measure)	n
kilo-watt	{kilowatt}		n
kilowatt	[object Object]	(one thousand watts)	n
Kim	[object Object]	(surname)	prop
kimono	[object Object]	(traditional Japanese clothing)	n
kin	{relative}		n
kind	[object Object]	(type, race, category)	n
kindergarten	[object Object]	(the elementary school grade before first grade)	n
kindle	acender	(to start (a fire))	v
kindly	gentil, amável, agradável	(having a kind personality)	adj
kindness	caridade	(instance of charitable behavior)	n
kind of	meio	(somewhat)	adv
kindred	{kin}		n
kindred soul	{kindred spirit}		n
kinematics	[object Object]	(the branch of mechanics concerned with objects in motion)	n
kinesia	{motion sickness}		n
kinesic	cinésico	(of or pertaining to nonverbal behaviour related to movement)	adj
kinesiology	[object Object]	(the study of body movement)	n
kinesthetics	{proprioception}		n
kinetic	cinético	(relating to motion)	adj
kinetic energy	[object Object]	(energy from motion)	n
kinetosis	{motion sickness}		n
king	[object Object]	(a playing piece in chess)	n
King Arthur	[object Object]	(legendary king of Britain)	prop
king cobra	[object Object]	(Ophiophagus hannah)	n
kingdom	[object Object]	(taxonomic division, below Domain and above Phylum)	n
Kingdom Hall	Salão do Reino	(place where Jehovah's Witnesses meet)	n
Kingdom of Aksum	[object Object]	(medieval Ethiopian state)	prop
Kingdom of Heaven	[object Object]	(Christian concept)	prop
Kingdom of Saudi Arabia	[object Object]	(official name of Saudi Arabia)	prop
Kingdom of the Netherlands	[object Object]	(official name of the Netherlands)	prop
kingfisher	[object Object]	(any of various birds of the suborder Alcedines)	n
King James Version	[object Object]	(1611 translation of the Bible)	prop
king of beasts	[object Object]	(the lion)	n
king penguin	pinguim-rei	(Aptenodytes patagonicus)	n
kingpin	manda-chuva	(most important person)	n
kingslayer	[object Object]	(one who kills a king)	n
Kingston	[object Object]	(capital of Jamaica)	prop
kink	cacho	(tight curl, twist, or bend)	n
kinky	pervertido	(marked by unconventional sexual preferences or behavior)	adj
Kinshasa	[object Object]	(the capital of the Democratic Republic of the Congo)	prop
kinship	[object Object]	(relation or connection by blood, marriage or adoption)	n
kiosk	[object Object]	(enclosed structure where cigarettes, magazines, etc are sold)	n
kippah	[object Object]	(skullcap)	n
kirby grip	hairgrip	(a hairgrip)	n
Kiribati	Quiribáti	(Republic of Kiribati)	prop
Kirov	[object Object]	(Russian surname)	prop
Kirovograd	{Kirovohrad}		prop
kirpan	[object Object]	(a ceremonial sword)	n
kismet	[object Object]	(fate; a predetermined or unavoidable destiny)	n
kiss	beijar	(to touch with the lips)	v
kiss ass	puxar o saco	(to flatter excessively)	v
kiss-ass	asslicker	(someone who kisses ass)	n
kiss me	beije-me [informal]	(kiss me)	phrase
kiss my arse	kiss my ass	(go away)	interj
kiss my ass	vai/vá embora	(go away)	interj
kiss someone's ass	brownnose	(to flatter someone)	v
Kiswahili	{Swahili}		n
kitchen	[object Object]	(room)	n
kitchen dresser	{kitchen cabinet}		n
kitchen garden	vegetable garden	(a garden used for growing fruits, vegetables for use in the kitchen)	n
kitchen hood	extractor hood	(kitchen device)	n
kitchen sink	kitchen sink	(basin)	n
kitchen towel	paper towel	(sheet of kitchen paper)	n
kite	[object Object]	(flying toy on string)	n
kitsch	{kitsch}		n
kitten	[object Object]	(a young cat)	n
kitty	gatinho	(kitten, small cat)	n
kitty corner	catercorner	(situated diagonally across)	adj
kiwi	{kiwi fruit}		n
kiwi fruit	[object Object]	(fruit)	n
kleptarchy	{kleptocracy}		n
kleptocracy	[object Object]	(corrupt and dishonest government)	n
kleptocrat	[object Object]	(corrupt leader)	n
kleptomania	[object Object]	(proclivity to steal)	n
kleptomaniac	[object Object]	(One who steals compulsively)	n
Klingon	klingon	(the language)	prop
kludge	gambiarra	(construction designed to solve a problem temporarily)	n
knack	[object Object]	(A readiness in performance; aptness at doing something; skill; facility; dexterity)	n
knave	[object Object]	(playing card)	n
knead	amassar, sovar	(to work and press into a mass)	v
kneading	[object Object]	(the process of kneading)	n
knee	[object Object]	(joint in the middle of the leg and area around it)	n
kneecap	[object Object]	(bone)	n
kneel	ajoelhar-se	(to stoop down and rest on the knee)	v
kneepan	{kneecap}		n
knee pit	poplit	(shallow depression located at the back of the knee joint)	n
knickers	{panties}		n
knife	esfaquear	(to use a knife to injure or kill)	v
knife pleat	[object Object]	(a type of sharply pressed pleating)	n
knight	dar o título de cavaleiro	(to confer a knighthood upon)	v
knightlet	knightling	(small or petty knight)	n
Königsberg	[object Object]	(former capital of East Prussia, see also: Kaliningrad)	prop
knit	tricotar	(to make fabric from thread or yarn)	v
knitting needle	[object Object]	(thin rod used to knit yarn)	n
knock	bater	(to rap one's knuckles against something)	v
knock down	{demolish}		v
knocker	doorknocker	(device for knocking on a door)	n
knock knock	{knock-knock joke}		n
knock knock joke	{knock-knock joke}		n
knock off	derrubar	(hit (something) off)	v
knock out	nocautear	(render someone unconscious)	v
knockout	[object Object]	(act of making someone unconscious)	n
Knossos	Cnossos	(an archaeological site)	prop
knot	franzir	(form wrinkles in forehead)	v
know	saber, conhecer, entender	(understand (a subject))	v
knowable	conhecível	(capable of being known, understood or comprehended)	adj
know beans about	saber chongas sobre, entender bulhufas de	(to know nothing, or almost nothing, about)	v
know-how	saber-fazer	(the knowledge and skill to be able to do something correctly)	n
know-it-all	[object Object]	(someone who obnoxiously claims to be knowledgeable on a subject)	n
knowledge	[object Object]	(total of what is known, product of learning)	n
knowledgeable	[object Object]	(well informed)	adj
knowledge is power	conhecimento é poder	(knowledge is power)	proverb
known	conhecido	(that whom other people know, renowned, famous)	adj
knuckle	[object Object]	(joint of the finger)	n
knuckle duster	brass knuckles	(weapon worn around the knuckles)	n
knucks	{brass knuckles}		n
koala	[object Object]	(a tree-dwelling marsupial that resembles a small bear)	n
kofta	[object Object]	(meatball or meatloaf dish)	n
Kohima	[object Object]	(capital of Nagaland, India)	prop
kohlrabi	[object Object]	(cabbage variety)	n
kolach	{kalach}		n
Kola Peninsula	[object Object]	(peninsula in Russia)	prop
Kolkata	[object Object]	(city)	prop
kolkhoz	[object Object]	(farming collective)	n
Komodo	[object Object]	(island in Indonesia)	prop
Komodo dragon	[object Object]	(large monitor lizard)	n
Komondor	[object Object]	(breed of dog)	n
Komotini	Komotini	(city)	prop
Komsomol	[object Object]	(Young Communist League in the USSR)	prop
Komsomolsk	[object Object]	(Komsomolsk, towns and rural localities in Russia and Ukraine)	prop
Konstantinovka	{Kostiantynivka}		prop
kopek	[object Object]	(one-hundredth of a ruble)	n
koph	{kaph}		n
Korea	{South Korea}		prop
Korean	[object Object]	(language)	prop
Kos	Cós	(island)	prop
kosher	kosher	(of food, prepared in accordance with Jewish religious practices)	adj
Kosovar	{Kosovan}		n
Kosovo	Kosovo	(disputed region in the Balkans)	prop
Kostroma	[object Object]	(city in Russia)	prop
Kostyantynivka	{Kostiantynivka}		prop
koumiss	[object Object]	(fermented drink)	n
kozachok	[object Object]	(dance)	n
kph	km/h	(Kilometres per hour)	initialism
Krasnodar	[object Object]	(a city in Russia)	prop
Krasnoyarsk	[object Object]	(city)	prop
Kraut	{German}		n
Kremlin	[object Object]	(the Moscow Kremlin)	prop
krill	[object Object]	(small marine crustacean)	n
Krishna	[object Object]	(avatar)	prop
Krivoy Rog	{Kryvyi Rih}		prop
krone	[object Object]	(currency)	n
Krungthep	{Bangkok}		prop
Krung Thep	{Bangkok}		prop
krupuk	{prawn cracker}		n
Krym	{Crimea}		prop
krypton	[object Object]	(a chemical element)	n
kryptonite	kryptonita	(weakness)	n
Kuala Lumpur	[object Object]	(capital of Malaysia)	prop
Kuban	[object Object]	(the Kuban river)	prop
kudos	[object Object]	(praise, accolades)	n
Kuiper belt	cinturão de Kuiper	(region of space)	prop
Ku Klux Klan	{Ku Klux Klan}		prop
kulak	[object Object]	(a prosperous peasant)	n
kumquat	[object Object]	(small orange fruit)	n
kuna	[object Object]	(currency of Croatia)	n
kung fu	[object Object]	(martial art)	n
Kurd	[object Object]	(a member of the people inhabiting Kurdistan)	n
Kurdish	[object Object]	(language of Kurdistan)	prop
Kurdistan	[object Object]	(a region in the Middle East inhabited mostly by the Kurds)	prop
Kurgan	[object Object]	(city)	prop
Kuril Islands	[object Object]	(group of islands)	prop
Kursk	[object Object]	(city in Russia)	prop
kuru	[object Object]	(central nervous system disease)	n
Kussmaul breathing	[object Object]	(labored breathing associated with metabolic acidosis, renal failure, and diabetes)	n
Kuwait	Kuwait	(country in the Middle East and capital city)	prop
kvass	[object Object]	(traditional Slavic drink)	n
kyanite	[object Object]	(blue neosilicate mineral)	n
kyat	[object Object]	(unit of currency)	n
