@rowCount	3536
bangu	w	n	d	t	s	r	g
loglan	lo pasti		«paste»/«glue», paste, mass term.		n		paste,glue
loglan	pastycli	⬅ past(i)+y+cli(ka)	G is more «pasty» than J.	2-Cpx	2a		pasty
loglan	pu pastycli		a «pastiness», a property of being pasty.		n		pastiness
loglan	pastyduo	⬅ past(i)+y+du(rz)o	K «paste»/«glue» B to D.	2-Cpx	3v		paste,glue
loglan	pastytcu	⬅ past(i)+y+tcu(re)	P is a «collage» depicting B, made from S by artist K.	2-Cpx	4n		collage
loglan	pasvei	⬅ pas(ko)+ve(tc)i	B is «preliminary» to V.	2-Cpx	2a		preliminary
loglan	pasviu	⬅ pas(ko)+vi(dj)u	P is a «draft»/«preview» of project/work N prepared by K.	2-Cpx	3n		draft,preview
loglan	fu pasviu		«draft»/«preview» work ... in document ... <K-NP>.		3v		draft,preview
loglan	patcai	⬅ pat(pe)+ca(nl)i	C is a «potful»/«pot» of B.	2-Cpx	2n		potful,pot
loglan	patce	{balpae}, {bamkuspypae}, {botliupae}, {bourtolpae}, {capypae}, {dirtolpae}, {hirsonpae}, {jugpae}, {kofkledypae}, {kokpae}, {kopypae}, {krapae}, {kunpae}, {kunsonpae}, {latflepae}, {leksropae}, {livpae}, {metysaspae}, {minfauplepae}, {muzpae}, {nodyduvpae}, {pacdou}, {pacgei}, {pacmao}, {pedsilpae}, {plepae}, {privizpae}, {rorholpae}, {skipae}, {sniklupae}, {tokvempae}\n⬅ 3/3C chi | 3/6R apparat | 3/6G apparat | 3/7S aparato | 2/7E apparatus	B is an «apparatus»/«equipment»/«device» for doing K, any device for ....	C-Prim	2n	pac,pae	apparatus,equipment,device
loglan	patheli	⬅ ISV	B is a «patella»/«kneecap» (a patella is also a «limpet»).	Bor.	1n		patella,kneecap,limpet
loglan	pathogeniki	⬅ ISV	B is a «pathogen» of type F, illness causing.	Bor.	2n		pathogen
loglan	pathogeniki	⬅ ISV	«pathogenic», pert. to pathogens.	Bor.	a		pathogenic
loglan	patmi	{pambalma}, {pamfru}, {pamymio}\n⬅ 3/4F paté | 3/5E (I) pasta | 3/5H mathri | 3/5S (I) pasta | 2/4C mien	B is some «dough»/«pasta» or food made from same, i.e. noodles, spaghetti, pastry, pie crust, etc.	C-Prim	1n	pam	dough,pasta
loglan	patnakso	⬅ pat(pe)+nakso	K «tinker»/«repair pots».	2-Cpx	1v		tinker,repair pots
loglan	patnakso	⬅ pat(pe)+nakso	a «tinker», an itinerant repairer of household equipment.	2-Cpx	n		tinker
loglan	patpe	{patcai}, {patnakso}, {picypatpe}, {zlupypatpe}\n⬅ 3/3E pot | 3/4S pote | 2/3C pen	B is a «pot», a deep container.	C-Prim	1n	pat	pot
loglan	pau		«ago», as in {pau lio rima nirne}, several hundred years ago.	LW	pp		ago
loglan	pavha	⬅ pavhu	B is a «peahen», a female «peafowl» from S.	D-Prim	2n		peahen,peafowl
loglan	pavhe	⬅ pavhu	G is more «peafowl like» than J.	D-Prim	2a		peafowl like
loglan	pavhi	⬅ pavhu	B is a «peafowl chick», a baby peafowl from S.	D-Prim	2n		peafowl chick
loglan	pavho	⬅ pavhu	B is a «peacock», a male «peafowl» from S.	D-Prim	2n		peacock,peafowl
loglan	pavhu	⬅ Lin. Pava sp.	B is any «peafowl» from S, generic term.	S-Prim	2n		peafowl
loglan	paza	⬅ pa+za	«recently»/shortly «before», before predicates.	Cpd	av		recently,before
loglan	paza	⬅ pa+za	shortly «before» ..., before event clauses.	Cpd	c		before
loglan	paza	⬅ pa+za	shortly «before» ..., before event terms.	Cpd	pp		before
loglan	paza	⬅ pa+za	«lately»/«newly»/«recently» ... ed, not too long ago, a modified tense operator.	Cpd	va		lately,newly,recently
loglan	paza ti		a short time «ago», before this (moment).		av		ago
loglan	paza ti		a while «ago», shortly before this.		av		ago
loglan	pazda	{cirpazda}, {linpazda}, {pazfiu}, {pazfro}, {pazgoi}, {pazhao}, {pazkeo}, {pazkru}, {pazlia}, {pazyspu}, {pazyspumou}, {rirpazmao}, {turpazda}\n⬅ 2/3E pause | 2/3F paus er | 2/4S paus ar | 2/6C deng dai	K «await»/«pause»/«wait for» event/person D before doing V.	C-Prim	3v	paz	await,pause,wait for
loglan	pazda	{cirpazda}, {linpazda}, {pazfiu}, {pazfro}, {pazgoi}, {pazhao}, {pazkeo}, {pazkru}, {pazlia}, {pazyspu}, {pazyspumou}, {rirpazmao}, {turpazda}\n⬅ 2/3E pause | 2/3F paus er | 2/4S paus ar | 2/6C deng dai	a «waiter», one who awaits events/persons.	C-Prim	n	paz	waiter
loglan	po pazda		a «waiting»/«wait»/«pause», an event/state of -ing.		n		waiting,wait,pause
loglan	pazfiu	⬅ paz(da)+fi(br)u	K is «impatient» in situation N.	2-Cpx	2a		impatient
loglan	pazfro	⬅ paz(da)+fo/r(li)	B is «patient» in situation N.	2-Cpx	2a		patient
loglan	pazgoi	⬅ paz(da)+go(dz)i	K «waver»/«hesitate»/«falter» about V.	2-Cpx	2v		waver,hesitate,falter
loglan	lopu pazgoi		«hesitation»/«wavering», mass property.		n		hesitation,wavering
loglan	po pazgoi		a «hesitation» (about ...).		n		hesitation
loglan	pazhao	⬅ paz(da)+ha(rk)o	B is a «shelter» for P, any waiting or resting shelter.	2-Cpx	2n		shelter
loglan	pazi	⬅ pa+zi	«before», just, before predicates.	Cpd	av		before
loglan	pazi	⬅ pa+zi	«just now»/«lately», immediately before, before predicates.	Cpd	av		just now,lately
loglan	pazi	⬅ pa+zi	«just before» ..., before event clauses.	Cpd	c		just before
loglan	pazi	⬅ pa+zi	«just before» ..., before event terms.	Cpd	pp		just before
loglan	pazi	⬅ pa+zi	«just» ... ed/was just (now a), a modified tense operator.	Cpd	va		just
loglan	pazi ta		«just then», just before that, a mod. phrase.		ph		just then
loglan	pazi ti		«just then», just before this, a mod. phrase.		ph		just then
loglan	pazkeo	⬅ paz(da)+(c)ke(m)o	B is a «pause» of C for P.	2-Cpx	3v		pause
loglan	pazkru	⬅ paz(da)+kru(ma)	B is a «waiting room» of establishment F.	2-Cpx	2n		waiting room
loglan	pazlia	⬅ paz(da)+(c)li(n)a	F is a «queue»/«line» of persons waiting for event/service V. Cf., {linpaa}, to queue up/wait in line for something.	2-Cpx	2n		queue,line
loglan	pazu	⬅ pa+zu	long «ago», a tense operator before predicates.	Cpd	av		ago
loglan	pazu	⬅ pa+zu	«long before», some event, before clauses.	Cpd	c		long before
loglan	pazu	⬅ pa+zu	«long before», some event, before terms.	Cpd	pp		long before
loglan	pazu ti		«long ago», long before this, a mod. phrase.		ph		long ago
loglan	pazyspu	⬅ paz(da)+y+spu(ro)	B is «patient» with D in matter V.	2-Cpx	3a		patient
loglan	pazyspu	⬅ paz(da)+y+spu(ro)	«patiently», with patience.	2-Cpx	av		patiently
loglan	lopu pazyspu		«patience», general property.		n		patience
loglan	lopu no pazyspu		«impatience», general property.		n		impatience
loglan	no pazyspu		«impatient» (with ... in ...), not patient.		a		impatient
loglan	pazyspumou	⬅ paz(da)+y+spu(ro)+mo(rd)u	G is more «patient» than J with N.	3-Cpx	3a		patient
loglan	nu pazyspumou		«impatient» than ... with ....		a		impatient
loglan	pu nu pazyspumou		an «impatience», a spec. property.		n		impatience
loglan	pe		«of», the general possessive word, as in 'the boat of john'.	LW	pp		of
loglan	pea	⬅ nea	("+") «positive sign», sign of a positive number.	LW	ms		positive sign
loglan	pearjao	⬅ pe(nt)a+r+ja(gl)o	B is a/the «acute angle» between S and D.	2-Cpx	3n		acute angle
loglan	pearjao	⬅ pe(nt)a+r+ja(gl)o	«acute», as of angles.	2-Cpx	a		acute
loglan	pu pearjao		an «acuteness», as of angles, a property.		n		acuteness
loglan	peartrufa	⬅ pe(nt)a+r+trufa	B is a «spire»/«steeple» of building F.	2-Cpx	2n		spire,steeple
loglan	peasko	⬅ pe(nt)a+sko(ri)	B is a «screw»/«wood screw», any pointed bolt.	2-Cpx	1n		screw,wood screw
loglan	pebdja	⬅ (s)peb(i)+dja(no)	B is «technical».	2-Cpx	1a		technical
loglan	pebkea	⬅ (s)peb(i)+(c)ke(l)a	F is an «Academy» for B, a special school.	2-Cpx	2n		Academy
loglan	pebleu	⬅ (s)peb(i)+le(ng)u	V is an «argot»/«jargon»/«technical vocabulary» used by K.	2-Cpx	2n		argot,jargon,technical vocabulary
loglan	nu pebleu		a user of «jargon»/«argot» ....		n		jargon,argot
loglan	pebsei	⬅ (s)peb(i)+se(tc)i	B, a token or label, is a «logical set» of denumerable objects/members/elements F with a defining property indicated by their membership in some superset S, and with cardinality C.	2-Cpx	4n		logical set
loglan	fu pebsei		a «superset» specifying the «defining» «property» of the members ... of some set.		n		superset,defining,property
loglan	ju pebsei		the «cardinal» «number» of the members/elements ... of some set; cf. {konte}.		n		cardinal,number
loglan	nu pebsei		the «membership» of/are the «members»/«elements» of set ....		n		membership,members,elements
loglan	pebspubilca	⬅ (s)peb(i)+spu(ro)+bilca	F is a «commando group»/«special strike force» of country N.	3-Cpx	2n		commando group,special strike force
loglan	pebtaa	⬅ (s)peb(i)+ta(kn)a	K «specify» details B of task/project/goal V for P.	2-Cpx	4v		specify
loglan	pebtaa	⬅ (s)peb(i)+ta(kn)a	a «specific», of one who -fies.	2-Cpx	a		specific
loglan	pebtaa	⬅ (s)peb(i)+ta(kn)a	a «specifier», one who gives -cations.	2-Cpx	n		specifier
loglan	nu pebtaa		a «specification», a prop. used in -fying.		n		specification
loglan	po pebtaa		a «specification», an act of -fying.		n		specification
loglan	pebtia	⬅ (s)peb(i)+ti(sr)a	K «favor»/be «partial to» G over J in matter V.	2-Cpx	4v		favor,partial to
loglan	lopo pebtia		«partiality»/«favoritism», mass acts.		n		partiality,favoritism
loglan	nu pebtia		«favored», pert. to favorites.		a		favored
loglan	nu pebtia		a «favorite», a favored one/thing.		n		favorite
loglan	pebtiadju	⬅ (s)peb(i)+ti(sr)a+dju(di)	K is «unjust»/«unfair» to D in decision P in case/matter V.	3-Cpx	4a		unjust,unfair
loglan	fu pebtiadju		«unjust», of decisions.		a		unjust
loglan	po pebtiadju		an instance of «injustice», being unjust to ....		n		injustice
loglan	po nu pebtiadju		an instance of «injustice», receiving injustice.		n		injustice
loglan	pebtoa	⬅ (s)peb(i)+to(kn)a	K «despecialize»/«make ordinary» B just like any other thing of the same type by doing V.	2-Cpx	3v		despecialize,make ordinary
loglan	pebyjio	⬅ (s)peb(i)+y+(d)ji(p)o	G is more «special»/«specifically important» than J.	2-Cpx	2a		special,specifically important
loglan	pebyjio	⬅ (s)peb(i)+y+(d)ji(p)o	«special»/«important», special.	2-Cpx	a		special,important
loglan	pebyjio	⬅ (s)peb(i)+y+(d)ji(p)o	«especially», in an important manner.	2-Cpx	av		especially
loglan	pebyresfu	⬅ (s)peb(i)+y+resfu	B is a «costume» of S for P.	2-Cpx	3n		costume
loglan	peckia	⬅ pe(t)c(i)+ki(ts)a	K pays for «sex» with B.	2-Cpx	2v		sex
loglan	peckoi	⬅ pe(t)c(i)+ko(rj)i	K draw a «check» to D for amount C on bank B.	2-Cpx	4v		check
loglan	pecpai	⬅ pe(t)c(i)+pa(rt)i	V is an «installment»/«payment» of amount C on merchandise B.	2-Cpx	3n		installment,payment
loglan	pedcea	⬅ pe(n)d(i)+ce(nj)a	D is/are «suspended» from N.	2-Cpx	2v		suspended
loglan	po pedcea		an instance of «suspension», being suspended from ....		n		suspension
loglan	pedmao	⬅ pe(n)d(i)+ma(dz)o	K «hang»/«suspend» B from D.	2-Cpx	3v		hang,suspend
loglan	po pedmao		a «suspension», an act of -ing.		n		suspension
loglan	pedsilpae	⬅ pe(n)d(i)+sil(tu)+pa(tc)e	B is a «swing», a play device for children.	3-Cpx	1		swing
loglan	pedsiu	⬅ pe(n)d(i)+si(lt)u	K «swing»/«sway» from B under the influence of N.	2-Cpx	3v		swing,sway
loglan	po pedsiu		a «swing», an instance of -ing.		n		swing
loglan	peebru	⬅ pe(nr)e+bru(di)	B is a/the «uncle» of D through parent S.	2-Cpx	3n		uncle
loglan	peefra	⬅ pe(nr)e+fa/r(fu)	B is a «grandfather» of D through parent S.	2-Cpx	3n		grandfather
loglan	pei		«p», Latin lower case letter, one of a pool of symbols.	LW	l		p
loglan	peinrirda	⬅ pe(tc)i+n+rirda	B is a «receipt» for payment C.	2-Cpx	2n		receipt
loglan	lo peinrirda		«receipts» for expenditures, mass term.		n		receipts
loglan	peircue	⬅ pe(tc)i+r+cu(ts)e	K «engage»/«hire» person D to do P.	2-Cpx	3v		engage,hire
loglan	peircue	⬅ pe(tc)i+r+cu(ts)e	«engaging»/«hiring» (... to do ...).	2-Cpx	a		engaging,hiring
loglan	fu peircue		an «engagement» (of ... by ...).		2n		engagement
loglan	nu peircue		«engaged»/«hired» (by ... to do ...).		a		engaged,hired
loglan	peirkoipre	⬅ pe(tc)i+r+ko(rj)i+p(ap)re	B is a «check»/«draft» drawn by K to D for C on bank N.	3-Cpx	5n		check,draft
loglan	peirtuasti	⬅ pe(tc)i+r+tu(rk)a+sti(se)	K «retire» from career V.	3-Cpx	2v		retire
loglan	peirtuasti	⬅ pe(tc)i+r+tu(rk)a+sti(se)	«retired», of one who has retired.	3-Cpx	a		retired
loglan	peirtuasti	⬅ pe(tc)i+r+tu(rk)a+sti(se)	a «retiree», one who is retired.	3-Cpx	n		retiree
loglan	lopo peirtuasti		«retirement», mass term.		n		retirement
loglan	po peirtuasti		a/the «retirement», an act/state of -ing.		n		retirement
loglan	pejduo	⬅ pe(n)j(a)+du(rz)o	K «sponge» (up) B from D.	2-Cpx	3v		sponge
loglan	pejycli	⬅ pe(n)j(a)+y+cli(ka)	G is «spongier», more like a sponge than J.	2-Cpx	2a		spongier
loglan	pejycli	⬅ pe(n)j(a)+y+cli(ka)	«spongy», more sponge like than ....	2-Cpx	a		spongy
loglan	pu pejycli		a «sponginess», a spec. property.		n		sponginess
loglan	pektinu	⬅ L. Pectinidae	B is a «scallop».	Bor.	1n		scallop
loglan	pelpi	{hebpelpi}\n⬅ 2/2C pi | 3/4E pelt | 3/4S piel	B is a «hide»/«pelt»/«skin»/piece of «leather» from animal S.	C-Prim	2n		hide,pelt,skin,leather
loglan	pelpi	{hebpelpi}\n⬅ 2/2C pi | 3/4E pelt | 3/4S piel	«leather»/«skin»/«hide», made of leather.	C-Prim	a		leather,skin,hide
loglan	pelto	⬅ 3/4E yellow | 3/4R zhelt yoi | 2/4H pila | 2/4G gelb	G is more «yellow» than J.	C-Prim	2a		yellow
loglan	pelto	⬅ 3/4E yellow | 3/4R zhelt yoi | 2/4H pila | 2/4G gelb	a «yellow», a yellow thing/object.	C-Prim	n		yellow
loglan	lopu pelto		«yellow», the color, mass term.		n		yellow
loglan	pu pelto		a «yellowness», a spec. property.		n		yellowness
loglan	pelvi	⬅ ISV	B is a «pelvis» of F.	S-Prim	2n		pelvis
loglan	pelvi	⬅ ISV	«pelvic», pert. to the pelvis.	S-Prim	a		pelvic
loglan	penbi	{penbysri}\n⬅ 3/3E pen | 2/2C bi | 3/3J pen | 2/4R pero	B is a «pen», for writing.	C-Prim	1n		pen
loglan	penbysri	⬅ penb(i)+y+sri(te)	K «pen»/«write» D with a pen.	2-Cpx	2v		pen,write
loglan	pencka	⬅ pen(so)+cka(no)	K is «considerate of»/thoughtfully «kind» to D.	2-Cpx	2a		considerate of,kind
loglan	lopu pencka		«thoughtfulness»/«considerateness», mass term.		n		thoughtfulness,considerateness
loglan	no pencka		«thoughtless», neg. of considerate.		a		thoughtless
loglan	po pencka		a «consideration», a spec. act.		n		consideration
loglan	pu no pencka		a «thoughtlessness», a property.		n		thoughtlessness
loglan	penckaflo	⬅ pen(so)+cka(no)+fo/l(ma)	B is «thoughtful»/«considerate».	3-Cpx	1a		thoughtful,considerate
loglan	penckamou	⬅ pen(so)+cka(no)+mo(rd)u	G is more «thoughtful» than J.	3-Cpx	2a		thoughtful
loglan	nu penckamou		more «thoughtless» than ....		2a		thoughtless
loglan	pencle	⬅ pen(so)+cle(si)	B is «rash»/«reckless»/«thoughtless» with/about V.	2-Cpx	2v		rash,reckless,thoughtless
loglan	pendi	{pedcea}, {pedmao}, {pedsilpae}, {pedsiu}, {refpedtru}, {zvopendi}\n⬅ 4/4S pend er | 4/6E depend | 2/3F pend re | 2/4C diao	B «hang» from D.	C-Prim	2v	ped	hang
loglan	pendi	{pedcea}, {pedmao}, {pedsilpae}, {pedsiu}, {refpedtru}, {zvopendi}\n⬅ 4/4S pend er | 4/6E depend | 2/3F pend re | 2/4C diao	«pendant»/«hanging», pert. to that which -s.	C-Prim	a	ped	pendant,hanging
loglan	nu pendi		«suspension», as in a suspension bridge.		a		suspension
loglan	po pendi		a «hanging», an event/act of -ing.		n		hanging
loglan	penfiu	⬅ pen(so)+fi(br)u	K «think» shallowly about V.	2-Cpx	2v		think
loglan	penflo	⬅ pen(so)+fo/l(ma)	B is «thoughtful about»/«preoccupied with» V.	2-Cpx	2a		thoughtful about,preoccupied with
loglan	penflo	⬅ pen(so)+fo/l(ma)	«pensive»/«reflective», preoccupied with ....	2-Cpx	a		pensive,reflective
loglan	nu penflo		«thoughtless», conv. of pensive.		a		thoughtless
loglan	po penflo		a «pensiveness», a spec. state.		n		pensiveness
loglan	pu penflo		a «thoughtfulness»/«reflectiveness», a spec. property.		n		thoughtfulness,reflectiveness
loglan	pu nu penflo		a «thoughtlessness», a property.		n		thoughtlessness
loglan	penfoa	⬅ pen(so)+fo(rm)a	B is a «thought form»/«way of thinking» used by K under conditions N.	2-Cpx	3n		thought form,way of thinking
loglan	penfro	⬅ pen(so)+fo/r(li)	K «think» strongly/profoundly about V.	2-Cpx	2v		think
loglan	penhicilini	⬅ ISV	B is some «penicillin», an antibiotic.	Bor.	1n		penicillin
loglan	penja	{pejduo}, {pejycli}\n⬅ 3/5E sponge | 2/5H spanj | 2/4F eponge | 3/7S esponja | 2/6J kaimen | 2/7C hai mie	B is a «sponge».	C-Prim	1n	pej	sponge
loglan	penja	{pejduo}, {pejycli}\n⬅ 3/5E sponge | 2/5H spanj | 2/4F eponge | 3/7S esponja | 2/6J kaimen | 2/7C hai mie	«sponge», made of sponge.	C-Prim	a	pej	sponge
loglan	penre	{livpeecle}, {nurmerpee}, {parpee}, {peebru}, {peefra}, {penrygui}, {penrykai}, {penrysitci}, {penrysoe}, {rarnurpee}, {samterpee}, {samtorpee}, {tispee}, {torpee}, {torsamtorpee}\n⬅ 3/5E parent | 3/5S padre | 3/5C ken pen	S (possibly collective) is/are «parent» s of child/children P.	C-Prim	2n	pee	parent
loglan	penrie	⬅ pen(so)+(t)ri(m)e	B is a «tool for thought» used by K.	2-Cpx	2n		tool for thought
loglan	penrygui	⬅ penr(e)+y+gu(nt)i	B is a/the «motherland»/«fatherland»/«homeland»/«country»/«nation»/«land» of F.	2-Cpx	2n		motherland,fatherland,homeland,country,nation,land
loglan	penrykai	⬅ penr(e)+y+ka(tl)i	K «inherit» B from ancestor(s) S.	2-Cpx	3v		inherit
loglan	penrysitci	⬅ penr(e)+y+sitci	B is the «hometown»/«native town» of F.	2-Cpx	2n		hometown,native town
loglan	penrysoe	⬅ penr(e)+y+so(rm)e	B is a/the «aunt» of D through parent S.	2-Cpx	3n		aunt
loglan	pensai	⬅ pen(so)+sa(nt)i	K is «pensive»/«thoughtful» and «silent».	2-Cpx	1v		pensive,thoughtful,silent
loglan	pensla	⬅ pen(so)+sla(no)	B is «dull»/«stupid»/«slow».	2-Cpx	1		dull,stupid,slow
loglan	penso	{blipeo}, {conpeo}, {danpeo}, {fadpeo}, {fatpencle}, {fatpeo}, {furpeo}, {kubpeo}, {kukpeo}, {lodpeo}, {nerpeo}, {nirsaspeo}, {nurpenvau}, {nurpeo}, {pencka}, {penckaflo}, {penckamou}, {pencle}, {penfiu}, {penflo}, {penfoa}, {penfro}, {penrie}, {pensai}, {pensla}, {tcepeo}, {tcupenflo}, {tcupeo}, {tcutrapeo}, {vefpeo}\n⬅ 4/4S pens ar | 4/6E pensive | 2/3F pens er | 2/4H soch na	K «think»/«consider»/«reflect»/«reason»/«contemplate» about V.	C-Prim	2v	pen,peo	think,consider,reflect,reason,contemplate
loglan	penso	{blipeo}, {conpeo}, {danpeo}, {fadpeo}, {fatpencle}, {fatpeo}, {furpeo}, {kubpeo}, {kukpeo}, {lodpeo}, {nerpeo}, {nirsaspeo}, {nurpenvau}, {nurpeo}, {pencka}, {penckaflo}, {penckamou}, {pencle}, {penfiu}, {penflo}, {penfoa}, {penfro}, {penrie}, {pensai}, {pensla}, {tcepeo}, {tcupenflo}, {tcupeo}, {tcutrapeo}, {vefpeo}\n⬅ 4/4S pens ar | 4/6E pensive | 2/3F pens er | 2/4H soch na	«thoughtful», reflective about ....	C-Prim	a	pen,peo	thoughtful
loglan	penso	{blipeo}, {conpeo}, {danpeo}, {fadpeo}, {fatpencle}, {fatpeo}, {furpeo}, {kubpeo}, {kukpeo}, {lodpeo}, {nerpeo}, {nirsaspeo}, {nurpenvau}, {nurpeo}, {pencka}, {penckaflo}, {penckamou}, {pencle}, {penfiu}, {penflo}, {penfoa}, {penfro}, {penrie}, {pensai}, {pensla}, {tcepeo}, {tcupenflo}, {tcupeo}, {tcutrapeo}, {vefpeo}\n⬅ 4/4S pens ar | 4/6E pensive | 2/3F pens er | 2/4H soch na	a «thinker»/«reasoner», one who -s.	C-Prim	n	pen,peo	thinker,reasoner
loglan	lopo penso		«thought», mass term of acts.		n		thought
loglan	lopu penso		«reason», mass term of properties.		n		reason
loglan	no penso		«thoughtless», neg. of reflective.		a		thoughtless
loglan	nu penso		a «subject», of a thought, conv. form.		n		subject
loglan	po penso		a «thought»/«consideration»/«reflection»/«contemplation», an act of thinking.		n		thought,consideration,reflection,contemplation
loglan	pu penso		a «thoughtfulness»/«reason», a prop. of a thinker.		n		thoughtfulness,reason
loglan	pu no penso		a «thoughtlessness», a property.		n		thoughtlessness
loglan	penta	{ckepea}, {fagpea}, {ganpea}, {gozmazpea}, {lanbiepea}, {nalpeatirca}, {nurpea}, {pearjao}, {peartrufa}, {peasko}, {petfao}, {petholmao}, {pethou}, {petmao}, {rorpea}, {tepypea}\n⬅ 3/4F pointe | 2/3J ten | 3/5E point | 2/4C dien	B is a/the «point» of F.	C-Prim	2n	pet,pea	point
loglan	penta	{ckepea}, {fagpea}, {ganpea}, {gozmazpea}, {lanbiepea}, {nalpeatirca}, {nurpea}, {pearjao}, {peartrufa}, {peasko}, {petfao}, {petholmao}, {pethou}, {petmao}, {rorpea}, {tepypea}\n⬅ 3/4F pointe | 2/3J ten | 3/5E point | 2/4C dien	a «spur»/«goad»/«point»/«prong»/«tine», any pointed thing, see pointed.	C-Prim	n	pet,pea	spur,goad,point,prong,tine
loglan	nu penta		«pointed»/«sharp», having a --.		a		pointed,sharp
loglan	pu nu penta		a «sharpness», as of points, a property.		n		sharpness
loglan	peo		«pi», Greek lower case letter, one of a pool of symbols.	LW	l		pi
loglan	peptidi	⬅ ISV	B is a «peptide», a subunit of proteins.	Bor.	1n		peptide
loglan	perdja	⬅ per(nu)+dja(no)	D «know»(s) person F.	2-Cpx	2v		know
loglan	perdju	⬅ per(nu)+dju(di)	K is a «reference»/«evaluator» of person B in situation N.	2-Cpx	3n		reference,evaluator
loglan	perdri	⬅ per(nu)+dri(ki)	K «remember»/«recognize» person B.	2-Cpx	2v		remember,recognize
loglan	perflo	⬅ per(nu)+fo/l(ma)	G is more «crowded» than J (with people).	2-Cpx	2a		crowded
loglan	pergrobou	⬅ per(nu)+gro(da)+bo(ts)u	B is a passenger «ship»/«liner».	3-Cpx	1n		ship,liner
loglan	perhoksidi	⬅ ISV	B is a «peroxide» of F.	Bor.	2n		peroxide
loglan	perjiokri	⬅ per(nu)+(d)ji(p)o+kri(do)	G is more «individualistic» than J.	3-Cpx	2a		individualistic
loglan	perjiokri	⬅ per(nu)+(d)ji(p)o+kri(do)	«individualistic», pert. to persons.	3-Cpx	a		individualistic
loglan	perjiokri	⬅ per(nu)+(d)ji(p)o+kri(do)	an «individualist» (person believer).	3-Cpx	n		individualist
loglan	perkaisei	⬅ per(nu)+ka(tl)i+se(tc)i	B is the «personality» of F.	3-Cpx	2n		personality
loglan	perkarti	⬅ per(nu)+karti	B is a «coach»/«buggy»/«shay», used for transporting people.	2-Cpx	1n		coach,buggy,shay
loglan	perkri	⬅ per(nu)+kri(do)	K «believe»/have «faith»/«confidence» in person D in/about N.	2-Cpx	3v		believe,faith,confidence
loglan	perkri	⬅ per(nu)+kri(do)	a «believer», of someone.	2-Cpx	n		believer
loglan	lopo perkri		«faith», mass term of acts of belief.		n		faith
loglan	no perkri		«disbelieve», persons, neg. of believe.		vt		disbelieve
loglan	no nu perkri		«unbelievable»/«incredible», not believable, persons.		a		unbelievable,incredible
loglan	nu perkri		«credible»/«believable», of persons.		a		credible,believable
loglan	nu perkri		«credibly», in a credible manner.		av		credibly
loglan	pu perkri		a «faith», a spec. property of believing ....		n		faith
loglan	pu nu perkri		a «credibility», of persons.		n		credibility
loglan	perkrisio	⬅ per(nu)+kri(do)+si(st)o	B is an instance of «individualism», an ideology.	3-Cpx	1n		individualism
loglan	perkrisio	⬅ per(nu)+kri(do)+si(st)o	«individualistic», pert. to creeds.	3-Cpx	a		individualistic
loglan	lo perkrisio		«individualism», general term.		n		individualism
loglan	perla	⬅ 3/3E pearl | 4/4R perl | 5/5S perla | 4/4F perle | 4/5G Perle	B is a «pearl» from S.	C-Prim	2n		pearl
loglan	pernu	{cefpeu}, {danrypeu}, {dirdonpeu}, {dupypeu}, {grupersange}, {grupeu}, {jiorpeu}, {lalpeu}, {lanpeu}, {macpeu}, {murpeu}, {nornespeu}, {norsicpeu}, {noryrispeu}, {notgunpeu}, {notpeu}, {perdja}, {perdju}, {perdri}, {perflo}, {pergrobou}, {perjiokri}, {perkaisei}, {perkarti}, {perkri}, {perkrisio}, {perperti}, {perpli}, {perplisti}, {persange}, {perspi}, {pertsitoa}, {plekaopeu}, {ralperpli}, {rorperkri}, {rorperkrisio}, {rorpeu}, {stupeu}, {tepypeu}, {vempeu}, {zavcanpeu}, {zavpeu}, {zvogunpeu}, {zvopeu}\n⬅ 3/4E person | 3/4C ren u | 4/6F personne | 4/6G person | 4/7R persona | 4/7S persona	B is a/some «person»/«people».	C-Prim	1n	per,peu	person,people
loglan	lo pernu		«people», mass term.		n		people
loglan	perperti	⬅ per(nu)+perti	V is «personal», referring to a person; e.g. a personal remark.	2-Cpx	1a		personal
loglan	perpli	⬅ per(nu)+pli(zo)	K «employ»/«engage»/«hire» person D to do P for salary/wage C.	2-Cpx	4v		employ,engage,hire
loglan	perpli	⬅ per(nu)+pli(zo)	an «employer», one who hires.	2-Cpx	n		employer
loglan	fu perpli		a «work»/«job», that for which ... is employed.		n		work,job
loglan	nu perpli		a «worker»/«employee», one who is hired.		n		worker,employee
loglan	po perpli		an «employment», an act of -ing.		n		employment
loglan	po nu perpli		a/the «work»/«employment»/«job», a state of being -ed.		n		work,employment,job
loglan	perplisti	⬅ per(nu)+pli(zo)+sti(se)	K «fire»/«dismiss»/«discharge» D from employment B.	3-Cpx	3v		fire,dismiss,discharge
loglan	persa	⬅ Lin. Pyrus	B is a «pear»/a quantity of pears from source S.	I-Prim	1n		pear
loglan	lo persa		«pear»(s), mass term.		n		pear
loglan	persange	⬅ per(nu)+sange	K «nominate» D for position N.	2-Cpx	3n		nominate
loglan	persange	⬅ per(nu)+sange	«nominator», one who -s.	2-Cpx	n		nominator
loglan	nu persange		«nominated», conv. of --.		a		nominated
loglan	nu persange		«nominee»/«nomination»/«candidate», one -ed.		n		nominee,nomination,candidate
loglan	po persange		a «nomination» of ... to position ..., a spec. instance of -ing.		1n		nomination
