@rowCount	12099
eskapismo	escapism
eskapklavo	escape key
eskapo	escape
eskapsigno	escape character
eskarpo	escarp, escarpment
eskatologio	eschatology
eskima	Eskimo, Inuit
eskimo	Eskimo, Inuit
Eskineso	Aeschines
eskludi	to exclude
eskortanto	escort
eskorti	to escort
eskorto	escort
eskudo	escudo
Eskulapo	Aesculapius
eskviro	equerry, squire
esotera	esoteric
esotere	esoterically
esoterismo	esotericism
espanjoleto	espagnolette, window catch
esparto	esparto, esparto-grass
esperantajxo	something in Esperanto
esperantajxoj	Esperanto things
esperante	hoping
esperanteca	Esperanto-like
esperantigi	to Esperantize, turn into Esperanto
esperantigo	Esperanto localization
esperantigxi	to become an Esperantist
esperantismo	Esperantism
esperantista	Esperantist
esperantistaro	all Esperantists, the “Esperanto World”
esperantistino	Esperantist
esperantisto	Esperantist
esperantlingva	in Esperanto, Esperanto-language
Esperanto	Esperanto
esperanto	optimist
Esperantolando	Esperanto-land
esperantologiisto	esperantologist
esperantologio	Esperantology
esperantologo	esperantologist
Esperantujo	Esperantoland
esperantumi	to do the Esperanto thing, spend time with Esperanto
esperdona	hopeful, promising
espere	in a hopeful way
espereble	hopefully
esperema	hopeful
esperemulo	hopeful person
esperi	to hope
esperiga	encouraging, hopeful, promising
esperiga signo	encouraging sign
esperigi	to give hope to
espero	hope
esperplena	sanguine
esplanado	esplanade
esplora	scientific, exploratory, research
esplorada	exploratory
esplorado	exploration, investigation, research
esplorado kaj disvolvado	research and development, R&D
esploranto	explorer
esplordemandi	to interrogate, question
esplorema	curious, inquisitive
esplori	to examine, explore, investigate, prospect, research, study, survey
esplori la pacienton	to examine the patient
Esplorilo	Internet Explorer
esploristo	explorer
esplorkampo	field of study
esploro	exploration, investigation, research
esplorvojagxi	to explore, make a journey of exploration
esplorvojagxisto	explorer, prospector
espozi	to demonstrate, exhibit, expose, showcase, display
esprimajxo	expression
esprimante	expressing
esprimi	to express, state
esprimi penson	to express a thought
esprimi sin	to express oneself
esprimigxi	to express itself
esprimilo	expressive means, feature
esprimisma	expressionist
esprimismo	expressionism
esprimivo	expressiveness
esprimo	expression
esprimplena	expressive
esprimplene	expressively
esprimpleneco	expressiveness
esprimricxa	expressive
esprimujo	expression box
establajxo	establishment
establejo	establishment
establi	to erect, establish
establigxi	to become established
establo	establishment
estado	being, entity, existence, stay
estafeto	courier, dispatch-rider, relay, relay racer, relay rider, runner
estajxo	being, creature, entity
estanta tempo	present time
estante	(while) being, when one was
estanteco	present (time)
estas domagxo	it’s a pity
estas dubinde cxu	it’s questionable (as to) whether
estas en la kacxo	to be in a mess
estas eraro diri	it is incorrect to say
estas malpermesate fumi cxi tie	smoking is forbidden here
estas menciinde ke	it’s worth mentioning that
estas substrekinde, ke	it’s worth noting that
estas vere ke	admittedly
estejo	abode
estero	ester
Estero	Estero
estetika	aesthetic
estetike	aesthetically
estetiko	aesthetics
estetikulo	aesthete
estezo	aesthesia
esti	to be
esti adepto de	to adhere to
esti angilglata	to be as slippery as an eel
esti bona kontraux iu	to be good to someone
esti bone nutrita	to be well-fed, well nourished
esti bonhava	to be in easy circumstances, be well off, be well-to-do
esti bonsxanca	to be lucky, have good luck
esti certa je tio	to be certain of that
esti cxe la limo de sia pacienco	to be at the end of one’s patience
esti de la skolo	to be of a school of thought
esti deponita	to be deposited, be in the keeping, rest
esti ebla	to be possible
esti en bonaj manoj	to be in good hands
esti en bono sano	to be in good health
esti en sxercema humoro	to be in a joking mood
esti grava	to signify (to matter)
esti kapabla je cxio	to be capable of anything
esti konforma	to be correct, be right
esti konforma al	to answer, answer to, come up to
esti konforma kun	correspond to
esti konforma laux	to correspond to
esti konsiderata	to be considered, count
esti la plena potreto de	to be the picture of
esti laux	to correspond to
esti lauxmezura	to fit
esti lauxtusxe	to feel like sth to the touch
esti malaj unu al la alia	to be opposites (of each other)
esti malbonsxanca	to have bad luck
esti maldungata iom post iom	to be discharged gradually
esti malfermetita	to be ajar
esti malsana	be sick
esti maniulo	to be addicted
esti parenco de	to be related to
esti pli forta ol	to be able to match with, be stronger than
esti preskaux	to abut (on) to
esti pura de peko	to be free from sin
esti samagxa kiel	to be the same age as
esti samnivela kun	to keep abreast of
esti simila al	to be similar to
esti sklavigxinta	to be addicted
esti sxparema pri	to be sparing with
esti traktata kiel	to be treated as
esti unu el	to belong to, be one of
estigi	to bring into being, develop, make, create
estiginto	creator, originator
estigo	creation
estigxi	to arise, come into being
estigxo	commencement, start
estimado	estimation
estimata	dear, esteemed
Estimata Sinjoro	Dear Sir
estimebla	reputable
estimi	to esteem, think well of, have esteem for, respect, regard
estiminda	estimable, respectable, worthy
estimo	esteem, regard, respect
estingado	extinction
estingaparato	fire-extinguisher
estingi	to extinguish, put out, put out, quench
estingigxi	to go out (of a light)
estingigxo	extinguishing, extinction
estingilo	extinguisher
estingita	extinct
estingkamiono	fire truck
estingo	extinction
estinta	former, past
estinteco	past
estinto	past
Estis necese, ke mi ...	I had to ...
esto	being, entity
estona	Estonian
estonecologo	futurist
estonino	Estonian woman
Estonio	Estonia
estono	Estonian
estonta	future, about to be, prospective
estontece	hereafter
estonteco	future
estonto	future, hereafter
Estonujo	Estonia
estra bastonego	mace, baton
estrado	platform, stage
estrarano	board member
estrarejo	boardroom
estraro	board of directors, staff, authority, authorities
estre	as a leader
estreco	authority
estrema	bossy, masterful
estri	to govern, head up, restrain
estri unu lingvon	to master a language
estrino	matron, mistress
estro	boss, chief, leader, manager, head
estrogeno	estrogen
estu	should be
estu kiel estos	whatever will be, will be
estuario	estuary
estuaro	estuary
estulo	being, creature
estus plej bone, se	it would be better if
esxafodo	scaffold (for hangings, executions)
eta	tiny
eta eldonajxo	a small addition
eta kriaglo	lesser spotted eagle
eta mono	small change, coins
etaciano	small shareholder, small stockholder
etaciulo	small shareholder, small stockholder
etagxero	set of shelves
etagxo	floor, storey, story
etakordo	diminished chord
etalono	benchmark
etanima	petty, small-minded
etanime	petty, small-minded
etanimeco	pettiness, small-mindedness
etano	ethane
etanolo	ethanol
etao	eta
etapo	period, stage, phase, distance covered, halting place, length covered, stage, stopover, lap
etato	account, inventory, report, list, register, return (financial), statement (financial), table (data)
etbienulo	yeoman
etburgxa	lower class
etburgxaro	petty bourgeoisie
etburgxo	petit bourgeois
etenda adresado	extended addressing
etendajxo	extension
etendebla	ductile, malleable
Etendebla Hiperteksta Marklingvo	XHTML, Extensible Hypertext Markup Language
Etendebla Marklingvo	XML, Extensible Markup Language
Etendebla Stilfolia Lingvo	XSL, Extensible Stylesheet Language
etendebleco	ductility
etendeblo	extensibility
etendeco	expanse
etendi	to extend, stretch out, expand
etendi la manojn al	to reach for
etendigxi	to run
etendigxi antauxen	to reach forward
etendigxo	expansion, extend, extension, reach
etendilo	extension
etendita	expanded, extended
etendo	extension
etendoregilo	expand control
etera	ethereal
eterizi	to anesthetize
eterna	endless, eternal, everlasting, perpetual
eterne	forever, eternally
eterneco	eternity
eternfloro	everlasting
eterno	eternity
Eternulo	Lord
etero	ether
eterreto	Ethernet
etfingro	little finger, pinky (finger)
etfirmao	small business, small company
etflora	small-flowered
etigi	to belittle, shrink, dwarf
etika	ethical
etike	ethically
etikedi	to label, tag
etikedo	label, tag
etikedo de HTML	HTML tag
etiketo	code of conduct, etiquette, protocol, rules of behavior; label, tag
etiko	ethic, ethics, morals
etila acetato	ethyl acetate
etileno	ethylene
etilo	ethyl
etimo	etymon
etimologia	etymological
etimologie	etymologically
etimologiisto	etymologist
etimologio	etymology
etimologo	etymologist
etindustrio	small industry
etinvestanto	small investor
etiologiisto	aetiologist
etiologio	etiology
etiologo	aetiologist
etiopa	Ethiopian
etiopino	Ethiopian woman
Etiopio	Abyssinia, Ethiopia
etiopo	Abyssinian, Ethiopian
Etiopujo	Abyssinia, Ethiopia
etkuragxa	pusillanimous
etlitera	lowercase, lower-case, lower case
etliterigi	lowercase, lower-case, lower case
etlitero	lower case letter, minuscule, small letter
etmakleristo	small-time broker
etmoido	ethmoid bone
etna	ethnic
etna dialekto	ethnic dialect
etnika	ethnic
etnike	ethnically
etnismo	ethnism
etno	ethnos, ethnic group
Etno	Etna
etnogenezo	ethnogenesis
etnografiisto	ethnographer
etnografio	ethnography
etnografo	ethnographer
etnologiisto	ethnologist
etnologio	ethnology
etnologo	ethnologist
etologiisto	ethnologist
etologio	ethology
etologo	ethnologist
etoso	atmosphere, environment, ethos, mood
etosodifina	skin-definition (file), skin definition (file)
etosplena	atmospheric
etradia	low radiation
etrioskopo	aethrioscope
etruska	Etrurian, Etruscan
Etruskio	Etruria
etrusko	Etrurian, Etruscan
Etruskujo	Etruria
etskala	small scale
etspirita	petty, small-minded
etsxpura	narrow-gauge
etudo	etude, study, sketch
etulino	tot, little girl
etullernejo	nursery school
etulo	little fellow, little one
europa	European
euxdiometrio	eudiometry
euxdiometro	eudiometer
euxfemisma	euphemistic
euxfemisme	euphemistically
euxfemismo	euphemism
euxfonio	euphony
euxforbio	spurge
euxforio	euphoria
Euxfrato	Euphrates
euxfrazio	eyebright
euxgeniko	eugenics
euxgenio	allspice tree
Euxhxaristio	Eucharist
euxkalipto	eucalyptus, jarrah
euxkarioto	eukaryote
euxkaristia	Eucharistic
Euxkaristo	Eucharist
euxklida	Euclidean
Euxklida	Euclidean, Euclid’s
euxklida algoritmo	Euclid algorithm
euxklida divido	division with remainder
euxklida geometrio	Euclidean geometry
euxklida ringo	Euclidean ring
euxklida spaco	Euclidean space
Euxklido	Euclid
euxlera	Euler, Eulerian
euxlera cirklo	Euler circle, nine-point circle
euxlera rekto	Euler line
Euxlero	Euler
euxnuko	eunuch
euxpatorio	thoroughwort
euxrazia cervo	red deer
Euxrazio	Eurasia
euxro	euro
euxrokonvertilo	Euro converter
euxroo	euro
Euxropa	European
euxropa bizono	European bison, wisent
Euxropa cifero	European digit
euxropa evonimo	common spindle, European spindle (tree)
Euxropa Unio	European Union
Euxropan Union	European Union (accusative), EU (accusative)
Euxropano	European
euxropio	europium
Euxropo	Europe
euxrosigno	Euro sign, Euro symbol, “€”
euxroskeptika	eurosceptic
euxroskeptikulo	eurosceptic
euxska	Basque
euxsko	Basque
euxtamio	chipmunk
euxtanazio	euthanasia
Eva	Eve
evakui	to evacuate
evakuigxi	to be evacuated
evakuo	evacuation
evangelia	evangelic, evangelical
evangeliano	evangelical
evangeliisto	evangelist
evangelikredo	belief in the Gospel
evangelilibro	book of Gospels
evangelio	gospel
Evangelio	gospel
evangelizado	evangelization
evangelizanto	evangelizer
evangelizi	to evangelize
evea	Ewe
eventaro	program
eventatributo	event property
eventkategorio	event category
eventklaso	event class
evento	event
eventoproceduro	event procedure
eventoprotokolado	event logging
eventoprotokolo	event log
eventotraktado	event handling
eventotraktilo	event handler
eventprotokola	event (viewer)
eventuala	contingent, eventual
eventuala kliento	prospect
eventuala pagxofino	soft page break
eventuala pagxosalto	soft page break
eventuala streketo	soft hyphen
eventualajxo	eventuality
eventuale	if the occasion arises
eventualeco	potential
eventualo	contingency, eventuality
Everesto	Everest
Evergreno	Evergreen
evidenta	evident, obvious, manifest, unmistakable, clear
evidentajxo	something obvious
evidente	apparently, obviously, evidently
evidenteco	evidence, obviousness
evidentigi	to manifest
evidentigxi	to become evident
evikcii	to evict
evikcio	appropriation
evitado	shirking
evitanto	shirker
evitebla	avoidable, preventable
evitema	cautious, evasive, noncommittal, oblique
eviteme	cautiously
eviti	to avoid, evade, eschew, keep aloof, shirk, shun
evitigi	to ward, turn aside
evitilo	loophole
evitinda	to be avoided
evito	avoidance
evitvorto	euphemism
Evo	Eva
evolua	evolutionary
evoluada	evolutionary
evoluado	development, evolution
evolucia	evolutionary
evolucii	to evolve
evoluciismo	evolutionism
evoluciisto	evolutionist
evolucio	development, evolution
evolui	to develop, evolve
evoluigi	to develop, direct
evoluintaj landoj	developed countries
evoluismo	evolutionism, theory of evolution
evolulando	developing country, developing nation
evoluo	development, evolution
evolusxtupo	stage of development
evoluto	evolute
evolvento	evolvent, involute
evonimo	euonymus, spindle-tree
exprimo	expression
ezofago	esophagus, gullet
ezoko	pike (fish)
Ezopo	Aesop
ezotera	esoteric
F-ino	Frauxlino
F-klefo	bass clef
fa-klefo	bass clef
fabansero	bean goose
fabela	fabulous
fabelaro	book of fairy tales
fabelauxtoro	fabulist
fabele	fabulously
fabeli	tell fables, recount
fabelisto	fabulist
fabelo	bedtime story, fairy tale, story, tale
fabelverkisto	fabulist
fabla	fabulous
fablisto	fabulist
fablo	fable
fabloverkisto	fabulist
fabo	bean, broad bean, fava bean
fabostango	beanpole
fabotrunko	beanstalk
fabrika marko	brand name
fabrikado	fabrication, making, manufacture
fabrikajxo	manufactured article, product
fabrikanto	manufacturer
fabrikejo	factory, works
fabriki	to fabricate, manufacture
fabriki kialon	to make up a reason
fabrikinto	maker
fabrikista prezo	recommended price
fabrikisto	manufacturer
fabriklaboristo	shop worker
fabriklaboro	factory work
fabriko	fabric, factory, manufacture
facetajxo	flake
faceti	to facet
faceto	facet
facila	easy, facile
facilanima	flighty, impulsive, light-hearted, flippant, frivolous
facilanimajxo	frivolity
facilanime	airily
facilanimeco	flippancy, light-mindedness, frivolity
facile	easily
facile farite	easily done, piece of cake
facileco	ease, facility
faciligaj	accessibility
faciligajxoj	accommodation
faciliganto	facilitator
faciligi	to make easy, facilitate
faciligilo	accessibility tool
faciligo	ease
faciligxi	to ease
faciligxo	relief, alleviation
facilkompreneble	for obvious reasons, understandably
facilmova	agile
facilmoveco	agility
facilo	facility
facilpieda	easy-going
facilriska	overconfident
facilrompa	brittle, fragile
facilrompebla	fragile
faciluzilo	accessibility feature
faco	face
fadenaro	skein
fadenbulo	thread ball, yarn ball
fadendrapa	worsted
fadendrapo	worsted
fadenero	ply, strand
fadenfasko	hank, skein
fadenglobo	ball of string
fadenigi	to draw into a thread
fadenisto	haberdasher
fadenmontra	threadbare
fadeno	strand, thread
fadenpupo	marionette
fadensekura	thread-safe
fadenvolvajxo	ball of thread
fadi	to fade
fado	fading
faduo	fado
faetono	phaeton
Faetono	Phaeton
Fafno	Fafner
faga ligno	beech, beech wood
fagaro	beech forest, beech grove
fagejo	beech forest, beech grove
fago	beech (tree)
fagocito	phagocyte
fagofrukto	beech nut
fagonukso	beech nut
fagopiro	buckwheat
fagoto	bassoon
fajencajxo	china, faience
fajenco	crockery, earthenware, pottery
fajfado	whistling
fajfanaso	wigeon
fajfi	to whistle
fajfilego	fog horn
fajfilo	whistle
fajfo	whistle, toot
fajfosignalo por ludokomenco	a whistle signal to begin the game
fajfspiri	to wheeze
fajlajxo	filing
fajli	to file (down)
fajlilo	file (tool)
fajna	fine
fajne	finely
fajneco	fineness
fajnigi	to refine
fajnretusxo	spotting
fajo	faille
fajra	burning, fiery
fajrajxo	fireworks
fajre	with fire, fiery, passionately
fajrejo	hearth, fireplace
fajreri	to spark, sparkle
fajrero	spark
fajrestingilo	fire extinguisher
fajrestingistino	firewoman
fajrestingisto	fireman
Fajrfokso	Firefox
fajrfungo	tinder
fajrgardo	fender
fajri	to burn
fajrigi	to ignite, kindle, light
fajrigi la cigaredon	to light the cigarette
fajrilo	lighter
fajrincitilo	poker
fajro	fire, ardor, enthusiasm, fervor
fajroalarmo	fire-alarm
fajrobapto	baptism by fire
fajrobirdo	firebird, phoenix
fajrobrigadano	fire fighter
fajrobrigadejo	firehouse
fajrobrigadisto	firefighter, fireman
fajrobrigado	fire brigade
fajrobulo	fireball
fajrodangxero	risk of fire
fajroestingilo	fire extinguisher
fajrofarilo	lighter
fajroimuna	fireproof
fajrokracxisto	fire eater
fajrokrano	fire-plug
Fajrolando	Tierra del Fuego
fajrolilio	orange lily, fire lily
fajrolumo	firelight
fajromuro	firewall
fajroplanto	dittany
fajroprenilo	fire tongs
fajroprovo	acid test
fajropumpilo	fire engine
fajrorezista	fire-resistant
fajrorugxa	fire-red
fajrosoldato	fire fighter
fajrostango	poker
fajrosxirmilo	fender
Fajrovulpo	Firefox
fajrprenilo	fire tongs
fajrsxtono	brick (fire)
fajrujo	brasier, firebox, grate, hearth, fireplace, firebox
faka	specialized, departmental
faka lingvajxo	technical language
faka literaturo	technical literature, specialist literature
fakaro	file(s), pigeonholes
fakcio	faction
fakdosiero	frequently asked questions, FAQ, FAQ list
fakego	compartment (train)
fakestro	head of a department
faketaro	pigeon-hole (for papers, etc.)
fakiro	fakir
fakista unuigxo	trade union
fakisto	specialist
faklernejo	special school
faklibro	technical book
faklingvo	technical language
fako	area of expertise, branch, compartment, department, section, specialty, subject, discipline
fakocxero	warthog
fakohxero	warthog
faksaado	fax
faksajxo	fax
fakseno	minnow
faksi	to fax
faksilo	fax machine
faksimila redaktado	WYSIWYG, what you see is what you get
faksimilo	facsimile
faksmodemo	fax modem
faksnumero	fax number
fakso	fax message
faksservilo	fax server
faksservo	fax service
fakta	actual, factual, real
fakta adreso	actual address, effective address, machine address
fakta parametro	actual parameter
fakte	actually, as a matter of fact, indeed, in fact
faktermino	technical term
faktitiva	factive
faktitivo	causative, factivity
faktlibro	factbook
fakto	fact
faktoreca	factorial
faktorgrupo	factor group, quotient group
faktorialo	factorial
faktorio	(trading) agency
faktoro	agent, factor, steward
fakturado	billing
fakturi	to invoice
fakturo	account, bill, invoice
fakularano	panelist
fakularo	panel
fakulo	expert, specialist
fakultatano	faculty
fakultativa	optional, facultative
fakultato	faculty (university, etc.)
fakultestro	dean
fakulto	faculty
fakvortaro	specialized dictionary
faladi	to keep falling, fall continually
falajxo	rock-fall
falakvo	waterfall, cascade
falangio	harvester
falango	phalanx
falangulo	angle of descent
falaro	canary grass
falaropo	phalarope
falbalo	flounce, furbelow, trimming, frill, ruffle
falcxado	mowing
falcxajxo	swath
falcxeti	to trim fame famously
falcxi	to cut, mow, reap
falcxilanaso	falcated duck
falcxileto	sickle
falcxilo	scythe
falcxisto	reaper
faldajxo	fold
faldata	folded, furled
faldbiciklo	foldable bicycle, foldable bike
faldebla	folding
faldi	to fold, wrap
faldmasxino	folding machine
faldo	fold
faldsegxo	folding chair
faldumi	to pleat
falego	blow, strike, downfall
faleno	phalaena
faleti	to slip, stumble, trip
faleto	slip, stumble
fali	to drop, fall, topple
fali dorsen	to fall backwards
fali en la manojn de	to fall into the hands of
fali surgenuen	to fall on one’s knees, fall to one’s knees
faligi	to drop, overthrow, fell, knock down, make fall
faligi la bombon	to drop the bomb
faligo	overthrow, subversion
falilo	snare, stumbling block
Falkirko	Falkirk
Falklandoj	Falkland Islands
falko	falcon
fallinio	drop line
fallista	dropdown, drop-down
fallisto	combo box
falmenuo	drop-down menu
falo	fall
falopio	bindweed
falsa	counterfeit, fake, false, spurious, forged, wrong
falsa amiko	false friend
falsa jxuro	perjury
falsado	falsification
falsajxo	counterfeit
falsbrilajxo	tinsel
falsdentaro	dentures
false	falsely, wrongly
falsema	false, insincere
falseto	falsetto
falsgesto	affected manner, false gesture
falsi	to counterfeit, fake, falsify, counterfeit, forge
falsi ies subskribon	to forge someone’s signature
falsigi	to adulterate, counterfeit, fake, falsify, forge
falsigo	falsification
falsinto	falsifier
falsisto	counterfeiter, forger
falsluksa	tawdry
falso	falsification
falsofari	to adulterate, counterfeit, fake, falsify, forge
falsreprezenti	to misrepresent
falstelo	shooting star, falling star
falsxanceligxi	to stumble
falti	to wrinkle
faltigxi	to fault, wrinkle
falto	crease, wrinkle
faluso	phallus
fama	famous, celebrated, illustrious, notable
famajxo	something famous
fame	famously
fameco	fame, renown
fami	to be famous
famigi	to make famous
famigxi	become famous
familia	domestic
familia cxambro	living room
familia nomo	surname
familiano	family member
familiara	familiar, informal, intimate, friendly
familiare	colloquially, familiarly
familiareco	familiarity
familiestro	head of family
familinomo	family name
familio	family
famkonata	famous
famo	fame, hearsay, renown, repute, rumor, reputation
famulo	celebrity, famous person
fanagalo	Fanagalo
fanatika	fanatical
fanatike	fanatically
fanatikeco	bigotry, fanaticism
fanatikigi	to infuriate
fanatikulo	bigot, fanatic
fandado	melting, fusion
fandajxo	casting, ingot, bullion
fandango	fandango
fandebla	meltable, fusible
fandejo	foundry
fandfermi	to seal shut with heat, fuse shut
fandfornego	blast furnace
fandforno	melting furnace
fandgardilo	fuse
fandi	to case, fuse, melt, smelt
fandigi	to melt, fuse, flux
fandigxi	to melt
fandigxo	fusion
fando	melting, fusion
fandodrato	fuse
fandopunkto	melting point
fandujo	crucible, melting pot
fandvazo	crucible
fanfaro	fanfare, flourish
fanfaronado	fanfaronade, ostentation
fanfaronajxo	boast
fanfaroneco	boastfulness
fanfaronema	affected
fanfaroni	to bluster, boast, brag, swagger, boast
fanfarono	boast
fanfaronulo	boaster, braggart
fano	fan
fantasmagorio	phantasmagoria
fantasta	fantastic, fantasy
fantaste	fantastically
fantasto	fantasy
fantazia	fantastic, imaginary
fantazie	fantastically
fantazii	to fantasize
fantazio	fantasy, imagination
fantaziulo	visionary
fanto	jack, knave
fantoma	ghostly, phantom, spectral
fantombildo	ghost
fantomi	to haunt, phantom
fantomigi	ghosting
fantomo	ghost, phantom, specter, spirit
far	by (in passive constructions)
faracxajxo	botch
faracxi	to botch
faracxita	botchy
faracxulo	botcher
faradi	to wage
faradizi	to faradize
Farado	Faraday
farado	making, manufacture
farajxo	creation
farandolo	farandole
faranto	performer
faraono	pharaoh
farata	in progress
farbi	to paint
farbisto	painter
farbo	dye, paint
farbopistolo	airbrush
farboplato	palette
farboproblemo	coloring problem
farbopulvora	toner
farbopulvoro	toner
farcxajxo	stuffing
farcxi	to stuff (cooking)
farcxo	mincemeat, stuffing
fare	in doing, having been done, having been made
fare de	made by, done by
farebla	achievable, feasible
fareble	feasibly
farebleco	feasibility
fareblo	feasibility
farenda	called for, to be done
farendajxo	errand, thing that needs to be done
farendajxoj	things that need to be done, to-do list, errands
farenhejta	Fahrenheit
Farenhejto	Fahrenheit
Fareso	Forres
fari	to achieve, act, do, make, perform
fari bieron	to brew
fari diklipon	to pout
fari distingon inter	to make a distinction among
fari du aferon je unufojo	to do two things at once
fari el muso elefanton	to exaggerate, make a mountain out of a molehill
fari ion je propra risko	to do something at one’s own risk
fari komplezon	to oblige (render service)
fari krimon	to commit a crime
fari kurson	to run a race
fari la dikan lipon	to pout
fari sekurkopion	backup
fari servon	to accommodate, render a service
fari sian plejeblon	to do one’s best
fari signon de kruco	to make the sign of the cross
fari uzon de	to turn to (good) account
fari uzon el	to make use of
farigi	to make, create, manufacture
farigxado	incident
farigxi	to become, come about, grow, happen
farigxi ekskutima	to fall into abeyance
farigxi ricxulo	to become rich, become a rich person
farigxo	event
farinda	worth doing
faringo	pharynx, gullet
farinto	maker
farisea	hypocritical
fariseo	Pharisee
faristo	maker
farita	done, made
faritajxo	accomplishment, achievement, deed, act, creation, thing made
farite	done, finished
farito	feat
farizeo	Pharisee
farma mastro	farmer
farmaciajxo	pharmaceutical(s), medicine
farmaciejo	pharmacy (place)
farmaciisto	apothecary, chemist, pharmacist
farmacio	pharmaceutics, pharmacy (science)
farmakobezoaro	pharmacobezoar
farmakologiisto	pharmacologist
farmakologio	pharmacology
farmakologo	pharmacologist
farmakopeo	pharmacopoeia
farmanto	farmer
farmbieno	farm
farmdomo	farmhouse
farmi	to farm, lease
farmigi	to farm out
farmilaro	farming tools, farming implements
farmisto	farmer
farmkorto	barnyard
farmo	farm
farmodomo	farmhouse
farmulo	farmer
faro	accomplishment, achievement, act, action, deed
farotajxo	thing to be done, chore
farsisto	buffoon
farso	farce
farti	to be, fare (as to health)
farto	state
faru laux via bontrovo	do as you see fit
farunajxo	baked goods, pastry
farunbatajxo	batter
faruneca	mealy
faruno	flour, meal
fasada	front-end
fasado	façade, front, interface
fasadprogramo	front-end program
fascina	absorbing, fascinating
fascinado	fascination
fascini	to fascinate
fascinita	fascinated, gripped
fascino	fascination
fascio	fascia
fascxino	faggot (of brushwood), fascine
faskigado	bunching together, bundling
faskigi	to bind, bunch
fasko	bunch, bundle, cluster, sheaf
fasmo	stick-insect
fasoni	to cut, fit, make to measure, fashion, tailor
fasonilo	design tool
fasono	cut, fashion, style, make, tailoring, model
fasonoregximo	design mode
fasta tago	fast day
fasti	to fast
fastinte	fasting
fasto	fast
fasxisma	fascist
fasxismo	fascism
fasxisto	fascist
fatala	fated, fateful, ill-fated, inevitable, ruinous
fatalajxo	calamity
fatale	fatally
fatalismo	fatalism
fatalo	fatality, fate, ill fate
fatamorgano	Fata Morgana
fato	destiny, fate, ill fate, fortune
fatraso	jumble, junk, trash
fauxki	to gape, yawn
fauxko	jaws, maw
fauxli	to commit a foul
fauxlo	foul
fauxno	faun, fauna
Fauxsto	Faust
fava	scabby, verminous, scurvy
favo	favus, ringworm
favora	advantageous, auspicious, favorable
favora acxetpropono	bargain, special offer
favorajxo	boon, favor, grace, kindness
favoranto	patron
favorata	favorite
favoratino	favorite
favorato	favorite
favore	advantageously, auspiciously, favorably
favore surprizita	pleasantly surprised
favorema	benign, biased
favoremo	bias
favori	to favor, patronize
favorigi	to propitiate
favorkora	good-hearted, benevolent
favorkore	good-heartedly, benevolently
favorkoreco	grace
favoro	favor
favorpreza	inexpensive
favulo	scurvy rascal
fazanejo	pheasantry
fazano	pheasant
fazeolo	bean, green bean, haricot
fazeolo granda	butter bean
fazeolstango	beanpole
fazo	phase, stage, aspect
FD	Fakdelegito
fea	faerie, fairy, spirit
Feba	Phoebe
febla	feeble
Febo	Phoebus
febra	febrile, feverish
febre	feverishly
febreto	ague
febri	to have a fever
febro	fever
februaro	February
Februaro	February
fecxo	dregs, scum, sediment
federa	federal, federative
federacia	federal
federacii	to federate
federaciismo	federalism
federacio	federation
federala	federal
federalismo	federalism
federi	to federate
federismo	federalism
federo	federation
feina	fairy
feino	elf, fairy, sprite
feinrakonto	fairy tale
fek	shit (interjection)
Fek!	crap!, shit !
feka	fecal
fekado	defecation
fekajxo	defecation, dung, excrement, shit
fekajxputo	cesspit, cesspool
fekegala	not making a damn bit of difference
fekero	turd, piece of shit
feki	to defecate, shit
feko	defecation, dung, excrement, shit
fekopelvo	bed pan
fektema	affected
fektruo	shithole, asshole
fekulo	starch (flour); asshole
fekunda	fertile
fekundeco	fertility
fekundigi	to fertilize
fekundigo	fertilization
fela	furry
felaho	fellah
feldspato	feldspar
felicxa	fortunate, happy, lucky
Felicxan Kristnaskon!	Merry Christmas!
Felicxan Novjaron!	Happy New Year!
felicxe	fortunately, happily, luckily
felicxeco	felicity, happiness
felicxega	ecstatic
felicxegeco	beatitude, bliss
felicxego	ecstasy, great joy
felicxi	to be happy
felicxiga	delightful, pleasing
felicxige	pleasingly
felicxigi	to delight
felicxigxi	to become happy
felicxo	happiness
felicxulo	lucky person, happy person
felietono	feuilleton, serial, serial feature
Felikso	Felix (name)
feliso	feline
felisto	furrier, skinner
felo	fur, hide, skin, pelt
felpo	sweatshirt
felpreparadi	to taw
felsxuo	moccasin
felta	felt, made of felt
felti	to cover with felt
feltizi	to cover with felt
felto	felt
feluko	felucca
femala	female
femalo	female
femdofobio	xenophobia
feminismo	feminism
feministino	feminist
feministo	feminist
femurajxo	leg, drumstick
femuralo	femur
femuro	femur, thigh, leg, upper leg
femurosto	thigh bone
fenacetino	phenacetin
fendajxo	crack, crevice, crevice, chink
fendata	cracked, split
fendego	chasm, divide, gulf, ravine
fendethava	chapped
fendeto	fissure
fendi	to cleave, crack, split
fendi haron	to split hairs
fendigxi	to burst, split
fendigxinta	cracked
fendigxo	split
fendilo	cleaver
fendo	cleft, crack, crevice, rift, slit
fendoajxo	crevice
fendohava	cracked
fendpeceto	splinter
fendro	fender, fireguard
fenestra	window, of a window
fenestra kovrilo	window shutter
fenestra vitro	window glass
fenestradministrilo	window manager
fenestrado	window technique, windowing
fenestrajxo	widget
fenestreto	air hole, dormer window, skylight
fenestro	window
fenestro-ornamajxo	window decoration
fenestrobreto	window sill
